 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45
479,98.000,131.869,59.352,3.375,77.035,40.455,36.324,83.252,54.585,8.095,76.751,54.967,35.833,126.299,42.004,15.615,107.050,39.302,217.647,126.221,28.473,3.806,54.421,70.767,37.154,115.987,33.790,148.417,134.876,80.881,79.714,102.977,76.615,83.935,84.011,41.577,43.692,80.577,47.332,4.167,138.601,89.509,17.000,127.510,89.435,147.500,90.258,39.219,21.814,136.533,67.658,27.300,103.801,34.087,8.615,95.743,115.577,11.647,60.520,79.853,100.615,123.535,85.263,109.615,108.469,56.897,159.619,147.399,46.414,357.176,127.094,97.437,30.647,69.794,56.067,14.087,83.289,91.621,108.308,79.593,111.473,33.032,69.072,49.828,33.917,135.516,50.615,142.077,94.183,99.122,149.647,105.848,65.967,48.647,74.843,107.463,36.727,125.357,36.756,67.419,120.789,91.397,198.200,106.428,83.836,392.438,102.046,88.742,502.077,160.625,48.200,119.500,156.329,60.405,127.500,120.843,95.899,12.900,97.685,95.945,54.667,112.857,91.738,7.222,96.644,34.803,88.800,105.309,71.214,45.400,49.731,72.335,118.167,99.206,84.247
480,96.235,131.882,59.217,28.375,76.959,41.348,41.622,83.209,54.672,55.714,77.242,54.400,64.000,126.188,41.803,12.154,106.289,39.551,225.588,126.266,28.393,12.581,55.314,70.900,16.462,115.759,33.920,205.083,134.843,81.061,43.619,103.332,76.494,124.000,83.970,41.354,46.385,80.701,47.433,7.333,138.239,88.431,34.250,127.029,89.200,146.900,90.190,39.280,38.512,136.405,66.825,33.600,104.214,34.319,23.308,95.433,115.749,4.353,60.098,79.951,163.077,123.537,85.081,257.769,108.370,56.782,49.429,147.535,46.395,408.529,127.077,97.593,32.941,69.661,56.271,48.913,83.272,91.665,48.923,79.493,111.567,33.419,68.814,50.033,30.333,135.358,50.555,105.462,94.168,99.384,110.235,105.785,65.885,48.824,74.627,107.691,44.500,125.443,36.635,49.613,121.384,91.396,180.300,106.420,83.996,425.125,102.045,88.784,582.231,160.616,48.178,104.833,155.967,60.494,179.500,120.766,95.901,10.100,97.618,95.874,57.667,112.646,91.664,31.500,96.330,35.152,65.400,105.463,71.036,47.800,49.748,71.892,179.000,99.027,84.001
481,93.882,131.859,58.999,39.250,76.805,41.335,36.514,83.462,54.280,37.714,76.966,54.450,79.833,125.930,41.858,18.615,106.503,39.373,200.765,126.224,28.463,0.000,NaN,NaN,24.462,115.602,33.927,217.667,134.904,80.933,45.905,103.089,76.537,97.935,84.053,41.380,63.692,80.838,47.409,14.833,138.100,89.233,0.000,NaN,NaN,171.900,90.212,39.364,50.977,136.543,67.180,68.100,103.842,34.529,28.462,96.051,115.261,21.118,60.456,79.834,227.846,123.683,85.107,2238.923,108.446,56.881,128.286,147.214,46.380,3898.971,127.119,97.514,31.529,69.240,56.039,20.739,83.193,91.666,63.077,79.240,111.672,13.677,68.845,50.106,24.250,135.166,50.765,107.231,94.003,99.160,99.529,105.807,65.634,29.176,74.509,107.629,55.273,124.785,36.661,55.677,121.342,91.366,234.900,106.259,83.995,370.375,102.112,88.726,586.538,160.610,48.222,284.333,155.941,60.485,183.500,120.863,96.051,42.000,97.372,95.597,46.000,113.060,91.744,24.556,96.266,35.048,53.100,105.288,71.432,64.500,49.660,72.535,249.500,99.207,83.847
482,71.765,131.861,59.202,11.875,77.299,41.362,48.514,83.384,54.368,19.810,77.101,54.065,56.000,126.240,41.671,24.308,106.849,39.539,217.765,126.303,28.617,5.355,55.100,71.149,38.692,115.468,33.896,123.083,134.866,81.019,37.905,103.363,76.413,65.935,83.893,41.215,13.538,80.484,48.156,33.833,138.026,89.546,17.500,127.472,88.939,105.200,90.190,39.377,59.023,136.595,66.681,65.600,103.964,34.591,22.615,95.707,115.390,6.412,60.341,79.410,252.077,123.568,85.098,183.308,108.570,56.916,79.143,147.523,46.469,907.882,127.101,97.451,34.294,69.305,56.069,46.609,83.278,91.640,34.154,79.476,111.716,27.161,69.294,49.795,21.333,135.463,50.624,172.846,94.223,99.400,239.529,105.933,65.902,14.118,74.744,107.024,45.909,125.230,36.264,106.387,121.207,91.390,301.600,106.269,84.112,299.688,102.196,88.789,590.846,160.646,48.172,1269.500,155.862,60.437,238.000,120.924,95.920,30.600,97.559,96.053,98.167,112.963,91.694,45.944,96.533,35.077,63.200,105.281,71.342,44.800,49.603,72.199,208.500,99.355,83.908
483,306.706,131.918,59.147,55.250,76.886,40.736,35.189,83.428,54.883,42.000,77.218,54.425,37.167,126.103,41.776,15.846,106.577,39.548,236.235,126.291,28.472,8.387,55.299,71.527,48.538,115.593,34.256,199.583,134.792,80.963,58.286,103.160,76.660,84.968,83.944,41.406,62.769,80.749,47.384,4.083,138.080,89.043,6.250,127.875,89.125,132.900,90.261,39.309,57.163,136.460,66.528,64.400,103.769,34.493,9.692,96.085,115.561,7.529,59.951,78.687,111.077,123.489,85.040,99.000,108.561,56.928,97.714,147.498,46.292,341.529,127.067,97.327,55.824,69.517,55.855,27.870,83.160,91.591,62.538,79.727,111.494,327.806,68.993,50.060,23.250,136.028,50.559,145.923,94.168,99.478,73.882,105.970,65.751,66.294,74.719,107.238,54.455,125.301,36.704,25.161,121.152,91.251,172.700,106.257,83.949,245.125,102.138,88.777,473.308,160.574,48.230,981.167,155.924,60.440,130.250,121.004,95.910,33.700,97.335,95.848,150.667,112.894,91.720,25.389,95.717,34.992,120.200,105.169,71.132,6.700,49.302,72.288,229.833,99.157,84.166
484,1676.823,131.889,59.191,57.000,77.127,40.926,61.108,83.502,54.241,15.048,76.596,54.407,111.667,126.037,41.686,26.077,106.541,39.686,257.471,126.262,28.442,9.613,55.098,71.734,19.385,115.963,34.137,114.833,134.927,81.294,81.810,103.088,76.691,139.548,84.014,41.474,50.154,80.928,47.149,28.583,138.464,88.610,12.500,127.559,89.423,161.800,90.248,39.550,114.093,136.543,66.353,58.100,103.970,34.679,28.077,96.147,115.254,7.471,60.100,79.408,62.462,123.632,84.950,88.308,108.596,57.008,81.143,147.530,46.370,320.118,127.179,97.539,42.235,69.888,55.585,56.217,83.165,91.804,67.923,79.541,111.361,96.452,69.247,49.933,13.333,134.858,50.391,135.538,94.204,99.209,103.059,105.842,65.997,32.529,74.662,107.465,57.364,125.564,36.603,28.710,121.031,91.131,234.500,106.525,84.099,375.000,101.951,88.755,439.846,160.675,48.199,342.500,155.856,60.430,67.250,120.927,95.678,35.000,97.536,95.770,53.333,113.018,91.932,39.111,96.399,34.912,98.000,105.370,71.164,57.600,49.545,72.402,158.333,99.217,84.160
485,228.235,131.914,59.059,39.750,76.865,40.959,47.973,83.218,54.895,29.905,77.411,54.674,49.333,125.854,41.827,15.308,106.385,39.368,221.824,126.277,28.423,3.226,54.585,71.374,42.231,115.710,33.635,155.333,134.901,81.060,47.714,103.172,76.339,128.968,83.952,41.388,57.846,80.872,47.353,2.750,138.537,89.567,9.750,127.255,89.038,108.900,90.117,39.371,71.581,136.512,66.814,19.300,104.130,34.562,17.538,95.896,115.451,9.059,60.478,78.643,38.923,123.830,85.077,42.615,108.512,56.997,100.190,147.302,46.517,300.706,127.016,97.620,53.235,69.482,56.016,53.000,83.192,91.505,39.538,79.464,111.538,46.968,69.015,49.876,4.917,136.135,50.160,133.385,94.267,99.336,162.706,106.032,65.903,71.118,74.738,107.222,54.864,125.319,36.415,61.226,120.737,91.190,204.200,106.368,84.034,277.500,102.039,88.814,611.923,160.601,48.202,67.833,155.962,60.438,140.500,120.843,95.891,13.600,97.490,95.414,56.667,112.720,91.644,57.833,96.644,35.110,60.400,105.188,71.461,29.800,49.855,72.118,210.167,98.989,83.971
486,118.588,131.928,59.138,14.875,76.814,40.890,59.189,83.323,54.599,44.857,77.147,54.771,31.667,126.526,42.000,6.308,106.443,39.714,197.059,126.450,28.384,6.194,54.744,70.612,63.385,115.915,33.772,168.083,134.925,81.039,46.381,103.239,76.449,109.484,84.092,41.266,77.000,80.495,47.402,13.167,137.936,89.419,40.250,127.064,89.077,118.300,90.124,39.388,433.953,136.513,67.542,75.100,103.903,34.580,14.846,95.417,115.743,2.941,60.109,78.926,35.769,123.725,85.314,65.846,108.709,56.890,71.048,147.358,46.373,329.412,127.191,97.464,59.412,69.502,56.111,23.870,83.121,91.827,52.077,79.492,111.800,23.548,68.953,49.639,31.167,135.030,50.587,141.615,94.037,99.167,137.412,105.978,65.931,40.706,74.311,107.473,49.591,125.222,36.719,74.645,121.180,91.438,179.800,106.261,84.041,341.812,101.898,88.777,393.385,160.631,48.201,33.000,156.124,60.308,183.500,120.883,96.029,39.600,97.464,96.030,90.500,112.773,91.953,22.611,96.349,35.047,103.100,105.298,71.312,51.500,49.780,72.567,130.833,99.272,84.086
487,67.059,131.853,59.171,10.750,77.132,41.172,31.730,83.329,54.357,20.667,76.725,54.651,101.333,126.116,41.938,18.615,106.078,39.690,217.000,126.467,28.495,0.000,NaN,NaN,20.385,115.516,33.956,101.167,134.801,80.574,80.571,103.192,76.189,137.290,84.032,41.430,46.846,80.849,46.930,16.917,138.360,89.550,61.750,127.447,89.125,252.100,90.150,39.346,395.116,136.577,67.623,30.200,104.008,34.267,26.769,95.910,115.284,8.118,60.915,80.135,39.462,123.310,85.087,101.385,108.454,56.851,130.286,147.320,46.388,312.941,127.118,97.574,35.412,69.272,56.030,41.957,83.168,90.978,59.846,79.380,111.532,19.806,68.869,50.244,32.833,135.409,50.757,108.769,94.097,99.150,138.471,105.912,65.826,27.235,74.707,107.341,36.591,125.079,36.639,52.258,121.061,91.189,336.700,106.246,83.978,327.688,102.097,88.783,506.462,160.640,48.200,29.833,155.564,60.473,121.750,120.951,95.946,29.200,97.556,95.762,17.333,112.685,91.915,21.722,96.034,35.231,68.300,105.875,71.224,15.200,49.649,72.475,196.333,99.208,83.960
488,68.118,131.930,58.884,14.500,76.725,41.008,40.514,83.357,54.842,67.238,76.923,54.130,80.500,126.261,41.522,15.923,106.434,39.974,189.647,126.184,28.635,6.065,55.404,70.921,28.231,115.613,33.608,121.583,134.855,80.890,44.095,102.986,76.471,134.000,84.012,41.472,43.615,80.911,47.424,4.500,138.185,89.665,53.500,127.293,89.266,88.800,90.178,39.349,48.558,136.568,66.665,17.300,103.761,34.250,27.538,95.606,115.414,8.176,59.992,79.778,25.000,123.706,85.084,95.615,108.421,56.804,98.762,147.276,46.558,392.588,127.027,97.541,18.471,69.424,56.138,44.565,83.185,91.777,48.077,79.408,111.460,19.161,69.111,50.222,14.000,135.929,50.390,1663.231,94.136,99.192,42.353,105.881,65.942,62.471,74.584,107.089,31.909,125.254,36.626,38.452,120.980,91.352,240.400,106.387,83.934,281.062,101.975,88.774,401.692,160.566,48.225,83.333,155.722,60.426,87.500,120.706,95.878,73.500,97.516,96.019,106.833,112.870,91.833,18.611,96.274,35.038,89.000,105.421,71.556,30.100,49.683,72.095,128.333,99.410,83.927
