,index,min_intensity,max_intensity,mean_intensity,normalized_mean,median_intensity,normalized_median,0.9_quantile,normalized_0.9_quantile
0,mean_intensity,0.077,1368.462,66.50321,0.048543509319380146,48.2695,0.035218524026498395,95.92290000000004,0.07004307998114569
1,mean_intensity,215.312,3615.656,480.249015,0.07791476832932197,354.031,0.04079557832972193,489.51250000000005,0.08063904710817495
2,mean_intensity,18.857,1736.643,100.08940666666666,0.04728901426991876,70.893,0.03029248113560129,116.50700000000003,0.05684642906625158
3,mean_intensity,5.062,980.625,64.02772166666666,0.060442761427674754,42.6565,0.038536209347833,86.025,0.0829910523461837
4,mean_intensity,51.444,1501.833,149.816855,0.06782515242462539,125.0,0.05071467034016391,176.16710000000003,0.08599286122550573
5,mean_intensity,0.065,893.742,15.222603333333334,0.016960941518393488,8.54825,0.00949252358514318,26.399900000000002,0.029468029276796877
6,mean_intensity,75.538,2845.039,313.64687166666664,0.08597536944982746,295.346,0.07936736617896147,374.7228,0.1080284137828439
7,mean_intensity,7.0,1159.714,73.90273499999999,0.05803931851265795,54.607,0.04129992348492341,92.4432,0.0741235033147858
8,mean_intensity,2.846,781.692,34.20446666666667,0.04026273058687683,27.615000000000002,0.0318021791214181,54.02310000000001,0.06570888211533475
9,mean_intensity,0.269,352.962,37.6366875,0.10594961482082152,29.308,0.08233506193771921,61.6617,0.17406838241756997
10,mean_intensity,0.056,416.611,22.504076666666666,0.05388982647349489,13.222,0.03160687064133188,30.7835,0.0737657692261526
11,mean_intensity,0.059,385.824,19.502977500000004,0.05040368488587613,14.853,0.03834977252990811,31.264400000000006,0.08089225305561677
12,mean_intensity,0.278,437.667,19.284529999999997,0.04345452217591206,14.889,0.033405046766150956,28.672500000000003,0.06491818495664045
13,mean_intensity,78.833,2080.917,244.78917999999996,0.08289171683106202,219.45850000000002,0.07023956037808606,287.7253,0.10433743039752578
14,mean_intensity,87.73,3011.432,246.68004833333336,0.05436602236935686,229.5675,0.048512981145137225,298.88120000000004,0.07222049305982622
15,mean_intensity,0.125,846.375,35.126666666666665,0.041360905957656326,27.5625,0.03242245199409158,57.275000000000006,0.06753323485967504
16,mean_intensity,7.097,918.452,66.61313333333334,0.06530510430439657,46.935500000000005,0.04371348157413961,78.645,0.07850727762507476
17,mean_intensity,1.19,2325.381,98.45919166666667,0.041850773738761865,56.9285,0.023981893054400436,136.0286,0.05801528359760451
18,mean_intensity,126.0,3137.188,390.18652333333335,0.08773498145361013,271.781,0.04841311801189431,531.0250000000008,0.13450671296511568
19,mean_intensity,19.6,989.057,69.00679333333333,0.05096336746584256,52.657,0.03409846955563784,77.3853,0.059605841208016444
20,mean_intensity,26.595,1668.378,85.233495,0.035716349237383996,75.378,0.02971342741397615,105.2809,0.04792710120643228
21,mean_intensity,0.129,1019.871,38.75541583333333,0.03787861619246175,30.935499999999998,0.03021009235669414,62.44510000000001,0.06110967283881611
22,mean_intensity,109.538,831.077,266.2558916666666,0.2171994745490772,251.615,0.19690827522836604,359.1848,0.34599210853467377
23,mean_intensity,150.095,3440.0,380.94116166666663,0.07016803271421716,276.4285,0.03840034894624616,386.18070000000006,0.07176064354441847
24,mean_intensity,1.137,585.647,29.36534833333333,0.048294038311292066,21.804,0.03535782108090536,50.419500000000006,0.08431421190398795
25,mean_intensity,7.027,3677.432,200.82784166666664,0.05280094203954786,199.946,0.05256068472007858,326.7786,0.08711616293024885
26,mean_intensity,0.111,403.556,22.82391,0.05629741352600726,20.167,0.04971185663473336,36.278,0.08964542874493425
27,mean_intensity,22.75,1468.875,158.35041666666666,0.09376811594202898,131.0625,0.07489843547411185,236.5125,0.14781744316708445
28,mean_intensity,2.25,1528.5,158.695625,0.10250327600327601,115.25,0.07403767403767404,218.75000000000006,0.14185094185094188
29,mean_intensity,0.136,530.682,33.24425,0.06240410822058784,22.7955,0.04270977445876512,49.563600000000015,0.09316364650756015
30,mean_intensity,36.0,1617.73,119.90469500000002,0.0530461551592244,106.541,0.044597371232764124,144.97840000000002,0.06889823168303062
31,mean_intensity,24.471,1652.177,107.507335,0.05101433244087077,99.4415,0.046058993454591926,146.14130000000003,0.07474955550941019
32,mean_intensity,20.077,1000.615,85.51473166666666,0.06673655856954719,78.846,0.05993546400037531,115.3234,0.09713687791804092
33,mean_intensity,0.125,345.0,18.045208333333335,0.051961459465990095,10.125,0.02899601304820587,31.0,0.08952519028633563
34,mean_intensity,8.385,3073.577,123.23481166666664,0.0374690432660227,89.692,0.026525907675604005,184.06920000000002,0.05731588755288414
35,mean_intensity,62.471,667.412,162.21726666666663,0.16488594204503682,157.5885,0.15723434186143773,216.471,0.2545702804075108
36,mean_intensity,0.25,1757.0,98.61833333333334,0.05599449741473365,86.625,0.049167496798064605,168.8,0.09594421517005836
37,mean_intensity,0.357,632.429,37.9761875,0.05951725040818135,31.5715,0.04938440557404853,55.33600000000001,0.08698217924540244
38,mean_intensity,1.312,667.062,25.012506666666667,0.03559970960070096,20.375,0.028633871573413443,39.688,0.057643259481787466
39,mean_intensity,15.385,1124.615,80.61218166666667,0.058804018703665306,59.769,0.04001334258900318,98.077,0.07454901147642959
