 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22
514,39.755,126.155,131.537,35.275,123.553,136.459,59.259,119.860,90.561,112.481,171.399,64.550,8.429,154.652,141.822,53.672,122.377,74.384,119.787,119.016,148.781,436.645,169.436,55.860,138.240,163.826,60.958,159.333,121.980,125.145,27.767,147.980,142.508,26.824,113.557,129.299,148.889,139.131,137.349,196.444,135.642,125.853,517.892,143.372,133.525,395.455,144.212,126.980,234.457,149.959,124.423,1594.048,154.021,130.072,98.938,139.938,148.242,39.905,137.653,154.825,81.750,90.068,178.253,14.000,118.657,133.456
515,47.673,125.917,131.460,58.450,123.321,136.491,73.963,119.873,90.357,111.089,171.145,64.290,35.524,154.051,141.794,65.836,122.728,74.690,116.340,119.127,148.496,373.032,169.436,56.020,72.933,163.739,60.632,122.667,121.926,125.330,22.367,147.892,142.232,40.882,113.665,129.053,156.889,139.175,137.336,182.556,135.730,125.829,474.486,143.407,133.441,363.318,144.232,126.987,177.943,150.044,124.274,1351.429,154.009,130.017,68.438,140.154,148.283,76.952,138.157,154.677,88.458,90.017,178.537,34.688,118.694,132.561
516,60.735,126.200,131.481,50.425,123.506,136.697,97.519,119.862,90.781,119.696,171.076,64.467,29.000,154.271,142.112,49.639,122.504,74.532,103.489,119.267,148.971,324.258,169.411,55.996,66.827,163.843,60.682,41.143,121.791,125.453,30.600,148.244,141.800,57.118,113.538,129.213,129.333,139.280,137.427,230.111,135.773,126.224,561.351,143.316,133.438,451.318,144.256,126.782,129.971,150.071,124.435,1011.000,154.023,130.049,108.938,139.963,148.045,52.429,137.766,154.791,78.583,90.223,178.372,39.781,119.019,133.137
517,54.265,125.921,131.148,38.325,123.617,136.702,72.889,119.965,90.931,113.392,171.085,64.407,67.714,154.133,142.156,64.131,122.813,74.548,101.021,119.000,148.531,417.290,169.376,56.013,137.733,163.795,60.700,19.190,122.032,125.496,46.200,147.832,141.904,41.412,113.309,129.362,184.111,138.936,137.213,181.778,135.825,125.978,561.243,143.349,133.414,456.000,144.243,126.828,125.343,150.140,124.432,288.190,154.099,130.040,109.562,139.912,148.359,64.000,138.010,154.882,101.500,90.469,178.473,47.031,118.864,132.723
518,202.531,126.022,131.562,40.075,123.428,136.608,108.667,119.730,90.845,121.696,171.227,64.548,39.619,154.132,142.434,39.770,122.796,74.429,164.170,119.173,148.450,392.387,169.476,55.983,95.707,163.644,60.661,29.286,122.039,125.006,11.033,148.210,141.746,51.235,114.046,129.115,157.111,139.026,137.324,191.000,136.021,126.071,428.811,143.405,133.454,361.409,144.322,126.859,191.114,149.973,124.320,207.619,154.208,130.035,72.375,140.261,148.024,48.095,137.672,154.432,75.792,90.383,178.578,37.469,118.669,132.628
519,120.082,126.119,131.106,35.725,123.236,137.024,66.963,119.675,90.616,86.709,171.453,64.410,34.381,154.357,141.831,61.738,122.793,74.167,97.489,119.221,148.645,453.290,169.357,55.873,105.173,163.833,60.631,36.714,121.729,125.211,34.267,148.029,141.795,34.059,113.477,129.471,185.778,139.068,137.377,146.000,135.724,126.075,471.351,143.349,133.517,461.318,144.294,126.970,161.171,149.912,124.497,94.810,154.136,129.894,99.750,139.898,148.170,33.238,138.260,154.495,59.875,90.613,178.396,32.375,118.995,132.864
520,54.918,126.107,131.103,28.000,123.221,136.933,90.556,119.813,90.520,104.430,171.057,64.338,23.333,154.111,141.587,52.066,122.544,74.141,70.638,119.290,148.683,365.935,169.332,55.963,141.440,163.902,60.662,22.857,122.092,125.565,54.033,148.295,141.842,20.412,113.567,129.553,169.722,139.284,137.535,183.167,135.749,126.107,521.730,143.330,133.433,466.864,144.197,126.782,155.029,150.024,124.417,146.190,153.926,130.072,127.312,139.841,148.280,38.000,137.918,154.716,98.083,90.182,178.522,28.500,118.775,133.026
521,49.082,126.054,131.426,39.700,123.369,136.533,68.926,119.857,91.224,92.253,171.180,64.363,27.667,154.421,141.957,48.590,122.616,74.989,157.106,119.318,148.743,380.516,169.319,55.951,68.453,163.927,60.676,47.762,122.021,125.407,13.233,147.560,142.030,28.882,113.950,129.037,137.500,139.181,137.236,192.389,135.759,125.888,483.297,143.404,133.473,510.318,144.335,126.822,126.657,150.019,124.548,165.048,154.096,130.104,85.625,140.053,148.292,53.000,138.066,154.867,87.167,90.223,178.530,21.656,118.607,132.629
522,50.082,126.347,130.892,116.925,123.288,136.399,121.593,119.839,90.856,110.911,171.253,64.561,37.429,154.383,142.376,47.115,122.704,74.845,146.213,119.274,148.401,394.581,169.401,55.968,119.707,163.740,61.007,53.143,122.046,125.532,20.633,148.155,142.024,24.941,113.716,129.529,140.556,139.045,137.389,2917.667,135.789,126.080,605.784,143.284,133.466,404.955,144.147,126.847,123.343,149.962,124.475,168.429,154.082,130.157,97.062,139.761,148.055,54.190,137.602,154.932,86.750,89.874,178.620,25.031,118.645,132.567
523,66.102,126.161,131.261,214.525,123.283,136.664,57.519,119.809,91.014,93.772,171.371,64.549,22.238,154.528,141.871,51.443,122.442,74.315,126.766,119.230,148.728,410.839,169.290,55.896,113.840,163.679,61.129,22.048,122.245,125.396,17.100,147.877,141.493,37.353,113.571,129.573,3011.917,139.171,137.373,2752.667,135.769,126.097,470.973,143.372,133.418,386.455,144.178,126.851,160.343,149.978,124.276,151.571,154.112,130.085,148.375,140.044,148.214,34.381,138.010,154.809,98.417,90.190,178.414,33.281,118.533,132.925
524,446.061,125.968,131.429,119.000,123.486,136.625,105.000,119.751,90.288,109.038,171.084,64.371,12.095,154.160,141.600,72.295,122.742,74.114,128.809,119.349,148.575,427.419,169.412,55.974,100.000,163.806,60.343,17.524,121.999,125.568,42.733,148.091,142.087,36.176,113.316,129.255,2447.944,139.161,137.357,2274.222,135.785,126.086,463.297,143.258,133.377,396.591,144.170,127.031,130.286,150.070,124.428,218.143,153.991,130.066,107.438,139.950,148.091,65.810,138.088,154.820,123.292,89.799,178.437,32.219,118.565,132.730
525,175.898,126.076,131.338,108.000,123.382,136.783,75.444,119.876,90.616,105.139,171.435,64.365,43.952,154.238,141.709,48.623,122.630,74.214,92.043,119.150,148.655,444.323,169.292,55.906,85.867,163.796,60.627,105.667,122.306,125.206,32.533,148.024,141.816,26.059,113.679,128.944,2137.111,139.219,137.274,2167.556,135.772,126.081,491.946,143.349,133.461,1342.000,144.240,126.769,178.057,150.118,124.483,201.905,154.017,130.087,83.000,139.950,148.154,31.000,137.798,154.939,79.292,90.103,178.391,30.969,118.354,133.022
526,140.469,125.840,131.403,90.700,123.240,136.850,45.481,119.744,90.792,115.013,171.368,64.703,22.762,153.962,142.391,95.377,123.015,74.836,146.723,119.219,148.818,397.419,169.412,56.012,69.893,163.879,60.734,49.476,121.486,125.298,334.033,147.880,142.142,32.118,113.780,129.033,1954.556,139.191,137.311,2137.944,135.764,126.128,522.270,143.290,133.370,3872.364,144.283,126.835,142.743,150.205,124.544,218.667,153.929,130.257,72.375,140.086,147.976,25.619,138.178,154.755,80.417,89.675,178.349,20.438,118.710,132.975
527,172.633,125.938,131.169,50.825,123.287,136.566,74.185,119.924,90.553,105.392,171.206,64.527,27.476,154.288,141.737,54.721,122.762,74.669,138.383,119.236,148.499,425.871,169.361,55.858,112.613,163.761,60.853,40.095,121.831,125.222,378.933,147.901,142.129,31.412,113.673,129.177,1811.667,139.212,137.339,1462.167,135.838,126.127,4095.000,143.375,133.455,3918.841,144.292,126.823,148.657,149.998,124.451,137.714,154.049,130.162,102.688,140.073,147.845,37.810,138.161,154.533,82.875,90.111,178.489,53.250,118.802,132.990
528,67.837,125.957,131.122,43.525,123.518,136.940,75.037,120.027,90.711,90.557,171.413,64.428,24.905,154.284,141.472,43.148,122.417,74.686,130.043,119.277,148.561,352.710,169.413,56.022,90.560,163.819,60.681,42.476,122.099,125.624,261.133,147.905,142.178,23.529,113.803,129.359,910.944,139.150,137.318,332.778,135.801,125.919,3984.351,143.358,133.458,3349.477,144.296,126.807,179.943,149.753,124.611,152.000,154.060,130.062,111.812,139.938,147.993,69.571,137.615,154.921,73.042,89.841,178.423,33.656,118.847,133.050
529,44.388,126.331,131.408,43.675,123.355,136.438,40.704,119.898,91.107,86.785,171.120,64.429,32.667,154.141,141.618,43.541,122.927,74.569,99.149,119.156,148.366,453.742,169.374,56.022,120.373,163.877,60.664,30.143,121.815,125.297,112.800,148.042,141.959,35.176,113.715,129.201,233.611,139.242,137.347,124.556,135.722,126.076,2778.946,143.310,133.434,3508.455,144.298,126.779,134.029,150.110,124.491,175.000,153.991,130.178,73.375,139.718,147.986,37.190,138.355,154.517,56.333,90.325,178.353,15.875,118.631,132.969
530,36.184,126.103,131.336,11.325,123.703,136.661,61.963,119.828,90.685,117.823,171.026,64.399,24.190,154.035,141.780,51.279,122.469,74.006,137.660,119.185,148.482,433.419,169.429,55.967,93.840,163.885,60.793,51.571,121.831,125.356,206.433,147.928,142.158,25.941,113.763,129.504,122.556,139.089,137.020,122.444,135.873,126.245,3785.568,143.344,133.461,2264.318,144.283,126.861,123.800,150.059,124.416,146.048,154.052,130.028,105.875,140.049,148.286,59.619,137.907,154.464,80.458,89.784,178.425,30.719,118.560,133.092
531,54.061,126.230,131.496,24.050,123.387,136.341,77.148,119.796,91.129,119.747,171.185,64.486,13.571,154.226,141.689,63.770,122.482,74.165,67.787,119.129,148.570,420.645,169.468,55.957,69.547,163.822,60.955,14.952,122.328,125.079,195.900,147.821,142.063,20.882,113.226,129.487,208.333,138.961,137.138,209.833,135.728,126.033,3949.757,143.359,133.455,2290.909,144.277,126.829,134.971,150.106,124.238,186.714,154.079,129.930,98.688,139.913,148.300,39.524,137.513,154.707,53.292,90.123,178.582,39.000,118.595,132.739
