 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
358,83.059,260.561,197.181,219.773,162.662,173.140,77.125,257.425,193.360,16.000,259.480,187.636,249.773,169.446,169.563,221.765,247.507,195.785,85.000,246.585,200.254,190.353,242.636,155.619,378.375,228.997,198.485,350.529,229.571,193.712,162.111,222.197,216.488,914.238,163.749,168.884,129.951,244.639,190.151,91.958,240.167,194.593,452.238,237.712,169.623,307.562,258.488,181.293,39.941,216.159,195.021,89.312,220.864,198.687,16.176,238.228,190.611,492.308,240.831,161.614
359,117.294,260.562,197.421,216.773,162.713,173.136,73.812,257.240,193.591,8.581,259.257,188.195,322.727,169.438,169.624,123.882,247.818,195.887,120.056,246.480,200.392,217.353,242.569,155.520,697.062,229.070,198.361,301.059,229.650,193.739,165.185,222.281,215.914,760.857,163.701,168.917,86.341,244.653,189.942,124.208,240.182,195.164,390.905,237.758,169.717,333.500,258.367,181.208,68.765,216.070,195.007,111.406,220.695,198.303,76.176,238.403,190.506,573.462,240.708,161.447
360,644.588,260.567,197.378,176.636,162.882,173.259,115.375,256.994,193.408,33.355,259.394,187.869,186.273,169.444,169.649,152.118,247.805,195.738,85.667,246.765,200.624,170.882,242.564,155.529,530.688,229.084,198.480,310.294,229.554,193.755,172.556,222.237,215.926,327.905,163.773,168.932,87.341,244.591,189.662,110.292,240.295,194.744,348.952,237.727,169.662,333.438,258.395,181.183,61.706,216.234,194.846,101.781,220.634,198.240,44.941,238.027,190.316,489.231,240.641,161.457
361,286.353,260.608,197.189,169.273,162.753,173.147,76.062,257.398,193.750,22.774,259.290,187.913,211.682,169.515,169.457,200.176,247.684,195.784,95.333,246.436,200.824,256.059,242.661,155.757,511.750,229.104,198.513,639.588,229.513,193.794,269.481,222.351,216.002,337.952,163.739,168.922,89.000,244.696,190.393,117.667,240.166,194.641,373.667,237.845,169.761,326.375,258.535,181.060,62.618,216.157,195.159,86.625,220.714,198.398,44.824,238.656,190.537,490.538,240.736,161.470
362,103.882,260.531,197.279,184.909,162.797,173.297,93.062,257.121,193.624,4.387,259.288,188.051,300.227,169.567,169.513,202.235,247.758,195.785,148.556,246.604,200.407,197.176,242.511,155.804,532.875,229.139,198.369,762.588,229.587,193.755,221.593,222.345,215.911,301.190,163.789,169.018,102.195,244.692,190.410,73.042,240.190,194.991,483.905,237.857,169.677,253.062,258.505,181.270,62.529,216.045,194.981,81.656,220.683,198.437,57.059,238.610,190.546,343.692,240.702,161.531
363,64.529,260.503,196.967,188.864,162.767,173.309,100.000,257.335,193.766,0.323,259.625,188.635,226.136,169.695,169.495,274.000,247.749,195.615,81.667,246.708,200.649,204.647,242.513,155.702,314.062,228.989,198.431,408.647,229.659,193.763,232.148,222.310,216.113,131.476,163.673,169.164,118.195,244.601,190.325,121.083,240.134,194.870,382.286,237.619,169.783,249.062,258.486,181.076,73.941,216.308,194.800,78.562,220.757,198.282,46.059,238.402,190.558,490.615,240.628,161.606
364,73.882,260.415,197.373,223.318,162.655,173.122,67.562,257.361,193.711,18.452,259.609,187.499,290.273,169.572,169.471,271.294,247.781,195.951,81.556,246.644,200.564,183.176,242.649,155.551,499.062,229.023,198.385,505.706,229.592,193.666,269.815,222.350,216.100,154.333,163.654,168.933,94.171,244.569,190.390,106.708,240.231,195.168,368.095,237.770,169.514,277.125,258.330,181.117,48.676,216.161,194.813,70.812,220.606,198.557,72.353,238.647,190.712,595.000,240.645,161.444
365,65.706,260.641,197.034,182.909,162.667,173.280,108.438,257.190,193.310,25.548,259.604,187.837,248.182,169.434,169.390,196.529,247.648,195.787,127.000,246.428,200.637,144.412,242.545,155.717,914.625,229.099,198.377,428.588,229.635,193.804,231.148,222.358,216.083,123.095,163.665,169.130,92.073,244.430,190.376,120.417,240.195,195.021,405.190,237.794,169.734,254.000,258.569,181.367,30.471,216.226,195.097,82.688,220.586,198.697,80.118,238.441,190.757,686.615,240.673,161.546
366,43.882,260.772,197.194,212.636,162.605,172.989,86.125,257.472,193.339,10.903,259.372,187.789,246.318,169.506,169.505,186.882,247.568,196.039,130.444,246.521,200.702,178.941,242.583,155.694,601.375,229.182,198.379,427.176,229.550,193.639,206.296,222.270,216.056,108.905,163.601,168.993,91.098,244.528,190.162,107.083,240.135,194.971,373.476,237.789,169.748,242.750,258.446,181.149,41.265,216.081,194.634,63.500,220.762,198.539,53.353,238.308,190.764,496.692,240.700,161.572
367,63.588,260.690,197.319,2738.136,162.756,173.116,92.812,257.408,193.599,6.581,259.923,187.419,231.818,169.529,169.517,163.294,247.838,195.939,91.000,246.653,200.872,192.000,242.607,155.567,1182.250,229.124,198.392,495.941,229.597,193.750,294.481,222.237,216.116,257.048,163.611,169.210,91.634,244.463,190.051,147.667,240.241,194.882,441.524,237.765,169.727,329.469,258.375,181.029,75.500,216.197,194.588,82.625,220.493,198.418,68.059,238.624,190.522,624.923,240.618,161.569
