 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27
490,69.591,56.399,108.227,72.818,75.023,143.963,70.889,73.257,168.322,152.980,60.890,101.443,53.111,85.640,171.681,138.941,62.542,95.838,34.833,34.340,92.597,251.027,41.648,108.705,352.647,52.898,59.924,115.176,64.888,162.804,115.846,84.388,131.895,56.452,87.094,161.011,40.667,78.457,135.749,38.941,58.423,53.244,137.946,49.008,109.730,109.615,45.068,111.829,245.136,50.279,143.682,26.750,72.171,141.721,62.353,80.679,125.961,37.625,69.652,160.569,22.706,65.697,139.087,78.333,56.148,55.970,197.700,69.122,164.377,57.500,74.048,151.437,20.902,83.289,97.068,146.920,79.594,131.515,89.857,59.391,146.428
491,194.727,56.180,107.395,94.500,75.060,143.923,47.222,73.482,168.241,110.471,61.012,101.620,64.500,85.523,171.498,162.824,62.699,95.933,27.889,34.319,92.176,304.216,41.804,108.655,311.353,52.846,60.159,97.176,64.849,162.655,113.692,84.221,131.805,60.645,87.162,161.019,75.143,78.325,135.920,59.824,58.558,52.939,92.595,49.214,110.021,31.385,45.093,111.864,197.500,50.205,143.710,89.250,72.830,141.313,30.118,81.050,125.802,82.500,69.541,160.394,35.647,65.870,139.260,94.917,55.784,56.108,92.900,69.117,164.192,86.625,74.194,151.602,47.451,83.676,96.989,134.531,79.376,131.837,44.810,59.524,146.421
492,106.364,56.057,107.687,38.500,74.897,143.738,36.500,73.452,167.976,141.333,61.113,101.372,32.500,85.202,171.448,143.588,62.652,95.966,12.389,34.320,92.621,1043.568,41.711,108.677,479.647,53.016,60.068,61.529,64.925,162.647,114.308,84.172,132.116,54.774,87.407,160.736,67.143,78.982,135.940,16.000,58.574,52.978,91.568,48.953,110.008,94.615,44.907,111.976,127.500,50.448,143.529,96.125,72.418,141.335,45.765,80.974,125.911,36.125,69.511,160.279,30.353,65.429,139.411,88.167,56.088,56.208,115.700,69.014,164.238,57.688,73.748,151.472,35.647,83.176,96.851,136.000,79.193,131.923,37.381,59.752,146.912
493,115.545,56.171,107.624,45.955,74.738,144.023,37.222,73.660,168.194,189.098,61.140,101.605,34.444,85.409,171.013,199.353,62.565,96.030,26.333,34.186,92.615,783.081,41.676,108.752,401.706,53.003,60.014,111.588,65.104,162.377,198.231,84.077,131.819,31.806,87.291,160.538,14.476,78.520,136.280,38.941,58.595,53.001,121.568,49.075,110.032,101.077,44.917,111.970,129.136,50.127,143.557,7.625,72.537,141.469,4.471,79.825,126.015,21.062,69.517,160.525,9.529,66.151,139.621,65.667,55.907,56.271,132.500,69.031,164.622,56.500,73.694,151.611,17.529,82.904,96.892,127.912,79.471,131.737,30.619,60.127,146.593
494,103.909,56.023,107.472,37.045,74.666,143.725,63.278,73.400,167.990,216.392,61.058,101.553,50.667,85.620,171.224,197.471,62.554,95.920,31.556,34.168,91.953,478.054,41.689,108.756,111.353,53.107,60.141,120.529,64.994,162.668,111.538,84.080,131.975,8.323,86.977,161.112,37.238,78.548,135.723,53.412,58.443,53.178,78.811,49.274,109.984,20.462,44.997,111.767,197.227,50.262,143.596,46.000,72.408,141.321,56.588,80.991,126.132,41.812,69.608,160.689,29.588,65.375,139.123,111.083,55.708,56.167,64.000,69.192,164.319,63.562,73.894,151.435,25.961,83.305,97.002,112.726,79.296,131.793,50.095,59.552,146.956
495,79.318,56.048,107.699,28.273,75.190,143.920,38.222,73.761,168.154,123.451,61.232,101.569,68.667,85.367,171.613,178.941,62.693,96.026,44.278,34.354,92.030,821.622,41.746,108.755,176.765,53.113,59.922,189.941,64.849,162.442,71.077,84.304,132.277,50.129,87.465,160.867,45.238,78.543,136.316,75.059,58.880,52.886,69.946,49.112,109.741,153.615,44.758,111.998,268.727,50.445,143.735,48.750,72.667,141.479,2.353,80.135,126.325,52.500,69.621,160.202,31.706,65.635,138.891,129.917,55.811,56.314,55.900,69.130,164.371,48.500,73.863,151.783,27.843,83.265,96.939,126.283,79.025,131.762,36.905,60.112,146.494
496,131.045,56.070,107.877,97.955,74.982,143.758,34.722,73.562,168.535,136.510,60.924,101.686,116.778,85.310,171.135,156.000,62.672,96.026,45.056,34.215,92.453,432.216,41.774,108.639,88.059,53.173,60.040,98.941,64.944,162.878,141.077,84.069,132.128,90.581,87.308,160.838,69.905,78.875,135.870,65.588,58.548,52.973,104.324,49.303,109.969,60.385,45.013,111.721,234.545,50.238,143.656,36.000,72.357,141.346,2.353,80.197,126.000,24.250,69.541,160.224,27.588,65.536,139.141,70.667,55.519,56.167,75.000,69.151,164.535,32.875,73.888,151.781,46.118,83.411,97.236,112.071,79.094,131.924,36.810,59.158,146.284
497,117.727,56.058,107.724,44.136,74.923,144.129,72.222,73.501,168.132,194.196,61.011,101.583,77.778,85.530,171.457,88.235,62.766,95.969,51.222,34.432,92.452,290.919,41.706,108.547,36.941,53.212,59.579,58.765,64.892,162.211,148.385,84.116,132.154,83.419,87.503,161.120,37.810,78.595,135.829,23.765,58.599,52.808,97.135,49.138,109.949,35.846,44.989,112.262,284.818,50.086,143.627,13.000,72.415,141.265,48.118,80.782,125.946,40.750,69.169,160.116,37.235,65.061,139.463,130.750,56.164,56.300,61.600,69.069,164.282,25.438,73.379,151.779,36.588,83.598,96.618,122.619,79.225,131.804,51.429,59.358,146.439
498,93.273,56.156,107.650,29.000,74.947,143.646,26.889,73.611,168.230,155.294,60.948,101.450,42.333,85.794,171.404,116.882,62.437,96.097,35.278,34.158,92.724,119.730,41.585,108.622,49.059,53.105,59.887,87.118,65.096,162.417,144.846,84.087,132.040,31.484,87.428,160.867,72.857,78.671,136.027,64.941,59.034,53.072,81.784,49.113,110.111,51.692,45.043,111.873,213.455,50.345,143.543,22.875,72.515,141.483,48.000,80.864,125.887,57.500,69.612,160.239,20.471,65.448,139.175,103.917,56.033,56.156,101.700,69.138,164.497,64.188,73.789,151.559,17.412,82.902,96.920,130.301,79.056,131.938,37.286,59.641,146.659
499,93.409,56.186,107.596,68.409,74.929,143.857,62.222,73.599,168.287,200.353,60.960,101.562,61.222,85.482,171.257,163.529,62.683,95.811,28.000,34.074,92.190,127.243,41.646,108.678,43.706,53.107,60.064,149.118,65.166,162.545,98.846,84.073,132.098,60.323,87.528,161.168,69.905,78.613,135.870,55.824,58.767,53.048,72.378,49.224,110.089,118.231,45.112,111.804,153.045,50.254,143.714,53.500,72.652,141.419,28.941,80.358,125.921,49.875,69.115,160.344,29.824,65.508,139.240,122.583,56.262,56.132,77.500,69.155,164.019,25.688,74.136,151.608,6.157,83.667,97.074,104.956,79.171,131.860,24.524,59.624,146.797
