 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
527,22.227,107.724,70.003,223.020,118.386,87.081,95.250,124.199,89.507,253.471,124.301,105.760,61.000,149.810,119.301,205.935,118.203,107.480,364.812,119.993,111.024,125.706,102.404,137.193,363.118,112.503,94.678,35.235,128.585,98.494,63.357,130.733,93.309,85.889,107.297,64.384,223.833,98.041,68.670
528,76.318,107.872,70.058,153.020,118.359,87.342,59.438,124.514,89.378,192.882,124.446,105.836,74.800,149.694,119.341,215.613,118.301,107.396,336.688,119.923,111.207,106.412,102.390,136.980,415.353,112.612,94.816,26.000,128.514,98.481,98.357,130.916,93.232,29.278,107.453,64.318,215.278,97.993,68.677
529,55.091,107.876,69.634,235.804,118.185,87.204,54.562,124.727,88.974,150.059,124.600,105.887,25.500,149.586,119.439,156.581,118.253,107.375,294.000,119.913,110.937,101.118,102.467,137.079,359.118,112.625,94.607,17.000,128.435,98.474,26.143,130.888,93.317,69.722,107.528,64.234,148.111,97.932,68.530
530,34.864,108.003,69.980,151.961,118.359,87.203,35.125,124.113,89.477,197.118,124.513,105.783,65.200,149.676,119.018,211.484,118.131,107.177,278.000,119.906,111.057,80.706,102.263,136.980,413.647,112.586,94.856,45.412,128.248,98.264,41.214,130.886,92.851,71.222,107.165,64.195,126.333,98.021,68.502
531,23.091,107.922,70.030,160.314,118.114,87.242,39.562,124.329,88.955,248.765,124.505,105.718,10.600,149.911,118.517,253.226,118.369,107.380,280.375,120.050,110.973,148.118,102.452,136.900,403.294,112.590,94.694,43.353,128.682,98.769,52.357,130.868,93.168,55.333,107.136,64.013,115.778,97.538,68.550
532,49.182,107.924,69.675,222.471,118.277,87.226,50.938,124.400,89.215,193.412,124.352,105.893,40.100,149.308,119.231,225.871,118.273,107.390,212.750,119.919,110.879,118.588,102.482,137.042,542.118,112.525,94.702,35.706,128.613,98.383,96.286,130.838,93.123,36.111,107.375,63.886,115.667,98.059,68.724
533,40.045,107.993,69.845,153.333,118.655,87.251,79.562,124.360,89.332,168.176,124.613,105.890,28.700,149.955,119.106,228.452,118.132,107.313,276.625,120.004,110.892,58.647,102.295,136.922,507.588,112.591,94.727,94.353,128.286,98.781,92.929,130.885,92.882,20.944,107.104,64.623,136.556,98.046,68.665
534,58.909,107.995,69.890,196.000,118.403,87.483,84.812,124.219,89.080,198.118,124.422,105.689,36.400,149.808,118.519,1792.129,118.207,107.318,338.312,120.056,110.897,112.647,102.404,137.140,556.588,112.562,94.727,49.353,128.505,98.436,63.786,130.978,92.688,38.722,107.225,64.156,102.000,98.304,68.517
535,69.136,107.903,69.707,228.000,118.390,87.384,70.000,124.193,89.398,126.941,124.559,105.766,77.100,149.641,118.816,984.387,118.249,107.364,257.188,120.029,111.013,80.353,102.394,137.320,481.000,112.565,94.776,41.529,128.249,98.607,68.786,130.730,93.176,27.167,106.856,64.262,105.944,97.732,68.435
536,36.455,107.973,69.847,165.020,118.343,87.235,43.438,124.391,89.464,237.294,124.290,105.637,44.600,149.560,119.214,396.258,118.160,107.433,198.438,119.930,110.920,94.412,102.336,137.075,443.588,112.618,94.665,54.941,128.542,98.223,69.857,130.780,92.938,53.556,107.449,64.781,114.556,97.832,68.672
