 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26
260,53.226,92.302,96.031,45.233,75.627,72.775,854.969,86.584,101.693,711.367,86.699,94.909,73.556,107.053,97.533,59.385,105.613,103.181,41.886,125.198,119.060,176.500,102.893,93.452,116.455,100.378,103.364,149.971,126.915,106.637,89.690,55.576,67.165,523.692,132.554,104.574,10.129,36.585,58.358,320.824,131.985,123.434,21.909,137.795,111.337,371.750,55.228,61.047,75.167,80.655,141.994,24.000,89.418,137.484,242.941,64.937,49.771,58.438,69.815,63.598,152.903,58.729,56.657,40.111,125.225,112.423,164.054,115.162,119.478,179.667,126.174,123.837,27.095,80.689,83.870,62.225,101.824,119.458
261,97.935,92.429,95.909,27.133,75.149,72.812,874.247,86.685,101.602,745.667,86.654,94.964,75.556,106.967,97.798,95.769,105.236,103.079,46.971,125.323,118.840,187.528,102.890,93.516,145.636,100.421,103.167,181.800,126.923,106.822,108.667,55.596,67.056,347.538,132.527,104.563,15.419,36.521,58.177,335.294,132.000,123.491,50.318,137.818,111.161,462.438,55.326,61.163,70.767,80.622,141.672,21.045,90.200,138.010,268.941,64.869,49.773,65.031,69.916,63.818,181.935,58.849,56.975,60.722,125.646,112.338,163.351,115.204,119.497,180.222,126.341,123.982,68.190,80.509,84.144,67.275,101.890,119.715
262,99.419,92.231,96.022,18.867,75.327,73.008,891.423,86.622,101.680,717.500,86.658,94.917,88.389,107.416,97.815,95.462,105.329,103.065,48.200,125.077,119.330,194.750,102.942,93.309,110.955,100.228,103.274,178.543,126.863,106.641,45.690,55.741,66.881,694.308,132.535,104.562,41.613,36.757,58.596,231.706,132.093,123.619,14.909,137.319,110.714,390.562,55.314,61.131,51.333,80.539,141.777,35.182,89.835,136.985,258.412,64.797,49.778,95.438,69.798,63.368,63.097,58.815,56.532,66.722,125.225,112.453,226.919,115.034,119.552,283.926,126.217,123.854,42.286,80.757,83.948,75.800,101.956,119.560
263,76.645,92.156,95.814,23.233,75.324,72.652,875.649,86.634,101.722,709.800,86.637,94.969,63.389,107.320,97.729,82.000,105.207,103.222,49.029,125.232,119.377,152.583,102.908,93.356,142.091,100.417,103.228,183.514,127.104,106.764,104.524,55.614,67.014,538.538,132.505,104.493,1.677,36.938,59.305,52.647,131.988,123.409,42.455,137.579,111.247,448.250,55.297,60.944,77.233,80.724,141.669,26.364,89.888,136.976,204.176,64.873,49.668,117.375,70.010,63.589,135.742,58.788,56.562,61.778,125.620,112.226,220.541,115.243,119.505,307.037,126.074,123.911,22.238,80.484,84.209,61.750,101.957,119.779
264,127.548,92.255,96.058,27.067,74.853,72.656,864.742,86.612,101.712,712.567,86.610,94.989,106.222,107.184,97.961,103.692,105.507,103.072,25.000,125.208,119.174,217.278,102.769,93.380,132.636,100.334,103.229,140.086,126.963,106.733,107.643,55.740,66.774,272.923,132.443,104.435,11.355,36.383,58.220,55.176,132.104,123.818,29.591,137.992,111.085,376.500,55.288,61.060,78.233,80.815,141.524,34.182,89.639,137.187,233.588,64.765,49.767,75.406,69.880,63.646,150.645,58.668,56.686,55.611,125.539,112.683,127.676,115.150,119.403,87.111,126.084,124.031,25.190,80.598,84.218,44.950,102.001,119.513
265,62.774,92.074,96.003,62.533,74.943,72.911,833.381,86.593,101.705,762.867,86.530,95.028,160.556,107.111,97.604,284.077,105.387,103.074,30.371,125.016,119.449,182.194,102.823,93.324,117.636,100.400,102.969,160.086,127.112,106.684,74.310,55.723,67.010,169.154,132.395,104.461,14.645,36.661,58.424,65.353,132.041,123.530,28.818,137.973,111.156,453.188,55.344,61.048,69.933,80.291,141.387,17.727,89.954,137.121,246.412,64.731,49.691,80.938,69.990,63.911,118.645,58.742,56.794,95.722,125.435,112.340,190.973,115.165,119.747,50.481,126.137,124.027,48.667,80.269,84.298,54.750,101.949,119.401
266,83.806,92.392,95.989,34.367,75.489,72.872,834.680,86.560,101.713,733.833,86.710,94.927,1133.333,107.237,98.073,1647.692,105.444,103.071,50.200,125.539,118.865,180.611,102.897,93.250,267.773,100.576,103.310,168.829,127.015,106.678,105.262,55.729,66.868,335.385,132.538,104.567,13.613,36.598,58.796,34.059,132.013,124.023,23.864,137.709,111.330,306.750,55.378,61.042,59.800,80.546,141.934,31.000,89.929,137.336,176.294,64.830,49.764,57.125,69.732,63.568,156.710,58.501,56.806,79.000,125.440,112.163,187.514,115.103,119.380,60.519,126.191,123.880,38.476,80.659,84.440,81.400,101.725,119.837
267,125.484,92.012,96.313,26.567,75.421,72.380,887.175,86.640,101.718,783.867,86.630,94.933,1748.222,107.219,97.878,1428.077,105.446,103.082,37.114,125.517,119.220,197.944,103.068,93.637,261.364,100.677,103.229,176.857,127.173,106.684,93.405,55.727,67.008,167.154,132.358,104.573,20.710,37.143,58.410,75.706,131.942,123.396,27.591,137.581,111.507,391.812,55.373,61.307,58.067,80.317,141.734,443.636,89.788,137.272,244.588,64.737,49.666,91.531,69.745,63.534,69.806,58.717,56.665,49.278,125.929,112.020,181.027,115.176,119.484,64.000,126.272,123.881,29.000,80.677,84.333,44.075,101.699,119.357
268,65.161,92.018,96.146,553.767,75.331,72.620,931.691,86.674,101.775,681.000,86.654,94.904,1377.278,107.191,98.000,1539.692,105.370,103.080,34.743,125.535,119.218,198.611,102.900,93.386,213.500,100.605,103.044,180.800,126.821,106.587,100.214,55.776,67.066,171.692,132.507,104.487,10.387,36.473,58.803,64.882,132.138,123.673,15.136,137.852,111.609,502.688,55.257,61.161,48.900,80.535,141.838,189.045,89.820,137.247,204.529,64.621,49.882,102.625,69.566,63.450,100.194,58.760,56.917,107.111,125.514,112.283,151.568,115.239,119.468,40.481,126.254,123.725,78.476,80.367,83.775,100.300,101.909,120.057
269,89.419,92.117,95.932,515.600,75.345,72.698,867.588,86.572,101.658,781.433,86.551,94.911,1018.444,107.261,97.970,1353.385,105.421,103.033,51.286,125.324,118.978,207.111,102.867,93.357,186.409,100.606,103.112,187.743,126.829,106.512,92.262,55.698,66.810,336.385,132.522,104.485,4.129,36.691,58.038,46.588,132.018,123.390,37.455,137.743,110.969,394.625,55.416,60.951,71.000,80.628,141.969,243.500,89.618,137.205,181.118,64.799,49.897,67.781,69.849,63.374,138.968,58.796,56.817,52.278,125.351,112.450,202.108,115.019,119.615,51.852,126.220,124.257,53.619,80.619,84.275,44.000,101.883,119.938
270,118.194,92.234,96.260,533.800,75.315,72.707,913.835,86.589,101.777,776.300,86.635,95.019,721.556,107.243,97.870,821.769,105.475,103.017,47.657,125.426,118.893,234.833,102.755,93.276,229.318,100.402,103.238,181.457,126.887,106.567,97.119,55.486,67.126,803.000,132.512,104.528,20.194,36.748,58.391,23.294,132.372,123.466,25.318,137.886,111.270,417.812,55.307,61.158,98.767,80.833,142.096,141.955,89.849,137.272,197.765,64.899,49.699,93.375,69.760,63.737,142.774,58.552,56.742,104.222,125.694,112.364,174.000,115.054,119.608,52.667,126.128,123.746,71.619,80.261,83.970,76.525,102.027,119.668
271,70.387,92.240,95.998,489.200,75.316,72.613,910.979,86.614,101.784,724.167,86.647,94.954,376.444,107.250,97.938,1242.769,105.434,103.024,66.600,125.222,119.326,166.806,102.895,93.456,188.318,100.515,102.971,179.457,126.972,106.587,111.429,55.647,67.077,455.077,132.499,104.538,17.871,36.947,58.549,70.882,132.123,123.790,27.773,137.713,111.058,485.500,55.333,61.244,58.967,80.437,141.662,176.273,89.738,137.163,218.588,64.735,49.580,67.000,69.562,63.465,139.677,58.672,56.626,69.500,125.708,112.396,284.432,115.069,119.494,45.370,126.007,123.913,59.952,80.291,84.158,60.125,101.945,120.114
272,136.194,92.286,96.455,397.633,75.303,72.748,987.876,86.677,101.718,745.567,86.634,94.902,246.111,107.382,97.889,412.846,105.332,103.036,33.800,125.027,119.295,198.333,103.034,93.356,172.545,100.215,103.325,231.200,127.067,106.582,83.548,55.787,66.864,546.538,132.492,104.612,14.968,36.740,58.060,124.235,132.112,123.454,21.591,137.546,111.082,398.750,55.335,61.300,129.800,80.679,141.928,187.636,89.742,137.186,276.647,64.858,49.726,47.469,69.839,63.338,124.323,58.601,56.677,69.778,125.475,112.233,269.243,115.235,119.512,57.741,126.118,123.350,25.952,80.221,84.103,67.575,101.718,119.737
