 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38
246,497.533,79.350,151.614,117.667,90.199,146.551,70.235,61.472,147.276,48.690,84.635,176.186,1088.233,61.038,205.053,20.000,84.311,149.405,49.143,99.269,170.835,40.692,61.377,113.604,8.630,52.389,172.917,1108.275,70.219,167.446,39.567,75.934,116.829,516.958,78.121,144.396,106.700,59.004,179.156,24.846,66.694,173.297,189.500,73.734,177.482,38.045,101.164,142.568,62.800,66.982,136.242,126.750,52.303,181.012,12.588,80.287,194.932,41.353,99.932,147.875,465.000,99.476,111.938,204.750,97.185,124.666,34.938,55.372,169.126,25.000,47.397,145.935,102.600,79.335,133.404,128.500,49.494,160.663,142.710,74.435,163.515,441.273,80.268,139.241,82.811,79.518,201.068,844.387,103.460,121.614,158.938,80.180,165.124,0.000,NaN,NaN,82.667,69.976,115.639,39.548,98.315,165.378,55.946,65.262,116.858,87.154,73.966,197.162,65.929,79.892,174.151,60.278,77.351,185.992
247,420.567,79.350,151.643,111.000,90.114,146.786,2331.157,61.309,147.325,43.379,84.601,175.824,136.633,61.147,205.137,32.812,84.405,150.087,44.810,99.342,170.800,20.808,61.374,113.751,4.259,52.359,172.348,831.490,70.400,167.424,37.700,75.434,117.322,487.875,78.167,144.484,732.800,58.867,179.193,30.000,66.765,172.729,218.045,73.725,177.438,23.818,101.600,142.912,90.867,67.174,136.399,124.312,52.271,181.029,22.941,79.804,195.010,22.706,99.867,148.423,405.875,99.559,111.903,242.812,97.095,124.539,24.250,55.349,169.348,3.750,47.006,146.718,170.400,79.422,133.695,148.000,49.329,160.714,134.323,74.531,163.533,439.636,80.089,139.271,76.595,79.494,200.798,1084.387,103.255,121.722,160.125,80.257,165.206,2.750,59.936,109.014,49.333,70.100,116.116,18.968,98.487,165.302,44.757,65.516,117.074,66.769,73.946,197.239,63.429,79.915,173.544,73.056,77.407,186.121
248,398.767,79.330,151.621,101.833,90.251,146.656,1838.471,61.292,147.305,33.586,84.747,175.844,36.800,60.875,205.152,79.625,84.216,149.401,39.143,99.209,170.468,23.462,61.566,113.906,13.889,52.353,172.470,150.235,70.291,167.543,13.433,75.297,117.227,464.417,78.121,144.503,1151.900,58.908,179.182,64.077,66.598,172.754,185.636,73.638,177.426,52.682,101.020,142.834,98.100,66.614,136.332,91.125,52.239,181.067,25.706,80.337,195.107,21.471,100.188,148.031,517.562,99.412,111.857,368.250,97.279,124.705,28.875,55.785,169.516,10.938,47.380,146.636,235.200,79.310,133.188,208.273,49.512,160.649,84.516,74.520,163.801,446.136,80.186,139.220,62.973,79.683,200.909,1281.871,103.349,121.646,342.688,80.388,165.226,2.562,59.365,109.895,41.333,69.983,116.024,32.000,98.426,165.168,36.541,65.310,116.935,87.000,73.979,197.140,20.714,79.995,174.310,65.000,77.342,185.826
249,526.233,79.289,151.563,95.167,90.147,146.731,971.137,61.357,147.264,41.655,84.694,176.127,64.967,61.246,204.991,41.625,83.986,150.337,27.238,99.301,170.813,35.885,61.607,113.401,9.556,52.533,172.181,97.255,70.190,167.745,41.700,75.887,117.116,506.833,78.171,144.423,1396.200,58.928,179.192,13.231,66.363,172.866,153.000,73.844,177.502,27.636,101.305,142.837,69.267,67.185,136.573,156.812,52.317,181.048,20.882,80.366,195.060,21.000,100.044,147.951,458.000,99.507,111.902,227.750,97.199,124.659,34.250,55.660,169.094,23.750,47.105,146.102,127.300,79.538,133.211,139.773,49.388,160.739,83.806,74.704,163.542,369.273,80.145,139.243,55.838,79.628,201.196,588.774,103.379,121.720,267.500,80.274,165.274,0.000,NaN,NaN,67.667,69.780,115.554,13.935,98.382,165.481,50.000,65.191,117.138,79.231,74.002,197.507,22.214,80.023,174.321,71.056,77.206,185.985
250,489.833,79.359,151.703,126.028,90.181,146.723,220.392,61.344,147.339,26.862,84.780,176.013,65.533,60.973,205.283,47.500,84.295,149.634,36.286,99.392,171.129,15.308,60.967,113.913,36.630,52.356,172.390,91.333,70.259,167.198,58.333,75.889,117.381,515.250,78.193,144.404,1059.900,58.929,179.185,41.000,66.264,172.927,287.091,73.757,177.366,28.000,101.209,143.039,64.567,67.169,136.129,3500.875,52.358,181.026,20.941,80.557,195.053,42.176,100.250,148.155,468.625,99.377,111.878,238.062,97.191,124.591,22.562,55.489,169.375,8.250,47.263,145.799,206.100,79.419,133.491,169.545,49.435,160.762,77.548,74.480,163.527,429.455,80.213,139.166,75.568,79.560,201.164,697.871,103.311,121.731,261.938,80.264,165.194,26.188,59.580,109.053,41.500,70.026,115.698,7.935,98.871,165.229,37.297,65.313,116.910,72.385,74.086,197.059,41.857,80.051,174.324,20.944,76.933,185.750
251,448.400,79.363,151.595,95.306,90.271,146.924,76.039,61.245,147.385,19.138,84.773,175.909,62.067,61.012,205.229,52.312,84.248,149.861,31.000,99.354,171.147,18.885,61.437,113.975,9.926,52.318,172.729,108.706,70.282,167.316,33.800,75.750,117.122,591.042,78.129,144.415,634.500,58.922,179.240,16.615,66.611,173.076,191.773,73.627,177.463,39.636,101.499,142.600,86.633,67.075,136.222,1800.875,52.255,181.064,30.412,80.449,194.987,15.059,100.193,147.958,610.688,99.462,111.853,277.375,97.342,124.606,33.500,55.166,169.274,21.125,47.546,146.212,95.900,79.345,133.344,116.318,49.427,160.655,77.806,74.529,163.454,413.045,80.110,139.205,67.622,79.436,200.998,172.903,103.443,121.864,196.688,80.276,165.373,21.000,59.894,108.996,58.583,70.071,115.891,3.161,98.716,164.670,29.459,65.183,116.999,71.308,73.876,197.404,32.571,79.899,174.108,117.667,77.212,185.905
252,3340.533,79.350,151.712,93.639,90.405,146.524,71.451,61.265,147.265,45.310,84.717,176.107,64.000,61.014,205.283,64.812,84.176,149.485,18.333,99.230,170.554,23.538,61.305,113.519,20.519,52.206,172.889,77.686,70.228,167.288,50.967,75.286,117.183,470.250,78.055,144.548,1107.300,58.929,179.171,24.154,66.809,173.196,145.545,73.879,177.410,18.591,101.666,143.012,85.467,66.843,135.904,280.938,52.240,181.088,10.882,80.494,194.897,22.941,99.943,148.236,441.062,99.534,111.815,313.562,97.166,124.639,40.000,55.860,169.094,28.312,47.336,146.539,285.100,79.429,133.535,134.591,49.530,160.450,95.548,74.490,163.531,444.227,80.131,139.276,1844.595,79.517,201.025,73.032,103.114,121.676,158.688,80.249,165.216,12.188,59.683,109.347,56.833,70.137,115.846,4.710,98.429,164.757,63.135,65.395,117.380,81.846,74.022,197.319,34.786,79.876,173.928,92.500,77.338,185.974
253,4046.050,79.356,151.736,84.611,90.346,146.743,85.765,61.213,147.320,36.759,84.423,176.047,73.633,61.294,204.973,31.875,84.026,149.503,45.238,99.191,170.900,32.192,61.019,113.695,12.556,52.478,172.932,135.490,70.140,167.638,36.733,75.702,117.171,4095.000,78.120,144.460,899.100,58.949,179.244,23.308,66.235,172.968,192.409,73.841,177.637,22.364,101.102,143.209,71.333,66.854,136.065,169.000,52.393,181.084,41.941,80.194,195.223,22.294,99.844,148.135,472.875,99.471,111.899,243.562,97.199,124.672,58.750,55.197,169.347,22.062,46.971,145.976,131.700,79.360,133.700,105.000,49.488,160.646,85.935,74.354,163.666,532.682,80.174,139.082,1533.568,79.500,201.054,86.839,103.587,121.624,340.750,80.338,165.191,8.125,59.582,108.936,53.333,70.116,115.648,15.613,98.859,165.381,34.378,65.408,117.039,90.462,74.094,197.144,55.357,79.917,174.215,54.333,77.062,186.413
254,4002.367,79.363,151.736,124.972,90.143,146.954,117.725,61.445,147.468,39.345,84.369,176.142,61.667,61.131,205.422,1755.062,84.154,149.705,25.190,99.361,170.719,21.577,61.581,113.476,12.111,52.271,172.475,82.314,70.290,167.710,25.100,75.368,116.867,4074.000,78.120,144.464,831.100,58.892,179.230,37.308,66.485,172.665,211.955,73.806,177.372,39.727,101.165,142.831,86.233,66.756,136.321,148.812,52.226,181.138,33.353,80.014,194.922,19.824,100.229,147.683,479.875,99.451,111.915,302.562,97.219,124.613,20.250,55.787,169.380,35.625,47.263,146.461,200.400,79.447,133.379,176.455,49.501,160.493,93.419,74.551,163.596,538.545,80.128,139.247,1384.811,79.527,201.039,66.452,103.183,121.462,227.125,80.164,165.209,7.938,59.365,109.895,47.167,70.204,115.457,12.581,98.481,164.964,47.405,65.055,117.005,86.846,73.805,197.246,24.857,80.003,174.013,34.500,77.247,186.188
255,3117.183,79.357,151.679,102.056,90.017,146.472,111.098,61.277,147.408,16.517,84.668,176.115,69.467,61.265,205.282,1020.812,84.208,149.481,26.810,99.237,170.634,19.692,61.075,113.900,11.926,52.498,172.010,104.824,70.263,167.448,17.433,75.459,117.540,3970.375,78.118,144.474,135.200,58.948,179.164,29.538,66.573,172.814,162.773,73.942,177.465,45.000,101.121,142.950,56.800,66.962,136.226,121.562,52.192,181.137,100.353,80.351,195.305,26.706,100.174,147.627,398.500,99.498,111.861,196.688,97.179,124.752,32.312,55.442,169.442,8.188,46.896,145.959,225.400,79.415,133.264,173.273,49.304,160.679,112.129,74.823,163.608,466.500,80.224,139.237,518.919,79.542,201.033,61.677,103.295,121.678,209.688,80.188,165.129,0.000,NaN,NaN,94.083,70.246,115.513,12.710,98.321,165.423,32.649,64.928,116.702,48.385,73.737,197.273,40.500,79.857,174.021,42.722,77.157,185.837
256,2568.167,79.338,151.724,71.472,90.149,146.806,91.412,61.205,147.379,21.931,84.572,175.810,68.200,61.081,204.908,1421.688,84.229,149.669,23.381,99.380,170.915,25.000,61.232,113.760,36.037,52.366,172.344,129.098,70.237,167.382,42.433,75.454,117.144,1923.333,78.164,144.505,140.400,58.894,179.107,47.231,66.248,172.859,172.591,73.809,177.304,29.591,101.173,142.723,84.800,67.115,136.129,163.500,52.355,181.222,954.647,80.196,195.050,55.588,100.345,147.983,365.188,99.494,111.857,307.750,97.305,124.560,42.125,55.339,169.497,20.250,46.873,146.730,141.100,79.225,133.475,166.818,49.415,160.715,112.903,74.623,163.605,456.727,80.135,139.144,53.027,79.541,200.871,72.258,103.371,121.508,246.312,80.164,165.181,7.250,60.324,108.684,57.333,69.910,116.146,0.581,98.425,164.455,16.432,65.329,117.352,65.692,73.791,197.160,21.000,79.842,173.933,100.167,77.050,185.949
257,1662.100,79.397,151.727,118.028,90.181,147.108,83.373,61.467,147.420,125.414,84.569,175.958,67.067,61.196,205.112,479.625,84.233,149.619,24.857,99.430,170.540,25.538,61.527,113.707,21.333,52.523,172.588,99.059,70.191,167.391,36.400,75.411,117.392,538.542,78.145,144.435,103.300,58.984,179.036,30.385,66.504,173.240,156.000,73.824,177.690,24.227,101.233,143.120,75.000,67.123,136.246,110.375,52.254,180.949,994.294,80.259,195.118,44.824,100.233,147.829,544.312,99.550,111.894,309.375,97.243,124.538,35.500,55.606,169.035,4.062,47.356,146.122,113.800,79.446,133.349,176.636,49.437,160.694,140.645,74.592,163.515,404.409,80.244,139.164,60.054,79.492,201.445,143.419,103.474,121.668,211.188,80.330,165.302,0.938,60.357,109.089,41.333,70.028,115.398,7.871,97.996,165.121,88.486,65.308,116.842,8.846,74.013,197.099,44.643,79.899,173.894,69.944,77.288,185.937
258,806.800,79.379,151.754,87.778,90.248,146.583,135.725,61.239,147.571,830.448,84.573,175.812,91.633,60.959,205.073,40.625,84.149,149.335,34.667,99.330,171.127,19.500,61.383,113.822,10.926,52.319,173.052,97.765,70.048,167.343,37.333,75.710,117.058,481.750,78.140,144.514,136.900,58.968,179.228,17.462,66.921,172.623,175.455,73.882,177.500,19.727,101.213,142.836,91.567,67.015,136.171,120.062,52.312,181.065,570.765,80.241,195.032,35.235,100.166,147.681,516.562,99.502,111.935,246.562,97.167,124.692,32.625,55.161,169.730,19.125,47.374,146.144,243.300,79.268,133.597,97.227,49.515,160.743,102.774,74.940,163.577,508.864,80.168,139.126,77.784,79.846,201.001,109.226,103.563,121.427,249.625,80.154,165.231,10.812,60.284,109.590,103.000,70.114,115.588,21.677,98.159,165.492,49.351,65.439,116.944,53.385,74.099,197.367,137.286,80.085,173.853,116.833,77.174,185.898
259,534.833,79.309,151.735,448.778,90.248,146.731,79.529,61.173,147.822,805.931,84.488,175.864,78.367,61.193,205.133,44.188,84.308,149.645,40.667,99.235,170.817,19.500,61.575,113.905,486.037,52.439,172.758,99.961,70.341,167.832,136.867,74.948,117.358,537.333,78.153,144.593,121.700,58.915,179.048,44.923,66.512,172.938,144.545,73.694,177.399,21.682,101.459,142.986,49.433,67.222,135.955,151.000,52.255,180.995,420.941,80.302,195.040,24.647,100.238,147.733,516.438,99.598,111.860,454.500,97.270,124.746,66.188,55.273,169.188,4.500,47.241,146.195,163.900,79.277,133.529,151.000,49.400,160.632,69.742,74.548,163.549,492.136,80.163,139.241,86.432,79.726,200.820,172.581,103.590,121.724,195.500,80.219,165.117,1.688,60.157,109.436,1280.167,70.068,115.772,785.613,98.426,165.154,41.297,65.117,117.552,72.538,74.169,197.020,952.929,79.995,173.986,95.278,77.342,185.935
260,553.367,79.396,151.775,1944.028,90.170,146.797,69.569,61.266,147.742,381.793,84.608,175.955,73.967,60.926,205.103,70.438,84.344,149.651,64.048,99.218,170.861,27.115,61.368,113.489,233.259,52.451,172.724,75.765,70.302,167.496,60.267,75.103,117.224,515.833,78.186,144.576,154.200,59.016,179.314,45.308,66.384,172.857,158.409,73.573,177.489,34.636,101.649,142.941,66.900,67.073,136.585,208.312,52.321,180.938,23.235,80.089,194.911,41.353,100.277,147.776,508.062,99.489,111.937,319.750,97.277,124.749,39.375,55.437,169.685,13.688,47.186,146.399,3576.450,79.373,133.360,130.045,49.495,160.765,102.065,74.452,163.623,4095.000,80.135,139.190,84.054,79.512,201.157,69.290,103.496,121.445,224.250,80.233,165.185,1.812,59.055,109.585,625.833,70.083,115.811,468.194,98.404,165.131,56.270,65.233,117.540,48.462,73.845,197.485,436.929,80.047,174.082,87.167,77.322,186.026
261,563.700,79.321,151.640,1440.472,90.163,146.853,112.000,61.292,147.758,112.241,84.559,175.867,87.467,61.394,205.154,50.125,84.108,149.471,1512.667,99.370,170.823,15.154,61.707,113.892,42.556,52.592,172.715,85.255,69.989,167.288,100.267,74.902,117.105,524.833,78.153,144.489,155.700,58.824,179.071,33.462,66.248,172.864,199.636,73.792,177.482,17.545,100.915,142.796,62.600,67.199,136.189,177.625,52.269,181.045,35.471,80.326,194.853,47.824,100.187,148.069,479.062,99.515,112.017,208.938,97.172,124.638,7.375,54.739,169.076,18.250,47.203,146.455,900.200,79.416,133.351,209.545,49.513,160.693,72.903,74.697,163.430,3897.682,80.162,139.205,70.432,79.311,201.227,85.097,103.874,121.865,219.000,80.133,165.059,0.000,NaN,NaN,964.750,70.044,115.775,444.645,98.361,165.137,53.514,65.178,117.458,81.923,74.098,197.054,419.357,79.977,173.992,54.778,77.131,185.853
262,555.700,79.367,151.623,937.056,90.216,146.848,116.784,61.534,147.607,69.034,84.663,175.883,64.067,61.334,204.963,32.562,84.186,149.837,796.048,99.337,170.846,19.769,61.116,113.421,9.000,52.305,172.345,76.471,70.390,167.429,61.800,75.205,117.151,627.958,78.108,144.435,73.900,58.911,179.345,18.615,66.531,173.143,171.364,73.793,177.343,24.091,101.216,142.440,107.400,66.981,136.248,132.438,52.274,180.917,22.588,80.213,194.699,43.647,99.883,148.276,446.625,99.586,111.889,283.312,97.118,124.593,76.562,55.126,169.299,34.438,46.916,146.507,2747.300,79.383,133.417,171.818,49.434,160.579,151.677,74.599,163.687,2701.636,80.093,139.157,30.108,79.382,200.825,69.935,103.242,121.842,290.438,80.246,165.323,0.062,59.365,108.345,447.250,70.095,115.670,337.419,98.512,165.211,65.189,65.239,117.003,45.692,74.033,197.401,702.929,80.007,173.792,74.500,77.282,186.209
263,592.200,79.322,151.739,1518.444,90.218,146.786,131.765,61.287,147.667,69.759,84.237,175.906,100.467,60.946,205.132,49.625,84.151,149.489,683.333,99.366,170.871,14.000,61.018,113.954,22.296,52.378,172.343,75.216,70.267,167.266,51.300,75.956,117.087,545.250,78.152,144.450,112.100,58.915,179.178,18.154,66.465,173.344,203.409,73.602,177.551,37.591,101.031,143.098,50.167,66.804,136.003,193.938,52.202,180.795,42.765,80.068,195.002,25.118,99.963,148.591,519.125,99.450,111.945,249.000,97.170,124.601,39.625,55.221,169.482,22.938,47.327,146.485,1655.700,79.398,133.440,92.818,49.493,160.828,143.742,74.719,163.576,2384.886,80.133,139.177,64.108,79.814,201.271,99.419,103.359,121.664,206.812,80.351,165.196,2.500,59.481,109.585,63.667,70.168,115.706,279.871,98.461,165.053,99.622,65.086,117.310,38.308,73.845,197.401,557.714,80.038,173.892,50.389,77.374,186.302
