 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12
74,54.727,90.641,85.994,9.500,52.333,72.401,66.762,66.060,41.962,43.238,52.217,76.254,48.353,45.225,78.872,49.917,30.155,109.144,31.500,25.699,106.994,41.000,29.168,113.970,34.385,46.519,104.149,44.381,89.466,91.685,40.083,50.258,104.354,59.400,94.266,94.217
75,66.545,90.694,86.094,18.750,52.611,72.278,89.524,65.965,41.960,56.571,52.292,75.914,40.588,45.353,78.805,23.083,30.013,109.373,45.500,25.526,106.670,84.000,29.118,113.957,42.769,46.603,104.092,46.667,89.999,91.618,58.000,49.967,104.396,31.000,94.352,94.494
76,78.727,90.899,86.042,25.250,52.419,72.026,32.381,66.279,41.962,71.810,52.184,76.231,48.824,45.944,78.837,63.583,30.204,109.213,41.250,25.716,107.038,38.500,28.987,114.191,45.385,46.511,104.115,14.095,89.793,91.171,61.500,49.735,104.496,34.700,94.509,94.862
77,79.273,90.693,86.046,56.750,52.627,72.220,36.476,66.149,41.901,53.524,52.236,75.989,51.294,45.854,78.803,62.833,30.222,109.315,93.375,25.814,106.674,82.500,29.036,113.879,44.769,46.382,103.958,69.524,89.775,91.628,29.500,49.663,104.681,41.200,94.319,94.649
78,64.545,90.809,86.104,41.000,52.469,72.111,63.333,66.312,42.004,54.095,52.275,76.278,20.941,45.387,78.726,49.417,30.177,109.261,56.250,25.897,106.824,52.250,29.252,114.021,17.462,46.192,103.791,27.429,89.453,91.663,17.583,49.554,104.577,34.900,94.203,94.770
79,71.273,90.906,86.023,78.500,52.490,72.071,89.143,66.110,41.819,32.476,52.434,76.107,64.706,45.923,78.994,55.583,30.055,109.124,87.500,25.827,106.992,99.500,29.084,113.970,30.154,46.464,103.693,61.238,89.722,91.606,37.417,49.750,104.624,51.000,94.292,94.436
80,76.000,90.867,86.109,68.000,52.636,72.360,38.190,66.089,41.781,42.762,52.011,76.253,61.294,45.748,78.814,64.583,30.063,109.369,44.875,25.772,107.064,16.000,29.232,114.482,29.308,46.617,103.846,47.905,89.889,91.755,32.000,49.627,104.482,30.600,94.069,94.438
81,77.636,90.933,85.973,66.250,52.472,72.339,22.000,66.413,41.975,48.667,52.422,76.383,31.412,45.796,78.791,54.583,30.052,108.947,53.500,25.952,106.694,43.000,29.181,114.109,57.000,46.544,104.101,98.381,89.730,91.592,41.000,49.963,104.471,60.000,94.013,94.510
82,58.364,90.813,86.133,13.250,52.288,72.297,45.143,65.929,42.090,52.381,52.398,75.991,39.647,45.678,78.853,50.833,30.211,108.986,22.250,25.791,106.772,0.000,NaN,NaN,56.923,46.673,104.319,61.048,90.049,91.736,46.750,49.726,104.724,36.400,94.268,94.959
83,102.182,90.909,85.866,109.000,52.709,72.294,31.714,66.161,42.100,39.619,52.155,76.008,50.000,45.726,79.119,34.167,30.126,109.270,58.250,25.777,106.886,75.000,29.141,113.952,22.077,46.182,104.097,29.524,89.823,91.579,43.083,49.964,104.623,33.900,94.269,94.547
