 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
152,42.706,77.452,76.009,114.333,94.540,85.296,135.000,100.519,82.974,65.615,87.264,76.937,44.125,80.969,60.076,21.692,92.933,54.985,29.375,70.088,65.554,56.538,101.498,64.617,21.091,86.632,46.965,28.923,94.836,61.399,70.167,106.503,118.395,87.833,100.041,89.153,225.077,86.795,88.067
153,50.000,77.224,76.182,129.167,94.552,85.252,177.000,100.566,83.134,65.846,87.212,76.637,62.875,80.893,59.962,47.308,92.472,54.986,19.625,69.933,65.960,15.000,101.492,64.447,26.364,86.433,46.937,35.769,94.648,61.544,56.000,106.746,118.461,70.500,100.036,89.158,137.538,86.802,88.203
154,27.412,77.107,76.265,181.333,94.538,85.352,211.500,100.536,83.085,74.538,87.194,76.766,26.938,80.827,60.120,22.308,92.652,54.980,18.875,69.724,66.148,21.923,101.105,64.673,73.455,86.706,46.869,41.923,94.892,61.509,36.000,106.643,118.245,112.000,100.035,89.299,188.154,86.648,88.334
155,68.706,77.204,76.127,163.000,94.679,85.273,189.250,100.652,83.000,79.308,87.271,77.080,40.500,80.763,60.232,8.077,92.408,54.795,20.750,70.146,65.881,31.692,101.731,64.340,72.364,86.844,47.059,28.615,94.478,61.315,17.000,106.923,118.438,76.167,99.880,89.254,170.846,86.651,88.360
156,67.529,77.320,76.228,172.833,94.524,85.315,161.250,100.547,83.075,89.769,87.257,76.701,55.500,80.844,60.097,17.000,92.430,55.193,26.625,70.084,66.048,34.923,101.482,64.590,43.636,86.453,47.068,27.385,94.744,60.894,54.167,106.666,118.493,96.833,99.995,89.442,183.923,86.724,88.410
157,85.059,77.487,76.071,166.667,94.451,85.319,197.750,100.586,83.053,58.308,87.426,76.951,40.312,80.856,60.066,26.846,92.951,54.976,22.375,69.827,65.941,25.000,101.617,64.057,60.545,86.709,47.288,16.692,94.875,61.454,9.333,106.607,118.492,120.167,100.027,89.033,223.692,86.678,88.396
158,171.765,77.254,76.096,201.500,94.655,85.285,201.250,100.575,83.146,63.615,87.204,77.018,43.375,80.690,60.101,19.923,92.731,55.182,6.000,70.144,65.798,21.615,101.719,64.210,71.455,86.572,47.068,35.923,94.670,61.224,57.000,106.606,118.179,87.833,99.880,89.204,175.385,86.647,88.342
159,165.294,77.428,76.125,283.167,94.488,85.196,262.250,100.634,82.946,64.769,87.417,76.969,20.375,81.033,60.111,43.769,92.668,55.152,31.750,69.922,66.142,39.538,101.419,64.511,36.727,86.470,46.670,34.769,94.804,61.237,41.500,106.501,118.500,140.667,100.075,89.325,214.385,86.653,88.320
160,214.000,77.305,76.125,253.500,94.657,85.278,201.000,100.543,82.988,95.308,87.349,76.837,33.438,80.970,60.384,33.308,92.682,54.964,26.875,70.178,65.956,36.462,101.713,64.824,35.818,86.335,46.842,21.000,94.430,60.990,2.500,106.485,118.265,127.333,100.069,89.304,182.000,86.718,88.520
161,355.412,77.419,76.107,155.333,94.608,85.364,216.000,100.643,83.075,70.462,87.456,77.003,26.812,80.527,59.956,28.462,92.620,55.096,62.500,69.927,65.911,23.615,101.476,64.164,22.000,86.745,47.042,33.077,94.626,61.112,36.667,106.698,118.242,85.000,100.299,89.310,225.077,86.582,88.352
162,346.706,77.423,76.133,144.333,94.510,85.348,199.250,100.639,83.200,64.923,87.229,76.916,61.375,80.761,60.069,36.385,92.872,54.876,60.125,70.022,65.983,27.923,101.113,64.311,1.818,86.645,47.306,27.923,94.544,61.330,23.667,107.022,118.575,138.500,100.150,89.368,255.462,86.730,88.472
163,236.824,77.559,76.108,145.833,94.602,85.202,77.000,100.648,83.131,61.308,87.202,76.908,40.250,80.714,59.826,29.154,92.804,55.158,61.250,70.069,65.756,28.231,101.363,64.421,55.818,86.521,47.097,26.923,94.848,61.228,13.833,107.038,118.441,151.000,100.064,89.427,212.692,86.604,88.305
164,267.294,77.305,76.087,94.167,94.489,85.370,305.500,100.573,83.022,75.923,87.440,76.785,26.938,80.830,60.079,20.846,92.619,55.080,19.000,70.027,65.402,46.769,101.584,64.508,53.455,86.613,46.850,40.308,94.648,61.530,18.167,106.272,118.490,167.833,100.116,89.286,204.462,86.674,88.327
165,256.706,77.266,76.132,117.000,94.773,85.180,316.000,100.573,83.094,93.385,87.399,77.073,34.500,80.921,60.105,46.538,92.643,55.315,58.250,69.930,66.001,55.846,101.411,64.254,50.909,86.779,47.157,32.615,94.749,61.447,17.667,106.383,118.341,120.667,100.143,89.242,129.308,86.546,88.233
166,228.471,77.295,76.141,126.000,94.703,85.153,286.000,100.610,83.059,118.846,87.172,76.809,37.625,80.723,60.370,42.077,92.791,54.981,16.625,70.094,65.721,24.308,101.306,64.911,38.000,86.685,46.962,37.846,94.941,61.507,35.000,106.509,118.627,140.833,100.038,89.303,157.769,86.663,88.323
167,216.353,77.427,76.083,77.000,94.681,85.326,261.000,100.592,83.090,50.615,87.401,76.919,39.062,81.029,59.901,18.538,92.482,55.163,38.625,69.946,65.798,28.154,101.358,64.210,39.636,86.588,46.983,42.615,94.717,61.186,51.667,106.710,118.494,207.167,100.118,89.296,210.231,86.526,88.388
