,index,min_intensity,max_intensity,mean_intensity,normalized_mean,median_intensity,normalized_median,0.9_quantile,normalized_0.9_quantile
0,mean_intensity,22.0,662.385,106.08917000000001,0.1313103367505485,78.654,0.08846865557438104,169.21500000000003,0.22988514721612785
1,mean_intensity,48.0,1025.1,140.27566666666667,0.09443830382424181,113.17500000000001,0.06670248695118208,181.57500000000002,0.13670555726128342
2,mean_intensity,26.235,822.529,137.46538999999999,0.13968507862673835,99.176,0.09160058973193319,255.71190000000016,0.2881811240571952
3,mean_intensity,67.417,1378.0,279.72195000000005,0.16199275436962027,202.917,0.10338910240709669,615.8586,0.4184714741454757
4,mean_intensity,19.5,806.667,138.01582499999998,0.15055995106502174,108.125,0.11258729087982601,229.52530000000013,0.2668116168487756
5,mean_intensity,48.636,1380.818,219.67075833333337,0.1283869308648018,175.5,0.09523023130473164,347.9454,0.22467605777588948
6,mean_intensity,47.438,799.406,161.58495166666668,0.1517976186043378,116.6405,0.09202851717094344,365.6344,0.42315151708583354
7,mean_intensity,68.273,1369.545,239.0242516666667,0.13121872419191888,169.77300000000002,0.07800060248741233,512.4364,0.3413301753976109
8,mean_intensity,1.0,627.833,120.46417416666668,0.19058373468956913,86.0835,0.1357355148819542,262.5333,0.4172296289442324
9,mean_intensity,1.25,531.125,90.533125,0.16849846661948573,64.625,0.11960368011323426,179.48750000000007,0.33637650389242757
10,mean_intensity,53.5,1373.5,328.7079166666667,0.20849084595959597,223.9375,0.12911931818181818,715.8875000000002,0.5018087121212123
