 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23
342,207.556,90.339,137.405,327.875,83.072,119.961,83.846,69.285,89.307,66.833,50.405,50.425,41.750,53.635,55.573,84.167,90.655,131.046,66.833,101.595,124.479,38.375,59.200,64.776,50.400,93.865,130.666,96.750,96.499,91.814,43.722,57.576,75.001,368.667,78.572,123.801,140.333,85.684,77.975,178.706,89.363,90.784,27.500,86.064,135.205,56.200,98.968,125.559,98.833,93.655,125.662,208.375,89.764,107.548,156.000,84.512,97.163,16.250,85.066,67.721,47.308,63.481,93.850,130.000,110.205,119.101,82.182,93.993,107.761
343,149.111,90.301,137.333,163.125,82.994,119.973,66.692,69.358,89.354,117.833,50.550,50.542,32.750,53.922,55.600,173.667,90.463,130.871,142.333,101.623,124.643,21.250,59.305,64.593,34.800,93.834,130.200,67.250,96.525,91.628,39.833,57.213,74.947,220.222,78.576,123.863,20.167,85.595,77.901,106.235,89.361,91.172,115.000,85.914,135.138,106.800,98.878,125.300,102.500,93.661,125.531,296.500,89.730,107.557,120.909,84.518,96.848,23.000,84.846,67.580,42.923,63.787,93.944,144.333,110.205,118.882,105.273,93.960,107.681
344,296.444,90.474,137.588,138.750,83.009,119.909,77.077,69.331,89.310,23.500,50.404,50.597,55.500,53.684,55.598,184.000,90.489,130.861,101.500,101.744,124.483,43.000,59.008,64.525,98.000,93.877,130.091,109.250,96.402,91.695,39.667,57.410,75.367,142.889,78.397,123.818,108.000,85.565,77.716,112.824,89.401,90.669,94.750,86.059,135.227,156.000,98.876,125.151,75.167,93.547,125.577,174.375,89.753,107.576,224.909,84.483,97.195,64.000,84.471,67.819,46.385,63.458,93.711,379.000,110.205,118.888,71.636,94.070,107.919
345,103.556,90.364,137.308,26.000,82.606,120.290,47.923,69.312,89.219,58.167,50.551,50.341,51.250,53.959,55.519,175.000,90.612,130.980,89.500,101.548,124.559,47.250,59.062,64.287,77.000,93.938,130.141,122.000,96.568,91.522,27.833,57.275,75.365,67.111,78.636,124.007,71.333,85.666,77.811,118.235,89.438,90.931,70.250,85.983,135.273,158.400,98.848,125.331,119.333,93.733,125.397,277.250,89.716,107.590,174.000,84.399,97.260,33.750,84.705,67.694,53.308,63.633,93.944,275.000,110.205,119.198,81.636,94.047,107.902
346,299.111,90.394,137.589,47.500,82.848,120.047,63.615,69.409,89.225,55.833,50.598,50.420,62.250,53.878,55.537,76.500,90.745,131.003,71.000,101.558,124.444,52.500,59.036,64.842,34.400,93.845,130.447,41.250,96.494,91.535,45.000,57.238,74.981,65.778,78.718,123.670,68.000,85.533,77.815,145.059,89.461,90.793,155.250,85.988,135.065,82.200,98.886,125.364,104.167,93.565,125.422,263.750,89.763,107.547,186.182,84.572,97.137,78.000,84.744,67.730,49.692,63.719,93.671,325.333,110.205,119.161,85.091,94.098,107.969
347,190.889,90.364,137.419,46.625,83.188,119.960,48.308,69.053,89.510,45.833,50.598,50.377,77.750,53.710,55.100,98.667,90.532,130.954,68.500,101.676,124.500,55.500,59.364,64.613,108.200,93.856,130.133,81.750,96.438,91.751,26.167,57.145,75.124,45.333,78.749,123.696,174.500,85.664,77.637,185.882,89.521,90.941,26.750,85.932,135.416,117.200,98.900,125.380,157.500,93.554,125.464,225.125,89.751,107.546,120.182,84.517,97.328,28.250,84.804,67.738,56.231,63.468,93.965,203.667,110.205,119.265,79.455,94.021,107.741
348,166.222,90.281,137.426,63.250,82.831,120.002,69.231,69.315,89.391,102.500,50.440,50.494,48.000,53.930,55.526,114.500,90.519,130.877,93.667,101.703,124.728,71.000,59.183,64.772,132.800,93.870,130.441,50.250,96.579,91.972,33.278,57.428,74.736,21.111,78.879,124.073,97.667,85.600,77.755,236.000,89.386,91.002,95.250,86.046,135.154,92.800,98.915,125.342,106.333,93.697,125.718,196.750,89.795,107.528,244.727,84.525,97.228,71.500,84.695,67.469,45.923,63.509,93.881,271.333,110.205,119.050,70.909,94.095,107.608
349,92.889,90.425,137.446,80.125,83.000,120.048,42.769,69.215,89.369,76.000,50.456,50.349,24.500,53.807,55.161,101.000,90.457,130.889,116.667,101.532,124.568,43.125,59.048,64.624,123.200,93.862,130.429,44.750,96.406,91.699,39.833,57.325,75.349,20.889,78.720,123.885,47.500,85.447,77.742,170.000,89.403,90.949,68.000,85.908,135.193,126.600,98.835,125.223,156.167,93.594,125.458,312.000,89.683,107.594,238.909,84.451,97.325,27.250,84.779,67.945,50.538,63.603,93.803,271.667,110.205,118.927,127.455,93.983,107.767
350,114.889,90.309,137.351,61.250,82.891,120.020,69.308,69.188,89.269,40.500,50.508,50.699,46.500,53.595,55.765,211.833,90.489,130.786,128.333,101.559,124.564,79.000,59.244,64.549,145.200,93.854,130.205,63.750,96.572,91.751,39.111,57.373,74.853,0.444,78.275,124.155,46.000,85.752,77.782,126.000,89.461,90.909,95.000,86.166,135.132,196.200,98.945,125.510,114.000,93.720,125.601,266.625,89.731,107.513,130.364,84.490,97.145,148.000,84.678,67.556,32.077,63.411,93.815,124.667,110.205,119.128,43.636,94.194,107.759
351,154.667,90.528,137.392,83.125,83.066,119.826,22.538,69.045,88.998,80.833,50.641,50.613,65.500,53.834,55.494,77.667,90.602,130.644,104.833,101.663,124.709,87.000,59.011,64.555,123.200,93.825,130.014,31.500,96.590,91.989,43.389,57.420,74.871,48.222,78.636,124.035,35.167,85.813,77.968,135.412,89.354,90.902,143.500,85.923,135.151,92.800,98.853,125.267,127.667,93.457,125.662,203.000,89.748,107.609,139.091,84.458,97.238,41.000,84.403,67.854,41.231,63.826,93.966,304.333,110.205,119.078,117.818,94.029,107.727
