 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
480,165.250,78.251,60.680,17.250,87.265,62.456,109.375,78.175,81.192,60.727,129.432,59.348,114.167,96.315,73.959,76.625,102.544,78.711,93.294,60.979,64.267,370.000,75.924,97.243,493.059,71.966,90.352,103.625,98.564,42.488,90.952,115.750,72.685,323.000,93.093,76.520,14.000,70.215,92.845,327.000,110.698,76.061,221.048,106.479,76.679,116.571,85.693,91.684,125.714,100.657,71.612,61.818,105.473,40.141,25.167,106.272,82.627,85.625,75.860,101.589
481,68.375,78.206,60.509,43.250,87.107,62.306,133.750,78.351,81.366,62.000,129.380,59.508,73.167,96.340,73.799,23.000,102.684,78.661,61.882,61.023,63.568,209.000,75.934,97.221,258.824,72.074,90.357,85.875,98.474,42.449,94.762,115.771,72.848,474.333,92.992,76.534,28.250,70.031,93.128,220.583,110.607,76.072,82.476,106.480,76.699,115.857,85.784,91.737,110.429,100.607,71.526,75.273,105.356,39.975,41.333,106.378,82.651,79.375,75.536,101.473
482,78.500,78.318,60.867,38.250,86.813,62.291,71.375,78.262,81.167,44.182,129.701,59.555,130.500,96.430,73.758,91.000,102.352,78.814,59.176,60.999,64.032,147.250,75.969,97.159,268.588,72.185,90.379,115.500,98.641,42.614,128.095,115.815,72.743,460.000,92.897,76.597,22.500,69.895,92.897,205.583,110.682,75.917,106.095,106.413,76.709,59.143,85.776,91.776,54.286,100.535,71.595,62.364,105.395,40.298,94.500,106.338,82.710,75.125,75.722,101.427
483,22.000,78.483,60.589,21.750,87.204,62.276,116.375,78.191,81.297,28.909,129.273,59.281,45.000,96.567,73.742,89.750,102.523,78.667,78.000,60.898,64.230,334.250,75.993,97.176,115.412,72.038,90.429,98.750,98.420,42.603,65.048,115.832,72.778,249.167,92.770,76.584,38.750,69.767,93.011,70.583,110.610,76.180,241.905,106.388,76.772,31.000,85.656,91.691,42.429,100.661,71.617,52.727,105.550,39.839,19.500,106.186,82.620,95.000,75.689,101.514
484,72.875,78.116,60.815,12.500,86.887,62.155,72.750,78.236,81.245,32.000,129.455,59.388,190.167,96.323,73.710,34.500,102.444,79.015,46.588,60.850,64.349,104.250,75.862,97.143,190.706,72.042,90.401,77.375,98.571,42.371,61.524,115.718,72.587,176.167,92.836,76.542,16.750,70.039,93.206,432.917,110.643,76.132,111.619,106.570,76.713,49.000,85.520,91.545,43.714,100.393,71.453,37.091,105.564,40.081,61.500,106.410,82.883,86.625,75.763,101.445
485,133.000,78.280,60.668,16.250,87.174,62.436,52.000,78.282,81.369,67.091,129.119,59.406,113.333,96.441,73.672,64.250,102.570,78.748,92.000,60.850,63.910,124.250,76.050,97.169,227.765,72.105,90.422,155.625,98.452,42.664,64.952,115.591,72.656,60.500,93.151,76.631,19.500,69.937,93.187,305.167,110.705,76.034,49.810,106.499,76.946,76.429,85.774,91.536,51.714,100.496,71.487,88.909,105.450,40.213,93.667,106.397,82.687,42.250,75.616,101.698
486,163.000,78.191,60.711,34.500,87.076,62.407,85.500,78.405,81.278,59.273,129.560,59.215,50.667,96.204,73.874,15.625,102.574,78.716,45.412,61.164,64.320,211.750,75.769,97.210,122.235,72.062,90.370,127.125,98.530,42.594,116.000,115.691,72.504,112.833,92.835,76.620,98.500,70.088,93.205,115.917,110.612,76.080,110.571,106.657,76.806,89.714,85.693,91.558,93.429,100.593,71.763,21.455,105.552,39.990,80.000,106.196,82.812,53.750,75.876,101.268
487,126.375,78.235,60.825,42.250,86.832,62.238,97.125,78.272,81.048,55.636,129.183,59.355,64.167,96.439,73.609,41.750,102.075,78.605,51.176,61.046,63.991,144.500,76.020,97.246,93.647,71.974,90.346,105.250,98.655,42.634,59.333,115.631,72.759,86.333,93.193,76.560,52.750,70.059,93.233,35.000,110.676,76.270,32.571,106.277,76.841,30.143,85.856,91.668,77.143,100.587,71.469,90.545,105.510,40.101,69.500,106.284,82.869,71.000,75.706,101.532
488,110.500,78.196,60.636,131.000,86.859,62.122,63.125,78.322,81.284,43.818,129.637,59.297,93.000,96.627,73.747,26.875,102.413,78.852,103.059,61.065,63.870,102.250,75.944,97.240,91.647,72.252,90.450,677.875,98.606,42.644,42.381,115.428,72.635,92.167,93.185,76.619,43.250,70.048,93.216,76.083,110.655,76.105,38.952,106.358,76.731,25.143,85.629,91.519,72.429,100.651,71.440,58.909,105.414,40.209,92.833,106.338,82.681,45.875,75.673,101.386
489,69.375,78.220,60.621,44.500,86.899,62.101,525.000,78.237,81.177,16.545,129.442,59.402,69.167,96.388,73.707,37.875,102.667,78.772,49.882,60.886,63.749,169.500,75.986,97.205,89.059,72.019,90.402,689.625,98.598,42.669,83.143,115.886,72.799,97.333,92.809,76.657,57.500,69.999,93.034,65.333,110.722,76.054,117.238,106.408,76.714,45.714,85.738,91.731,29.714,100.532,71.793,65.455,105.647,40.247,32.667,106.422,82.680,65.000,75.626,101.662
490,84.625,78.339,60.779,74.500,86.921,62.398,731.875,78.316,81.235,47.636,129.533,59.448,94.667,96.585,73.642,64.500,102.477,78.950,48.588,61.022,63.517,69.500,75.889,97.070,60.588,72.195,90.355,525.375,98.585,42.630,115.048,115.795,72.924,51.167,92.860,76.650,89.250,70.103,92.992,55.000,110.748,76.169,92.095,106.437,76.571,36.714,85.674,91.949,39.857,100.359,71.527,72.909,105.778,39.957,88.500,106.260,82.788,53.500,75.463,101.487
491,96.750,78.176,60.792,49.500,86.911,62.294,545.625,78.221,81.248,38.182,129.605,59.347,85.500,96.312,73.765,78.500,102.433,78.809,23.765,61.024,64.233,200.000,75.948,97.219,54.471,72.276,90.400,799.000,98.566,42.714,63.619,115.696,72.658,135.833,93.184,76.574,58.500,70.048,93.119,54.083,110.775,75.855,65.048,106.355,76.445,294.143,85.789,91.572,69.571,100.793,71.777,59.091,105.675,40.257,66.833,106.348,82.946,107.500,75.627,101.537
