 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16
352,55.154,42.315,102.570,42.333,40.564,107.389,85.700,39.487,84.037,297.273,60.625,86.894,97.091,43.226,80.203,411.375,52.875,80.563,142.625,43.992,96.145,36.364,43.939,75.933,149.929,39.490,75.691,129.000,21.878,91.767,118.000,51.440,69.479,52.250,66.095,76.255,218.706,54.111,86.654,224.000,62.822,63.533,94.000,33.696,95.136,76.692,47.342,64.058
353,36.154,42.136,102.916,77.167,40.760,107.555,73.900,39.348,84.052,320.909,60.577,87.004,213.273,43.275,80.080,458.750,52.872,80.628,77.625,44.006,95.923,56.364,43.830,75.875,147.286,39.400,75.841,46.250,21.885,91.830,29.500,51.324,69.486,23.250,65.872,76.480,174.706,54.117,86.631,263.250,62.988,63.522,113.800,33.756,95.155,105.846,47.463,64.042
354,55.308,42.084,102.725,55.833,40.609,107.564,78.100,39.464,84.076,264.545,60.583,87.013,142.364,43.156,80.189,532.250,52.916,80.574,99.375,44.110,96.044,104.182,43.915,75.804,84.000,39.353,75.968,105.500,21.900,91.795,62.167,51.401,69.466,75.000,66.174,76.208,132.235,54.101,86.915,390.250,62.903,63.557,92.600,33.775,95.202,118.538,47.353,64.010
355,41.769,42.137,102.588,58.667,40.712,107.584,105.300,39.431,83.939,320.364,60.588,86.940,149.636,43.233,80.175,549.375,52.905,80.605,89.000,43.963,95.807,20.909,43.962,75.466,107.643,39.357,75.612,60.250,21.786,91.767,162.333,51.477,69.382,51.875,66.172,76.166,156.118,54.188,86.674,217.750,62.966,63.612,102.300,33.765,95.061,98.538,47.305,64.151
356,50.154,42.000,102.836,70.667,40.606,107.589,74.200,39.405,84.074,362.909,60.603,86.916,124.000,43.311,80.192,494.250,52.924,80.632,104.000,44.049,96.076,59.273,44.109,75.715,127.000,39.348,75.734,129.250,21.800,91.821,103.500,51.605,69.425,47.125,66.004,76.527,105.059,54.148,86.842,196.500,62.963,63.621,120.400,33.744,95.374,123.615,47.514,63.942
357,50.538,42.022,102.687,49.333,40.674,107.570,295.700,39.398,84.075,378.000,60.589,86.918,78.000,43.166,80.310,544.375,52.847,80.649,109.375,44.010,96.045,53.091,43.890,75.844,105.000,39.249,75.530,170.000,21.717,91.782,61.000,51.208,69.394,8.000,66.340,76.648,195.059,54.105,86.736,254.500,62.992,63.619,45.500,33.993,95.062,63.923,47.381,63.969
358,63.231,41.864,102.769,34.500,40.656,107.421,421.100,39.396,83.971,344.909,60.614,87.017,183.818,43.334,80.346,556.250,52.921,80.589,118.375,44.183,95.936,86.545,43.785,75.828,78.571,39.353,75.512,66.500,21.744,91.766,44.500,51.291,69.376,39.000,66.340,76.337,235.529,54.104,86.859,339.750,62.759,63.579,80.700,33.880,95.300,42.462,47.349,64.270
359,34.231,42.436,102.642,77.000,40.854,107.633,403.800,39.422,84.100,368.727,60.668,86.898,43.091,43.101,80.319,348.375,52.918,80.592,72.000,43.947,95.961,107.273,44.008,76.012,97.357,39.263,75.580,73.250,21.749,91.743,64.000,51.530,69.456,7.500,66.402,76.167,167.059,54.131,86.749,241.500,62.827,63.587,101.200,33.803,95.205,37.692,47.210,64.108
360,26.385,41.934,102.851,31.667,40.670,107.691,198.900,39.337,83.909,396.909,60.593,86.884,195.091,43.216,80.213,300.000,52.882,80.632,109.750,43.918,96.005,34.727,43.688,75.956,119.357,39.268,75.640,46.000,22.093,91.664,23.333,51.292,69.436,45.750,66.289,76.331,153.529,54.065,86.916,346.000,62.871,63.535,87.600,33.835,95.142,89.000,47.730,64.121
361,49.692,42.074,102.923,25.167,40.642,107.557,225.700,39.360,84.070,300.545,60.610,86.985,73.818,43.056,80.485,466.250,52.876,80.586,55.625,44.197,95.798,57.455,43.854,75.824,149.000,39.271,75.849,74.000,21.834,91.647,65.000,51.615,69.372,49.750,66.186,76.258,147.882,53.923,86.860,207.750,63.038,63.614,74.900,33.761,95.521,57.615,47.503,64.037
362,58.308,42.390,102.916,31.500,40.714,107.856,220.700,39.491,83.994,399.455,60.692,87.015,147.636,43.294,80.387,572.750,52.874,80.633,88.125,44.021,95.786,31.636,43.904,75.740,61.357,39.233,75.687,8.750,21.722,91.623,49.167,51.569,69.417,24.750,66.188,76.282,534.118,54.134,86.742,229.250,62.882,63.536,54.300,33.958,95.241,61.923,47.460,64.053
363,27.692,42.140,102.581,28.667,40.763,107.431,127.700,39.461,83.980,393.091,60.629,86.927,106.727,43.275,80.194,550.625,52.826,80.644,65.375,44.157,95.934,83.818,43.700,76.045,119.929,39.475,75.774,41.500,21.976,91.719,46.667,51.324,69.396,40.250,66.110,76.313,779.882,54.101,86.947,412.000,62.977,63.551,104.400,33.797,95.182,83.308,47.350,63.942
364,68.615,42.119,102.866,18.000,40.693,107.234,80.200,39.462,83.894,386.545,60.599,86.831,132.545,43.235,80.010,678.625,52.873,80.598,42.875,44.066,96.003,72.909,43.799,75.539,116.714,39.406,75.450,114.250,21.867,91.828,18.500,51.475,69.251,49.625,66.356,76.348,725.529,54.104,86.722,361.750,62.909,63.573,65.500,33.747,94.883,23.538,47.418,64.139
365,64.846,42.110,102.932,84.000,40.574,107.507,108.000,39.369,83.798,582.909,60.622,86.917,101.636,43.305,80.360,472.625,52.914,80.527,113.000,44.092,95.909,78.000,43.836,75.756,88.643,39.287,75.719,139.500,21.904,91.782,22.500,51.663,69.549,49.000,65.975,76.167,616.235,54.121,86.700,294.250,62.770,63.510,65.800,33.812,95.025,76.385,47.218,64.099
