,mean_intensity,x,y,normalized_intensity
0,350.5,60.409,77.946,0.5740664751743948
1,161.5,60.566,77.979,0.26384899466557243
2,85.75,60.141,78.064,0.1395157981124333
3,52.5,60.153,78.023,0.08494050061551088
4,75.0,60.322,77.976,0.12187115305703734
5,70.5,60.332,77.965,0.11448502256873205
6,106.25,60.609,77.965,0.17316372589249077
7,40.25,60.557,78.117,0.06483381206401313
8,62.25,60.503,78.228,0.10094378334017234
9,65.25,60.474,77.832,0.10586787033237587
10,93.0,60.827,78.007,0.15141567501025852
11,103.5,60.496,78.046,0.16864997948297086
12,35.0,60.437,77.965,0.05621665982765695
13,26.25,60.546,77.811,0.04185473943373
14,66.25,60.375,77.864,0.10750923266311038
15,55.5,60.15,77.936,0.0898645876077144
16,40.25,60.411,77.861,0.06483381206401313
17,35.125,60.202,77.91300000000001,0.05642183011899877
18,30.0,59.993,77.965,0.048009848173984404
19,13.0,60.539,78.209,0.020106688551497744
20,28.25,60.298,78.031,0.04513746409519902
21,45.25,60.423,77.825,0.07304062371768567
22,3.25,60.295,77.655,0.004103405826836274
23,19.75,60.566,78.204,0.031185884283955682
24,14.0,60.528,77.821,0.021748050882232254
25,27.75,60.625,77.954,0.04431678292983176
26,57.5,60.713,78.045,0.09314731226918342
27,47.5,60.182,77.952,0.07673368896183833
28,26.5,60.447,78.079,0.042265080016413624
29,72.75,60.569,77.871,0.11817808781288469
30,29.75,60.394,77.965,0.04759950759130078
31,23.75,60.605,77.828,0.03775133360689372
32,126.75,60.533,78.001,0.20681165367254822
33,31.25,60.511,77.99,0.050061551087402546
34,41.0,60.703,77.961,0.06606483381206402
35,43.25,60.424,77.866,0.06975789905621665
36,46.5,60.605,78.058,0.07509232663110382
37,50.0,60.165,77.92,0.0808370947886746
38,65.75,60.534,78.052,0.10668855149774313
39,20.0,60.504,77.965,0.03159622486663931
40,49.25,60.681,77.93,0.07960607304062371
41,0.75,60.295,77.655,0.0
42,32.25,60.295,78.143,0.051702913418137056
43,11.25,60.398,78.103,0.01723430447271235
44,41.5,60.605,77.918,0.06688551497743127
45,48.0,60.411,78.254,0.07755437012720558
46,74.5,60.336,77.955,0.12105047189167009
47,25.5,60.529,77.98,0.040623717685679114
48,113.5,60.376,78.013,0.18506360279031597
49,52.25,60.618,77.912,0.08453016003282725
50,99.75,60.562,78.075,0.16249487074271646
51,33.5,60.563,77.995,0.05375461633155519
52,28.75,60.605,78.164,0.04595814526056627
53,26.0,60.489,78.043,0.041444398851046366
54,41.25,60.774,77.83,0.06647517439474764
55,72.25,60.191,77.83,0.11735740664751744
56,59.25,60.222,78.064,0.09601969634796881
57,39.5,60.521,77.959,0.06360279031596225
58,29.0,60.538,77.949,0.046368485843249894
59,5.0,60.419,78.151,0.006975789905621666
60,67.5,60.543,77.764,0.10956093557652852
61,46.5,60.455,77.88,0.07509232663110382
62,56.5,60.311,77.965,0.09150594993844892
63,96.5,60.501,77.959,0.1571604431678293
64,70.5,60.438,77.85,0.11448502256873205
65,30.0,60.517,78.076,0.048009848173984404
66,20.5,60.56,78.01,0.032416906032006566
67,15.25,60.605,77.67,0.02379975379565039
68,49.5,60.401,78.176,0.08001641362330734
69,64.75,60.631,77.991,0.10504718916700861
70,80.25,60.249,77.958,0.1304883052933935
71,54.5,60.399,78.107,0.0882232252769799
72,54.75,60.683,77.84,0.08863356585966352
73,31.0,60.605,77.883,0.049651210504718914
74,40.25,60.584,77.988,0.06483381206401313
75,49.75,60.27,78.102,0.08042675420599098
76,29.75,60.292,77.85,0.04759950759130078
77,14.75,60.311,77.671,0.022979072630283134
78,27.5,60.574,77.985,0.043906442347148134
79,62.0,60.528,78.068,0.10053344275748871
80,84.5,60.622,78.083,0.13746409519901517
81,52.0,60.195,78.047,0.08411981945014362
82,44.25,60.262,78.006,0.07139926138695117
83,36.5,60.329,77.965,0.05867870332375872
84,26.0,60.232,77.914,0.041444398851046366
85,18.25,60.337,78.05,0.028723840787853918
86,34.75,60.313,77.929,0.055806319244973326
87,28.5,60.458,77.851,0.04554780467788264
88,101.25,60.428,77.81,0.16495691423881823
89,54.5,60.265,78.005,0.0882232252769799
90,15.75,60.462,77.94,0.024620434961017644
91,34.25,60.383,77.92,0.054985638079606075
92,16.75,60.17,77.798,0.026261797291752154
93,17.25,60.798,77.907,0.02708247845711941
94,7.25,60.605,77.965,0.010668855149774312
95,15.0,60.471,77.691,0.023389413212966764
96,37.25,60.432,77.824,0.059909725071809604
97,65.75,60.329,77.809,0.10668855149774313
98,9.5,60.295,77.949,0.014361920393926959
99,32.5,60.486,77.913,0.05211325400082068
100,23.0,60.157,77.989,0.03652031185884284
101,72.75,60.549,77.931,0.11817808781288469
102,22.25,60.413,77.989,0.03528929011079196
103,28.25,60.418,77.748,0.04513746409519902
104,51.5,60.525,78.048,0.08329913828477636
105,53.5,60.566,78.149,0.08658186294624538
