 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19
304,104.688,66.028,66.132,400.545,63.932,69.210,551.417,70.236,67.623,564.250,73.477,60.691,454.125,73.444,72.439,853.350,75.764,76.967,411.375,68.230,70.785,109.000,42.149,56.397,228.857,67.249,74.869,386.444,76.123,67.802,632.500,67.714,95.115,151.615,62.624,61.497,282.500,60.845,70.006,160.417,68.202,56.330,738.500,67.165,61.820,187.375,62.236,54.752,43.833,69.792,60.000,79.667,36.450,60.736,340.500,71.423,70.254
305,117.312,65.983,66.192,333.364,63.897,69.147,420.250,70.242,67.613,530.250,73.443,60.694,399.875,73.494,72.442,610.000,75.780,76.954,410.875,68.245,70.747,156.750,42.199,56.367,229.524,67.329,74.882,364.111,76.166,67.764,537.625,67.732,95.098,122.923,62.525,61.623,312.000,60.755,69.984,239.083,68.057,56.488,844.200,67.172,61.840,416.875,62.228,54.744,379.833,69.845,60.017,67.083,36.334,60.759,271.667,71.301,70.311
306,155.875,65.899,66.119,252.909,63.915,69.310,624.500,70.291,67.618,583.375,73.493,60.689,488.750,73.519,72.455,593.500,75.746,76.996,252.125,68.230,70.668,158.750,42.189,56.391,265.810,67.215,74.919,210.444,76.122,67.689,580.000,67.778,95.164,167.308,62.520,61.579,240.250,60.775,69.946,132.167,68.084,56.436,551.200,67.169,61.780,332.875,62.233,54.730,184.167,69.904,59.948,44.917,36.252,60.715,407.333,71.418,70.254
307,60.188,66.033,66.240,335.364,63.937,69.165,417.250,70.188,67.668,575.875,73.500,60.690,446.750,73.459,72.382,667.350,75.758,76.984,448.125,68.325,70.729,99.875,42.143,56.449,213.238,67.324,74.999,345.889,76.186,67.743,434.000,67.779,95.127,154.615,62.493,61.607,327.875,60.787,70.090,287.167,68.059,56.478,408.000,67.144,61.794,284.188,62.292,54.734,233.000,69.954,59.972,50.833,36.263,60.747,364.833,71.357,70.254
308,199.125,66.036,66.186,369.727,63.931,69.159,348.417,70.263,67.707,649.875,73.477,60.711,469.750,73.455,72.511,460.900,75.736,76.982,309.625,68.210,70.759,211.000,42.186,56.401,220.476,67.352,74.959,333.333,76.123,67.746,582.875,67.753,95.127,353.500,62.573,61.697,225.000,60.825,70.019,167.417,68.198,56.383,660.600,67.159,61.893,294.438,62.253,54.762,157.000,69.968,60.010,119.333,36.357,60.781,242.667,71.424,70.338
309,107.188,65.907,66.296,246.636,63.900,69.149,313.333,70.289,67.724,468.250,73.547,60.710,419.500,73.478,72.434,531.600,75.748,76.916,239.750,68.233,70.758,178.625,42.255,56.368,228.571,67.308,74.982,328.444,76.147,67.753,506.500,67.768,95.171,430.731,62.558,61.670,228.750,60.835,70.027,217.583,68.040,56.389,326.300,67.135,61.748,177.188,62.260,54.793,147.000,69.886,60.076,65.667,36.353,60.739,214.500,71.350,70.263
310,90.625,65.898,66.145,248.909,63.919,69.239,179.250,70.236,67.706,441.875,73.542,60.714,497.875,73.488,72.490,555.750,75.757,76.937,434.125,68.250,70.713,332.125,42.295,56.381,312.333,67.347,74.932,234.111,76.107,67.803,445.375,67.699,95.192,401.885,62.478,61.592,216.750,60.860,70.054,200.917,68.121,56.499,356.200,67.165,61.862,80.375,62.357,54.779,166.667,69.993,59.994,77.833,36.586,60.697,280.833,71.293,70.285
311,127.250,65.951,66.141,376.727,63.939,69.129,245.500,70.218,67.751,262.625,73.448,60.778,594.250,73.501,72.400,530.050,75.723,76.915,443.500,68.222,70.729,355.750,42.293,56.413,225.524,67.356,74.946,238.556,76.104,67.782,453.000,67.741,95.125,437.808,62.478,61.576,178.875,60.843,70.005,235.500,68.135,56.445,532.100,67.169,61.753,73.250,62.315,54.798,210.000,69.934,60.027,88.833,36.386,60.761,241.833,71.360,70.217
312,110.375,65.985,66.105,225.273,63.939,69.223,185.583,70.205,67.683,211.000,73.503,60.674,1087.500,73.476,72.438,429.800,75.759,76.965,278.875,68.216,70.796,248.375,42.217,56.438,172.095,67.296,74.852,287.778,76.142,67.760,492.000,67.735,95.134,619.692,62.536,61.677,228.625,60.819,69.954,167.333,68.200,56.378,432.500,67.147,61.830,91.062,62.321,54.715,181.500,69.908,60.040,44.000,36.277,60.703,276.667,71.273,70.257
313,74.500,65.913,66.018,269.545,63.952,69.224,336.000,70.272,67.674,350.750,73.474,60.724,850.500,73.462,72.399,549.450,75.777,76.953,438.125,68.241,70.782,199.000,42.341,56.385,230.333,67.333,74.865,411.778,76.111,67.705,313.375,67.726,95.186,612.654,62.526,61.640,261.625,60.839,69.990,251.000,68.149,56.429,300.700,67.178,61.773,75.062,62.240,54.736,127.667,69.922,59.994,82.667,36.193,60.751,305.833,71.355,70.227
