 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27
188,724.889,34.267,112.959,103.500,72.186,106.430,316.375,47.042,94.561,276.333,31.313,121.867,144.190,28.293,114.492,32.444,66.149,81.326,148.500,54.863,80.340,82.727,41.669,83.572,105.875,23.673,104.251,115.500,82.946,54.780,183.125,75.174,54.571,274.000,43.803,88.212,380.875,45.891,103.097,197.167,50.618,92.163,143.818,69.406,102.966,169.625,72.780,102.565,127.833,25.444,101.644,174.000,59.067,82.619,82.000,37.630,91.119,48.364,87.033,118.272,180.500,48.305,99.791,154.750,45.916,83.298,204.500,49.111,96.134,101.111,50.612,88.412,62.500,86.070,73.464,106.200,80.388,75.320,160.500,55.256,92.592
189,703.778,34.264,113.016,36.750,72.210,106.622,286.250,47.084,94.617,405.667,31.360,121.773,127.333,28.378,114.587,58.222,66.222,81.096,51.000,54.968,80.398,132.000,41.729,83.610,168.500,23.494,104.235,121.625,82.861,54.668,137.500,75.178,54.569,247.375,43.871,88.343,348.000,45.886,103.010,239.667,50.568,91.920,170.182,69.255,103.238,125.000,72.921,102.461,108.500,25.486,101.695,222.000,59.013,82.705,127.500,37.612,91.236,40.545,86.936,118.314,285.750,48.455,99.780,116.750,46.014,83.244,169.000,49.278,96.135,109.111,50.731,88.596,103.000,86.002,73.465,104.200,80.050,75.309,201.500,55.305,92.634
190,592.222,34.269,113.024,99.250,72.196,106.546,382.125,46.908,94.577,819.667,31.284,121.867,172.095,28.221,114.466,116.000,66.155,81.108,65.500,54.980,80.036,132.364,41.615,83.502,227.500,23.557,104.421,187.250,82.986,54.580,180.750,75.232,54.455,216.250,43.831,88.388,354.625,45.861,103.042,223.500,50.619,91.946,138.000,69.232,103.131,190.500,72.767,102.462,167.500,25.496,101.694,201.111,59.060,82.615,58.000,37.495,91.324,53.455,87.196,118.226,346.250,48.394,99.959,164.750,46.086,83.259,148.500,49.337,96.115,155.111,50.741,88.591,78.250,85.956,73.581,93.200,80.150,75.354,217.000,55.101,92.604
191,556.444,34.266,113.001,120.250,72.263,106.595,337.500,46.919,94.521,756.500,31.321,121.929,155.429,28.312,114.544,78.000,66.126,81.080,95.333,54.895,80.331,91.636,41.558,83.722,116.750,23.452,104.069,133.500,83.026,54.678,168.000,75.087,54.579,155.875,43.659,88.229,333.500,45.796,103.107,238.667,50.568,92.044,177.273,69.234,103.141,186.500,72.841,102.459,137.333,25.503,101.635,167.556,59.005,82.645,64.333,37.664,91.175,72.545,87.014,118.142,219.500,48.343,99.887,118.000,46.052,83.351,146.750,49.256,96.097,96.000,50.683,88.530,107.250,86.088,73.488,146.000,80.459,75.306,323.000,55.161,92.527
192,536.000,34.312,113.072,143.750,72.267,106.585,415.500,46.945,94.554,380.667,31.302,121.798,148.190,28.378,114.457,61.778,66.332,81.082,138.833,54.919,80.383,148.000,41.623,83.400,156.625,23.667,104.338,123.625,82.920,54.450,100.000,75.287,54.677,181.375,43.786,88.374,355.000,45.882,103.208,228.667,50.586,92.062,218.182,69.256,103.047,212.125,72.859,102.484,131.667,25.366,101.578,253.778,58.972,82.559,107.000,37.536,91.238,88.182,87.015,118.010,220.500,48.417,99.818,92.250,45.933,83.443,205.750,49.170,96.116,154.444,50.769,88.415,53.250,85.999,73.383,105.600,80.409,75.389,207.000,55.328,92.475
193,469.111,34.309,112.950,134.250,72.289,106.562,424.875,46.940,94.535,475.833,31.305,121.745,170.857,28.409,114.490,82.667,66.066,81.050,101.000,54.834,80.167,164.000,41.722,83.394,103.125,23.757,104.292,133.250,83.084,54.593,179.875,75.167,54.575,174.250,43.785,88.345,368.375,45.829,103.111,235.167,50.499,92.075,159.455,69.384,103.014,189.125,72.795,102.481,183.667,25.486,101.673,192.667,59.064,82.643,59.500,37.701,90.963,89.818,87.019,118.020,272.750,48.352,99.936,121.500,46.011,83.325,171.500,49.180,96.134,127.111,50.567,88.545,76.000,86.036,73.368,156.400,80.367,75.345,179.750,55.188,92.501
194,624.667,34.301,112.974,236.250,72.252,106.610,365.000,46.948,94.611,460.833,31.288,121.807,146.762,28.176,114.590,19.556,66.435,81.315,80.333,54.823,80.593,96.909,41.686,83.875,100.750,23.610,104.156,132.750,82.965,54.677,198.125,75.197,54.565,287.625,43.845,88.405,335.125,45.886,103.054,290.500,50.477,91.998,141.818,69.345,103.291,183.500,72.783,102.322,201.167,25.435,101.588,124.444,59.061,82.626,93.667,37.429,91.037,93.455,86.980,118.419,314.750,48.386,99.913,87.500,46.011,83.453,165.000,49.259,96.001,108.444,50.566,88.543,58.000,86.066,73.319,68.200,80.520,75.318,250.250,55.201,92.519
195,424.000,34.216,112.990,27.000,72.170,106.637,333.000,46.956,94.483,437.667,31.313,121.776,109.619,28.416,114.527,51.778,66.374,80.947,189.667,54.889,80.391,151.818,41.613,83.433,156.625,23.491,104.121,142.875,82.936,54.580,212.250,75.027,54.647,157.500,43.858,88.368,253.625,45.899,102.999,272.000,50.505,92.144,240.000,69.199,103.044,205.625,72.910,102.532,113.500,25.506,101.877,77.556,58.980,82.715,98.000,37.728,91.173,99.818,86.884,118.399,349.500,48.402,99.740,132.750,45.996,83.593,130.500,49.117,96.104,111.556,50.747,88.634,38.000,86.211,73.352,168.200,80.378,75.404,143.000,55.396,92.511
196,506.889,34.302,113.017,134.750,72.236,106.463,416.125,47.058,94.597,451.500,31.294,121.788,91.048,28.440,114.582,86.889,66.282,80.928,115.500,54.829,80.789,101.818,41.672,83.492,120.625,23.635,104.223,98.125,83.094,54.509,214.875,75.216,54.539,137.625,43.982,88.357,348.000,45.784,103.085,255.833,50.449,92.013,178.909,69.348,103.026,163.125,72.756,102.556,190.167,25.480,101.677,246.667,59.106,82.523,101.000,37.599,91.145,65.636,87.087,118.333,192.000,48.341,99.978,179.750,46.127,83.323,249.250,49.180,96.077,85.778,50.634,88.526,123.250,86.012,73.537,85.200,80.289,75.278,238.000,55.151,92.549
197,632.889,34.296,112.955,140.000,72.144,106.555,306.750,46.932,94.588,420.500,31.303,121.823,148.095,28.322,114.540,122.000,66.219,80.953,200.833,54.898,80.351,85.091,41.649,83.647,148.000,23.609,104.350,158.500,83.041,54.568,205.875,75.193,54.465,220.000,43.898,88.398,254.000,45.864,103.173,222.833,50.632,92.126,202.000,69.219,103.162,175.250,72.890,102.275,231.167,25.344,101.725,142.889,58.954,82.463,122.333,37.504,91.075,80.000,87.040,118.564,195.500,48.385,99.898,177.750,45.979,83.279,153.500,49.282,96.123,116.889,50.631,88.551,114.500,86.054,73.370,142.600,80.352,75.247,189.250,55.310,92.598
198,550.889,34.267,113.084,141.750,72.076,106.478,339.000,46.951,94.535,471.500,31.334,121.860,134.000,28.392,114.636,78.000,66.321,81.024,163.333,54.895,80.312,132.727,41.634,83.759,120.375,23.539,104.306,46.250,83.003,54.445,163.500,75.221,54.536,106.750,43.935,88.329,229.875,45.820,103.091,208.167,50.510,92.085,92.727,69.301,103.000,172.375,72.720,102.527,139.000,25.440,101.688,129.556,59.101,82.664,71.500,37.507,91.259,83.636,86.914,118.212,182.500,48.373,99.792,133.500,46.009,83.196,114.250,49.143,96.099,70.000,50.597,88.472,120.250,86.118,73.715,77.800,80.136,75.340,94.250,55.148,92.541
199,649.111,34.225,112.970,232.000,72.181,106.544,300.250,47.017,94.538,727.667,31.372,121.807,174.762,28.430,114.568,76.222,66.222,81.079,169.833,54.934,80.361,182.364,41.679,83.516,123.000,23.488,104.389,102.750,82.927,54.544,170.875,75.239,54.558,157.125,43.862,88.497,258.500,45.926,103.011,208.000,50.531,92.060,151.273,69.199,103.136,231.375,72.899,102.439,154.833,25.472,101.729,145.556,59.022,82.617,64.000,37.431,90.967,110.182,87.074,118.453,310.500,48.318,99.840,86.250,46.035,83.437,256.000,49.193,96.116,118.889,50.683,88.357,98.000,86.020,73.521,134.800,80.370,75.295,233.500,55.211,92.608
200,575.111,34.192,112.909,251.250,72.224,106.576,346.625,47.080,94.500,492.667,31.300,121.881,180.952,28.327,114.534,78.889,66.009,81.089,152.833,54.816,80.236,187.455,41.560,83.596,236.000,23.685,104.336,111.250,82.881,54.574,268.375,75.137,54.561,171.875,43.823,88.392,312.375,45.984,103.055,207.167,50.452,92.098,220.000,69.289,103.033,158.500,72.877,102.524,133.333,25.498,101.668,185.556,59.020,82.609,65.667,37.681,91.191,35.091,86.921,118.430,206.750,48.440,99.830,144.250,46.057,83.345,216.250,49.200,96.049,169.333,50.697,88.502,78.250,85.983,73.397,22.600,80.344,75.373,175.250,55.155,92.551
201,506.444,34.232,113.024,181.000,72.212,106.358,355.500,46.995,94.551,400.833,31.373,121.751,178.381,28.439,114.297,126.667,66.193,81.129,126.333,54.888,80.515,156.364,41.636,83.647,83.625,23.516,104.173,211.125,82.778,54.662,134.750,75.071,54.576,160.000,43.865,88.462,317.750,45.870,103.072,281.833,50.546,92.015,226.000,69.276,102.956,137.500,72.774,102.421,112.167,25.504,101.666,260.000,59.007,82.707,59.000,37.398,91.200,56.545,87.005,118.065,206.750,48.301,99.628,128.750,46.069,83.366,213.500,49.093,96.027,227.111,50.720,88.457,141.250,86.090,73.678,106.000,80.250,75.303,206.000,55.243,92.461
202,628.667,34.296,113.020,95.750,72.282,106.674,407.000,46.894,94.537,303.333,31.334,121.815,167.524,28.374,114.399,22.889,66.170,80.893,81.000,54.880,80.596,112.909,41.789,83.553,186.000,23.615,104.145,1120.750,82.887,54.594,163.375,75.135,54.473,175.625,44.058,88.316,298.625,45.901,102.973,141.000,50.569,92.135,172.364,69.201,102.917,141.875,72.749,102.361,146.667,25.483,101.823,316.444,59.137,82.593,62.500,37.463,91.151,69.636,87.030,118.352,166.000,48.472,99.937,140.000,46.056,83.385,165.000,49.375,95.988,124.889,50.665,88.418,97.500,85.957,73.454,57.200,80.607,75.485,196.000,55.160,92.555
203,508.444,34.229,113.008,101.500,72.345,106.487,247.750,46.922,94.469,465.833,31.296,121.757,151.524,28.598,114.562,26.222,66.466,80.949,93.667,54.868,80.552,119.636,41.767,83.557,102.375,23.540,104.156,831.375,82.882,54.569,250.500,75.281,54.633,88.375,43.973,88.496,336.625,45.870,103.099,129.333,50.494,92.037,175.091,69.249,103.065,156.500,72.817,102.489,126.333,25.294,101.699,250.000,59.157,82.647,49.333,37.558,91.296,98.000,87.121,118.201,259.750,48.360,99.759,139.750,46.012,83.466,229.500,49.065,96.013,44.000,50.718,88.718,129.000,86.050,73.504,56.800,80.293,75.230,120.000,55.077,92.533
204,525.778,34.251,113.001,91.500,72.259,106.603,325.000,46.946,94.575,258.000,31.341,121.752,146.667,28.468,114.643,48.000,66.283,81.186,170.500,54.802,80.357,166.545,41.621,83.716,122.750,23.715,104.258,878.750,82.935,54.602,185.750,75.231,54.467,242.500,43.935,88.325,288.125,45.960,103.059,224.833,50.488,91.938,214.545,69.201,103.081,199.750,72.779,102.259,152.333,25.565,101.724,157.556,59.112,82.588,81.333,37.476,90.986,71.091,87.083,118.179,255.250,48.310,99.790,19.000,46.321,83.268,190.250,49.163,96.040,107.111,50.695,88.434,114.000,86.132,73.293,58.400,80.267,75.369,190.750,55.246,92.561
205,543.778,34.275,113.025,140.000,72.129,106.548,261.750,47.059,94.525,173.833,31.336,121.794,174.857,28.245,114.409,147.111,66.164,81.042,127.500,54.887,80.321,225.455,41.862,83.544,151.625,23.655,104.304,784.250,82.935,54.667,213.625,75.301,54.642,191.000,43.965,88.463,311.500,45.840,102.987,267.833,50.584,92.042,300.545,69.335,103.100,133.125,72.934,102.404,139.333,25.618,101.729,243.778,59.056,82.529,91.500,37.672,91.167,96.182,86.786,118.215,283.000,48.297,99.956,73.500,46.035,83.077,174.000,49.117,96.026,78.000,50.848,88.467,71.750,86.078,73.398,49.200,80.281,75.263,149.750,55.338,92.633
206,645.778,34.246,113.015,74.750,72.210,106.436,358.875,46.991,94.577,246.667,31.354,121.848,133.905,28.395,114.629,110.000,66.275,80.890,90.167,54.890,80.120,119.818,41.842,83.529,91.625,23.698,104.288,501.500,82.946,54.607,213.625,75.237,54.603,182.500,43.850,88.341,344.000,45.925,102.995,204.167,50.575,92.110,138.545,69.259,102.987,182.125,72.752,102.581,151.000,25.644,101.693,132.889,58.976,82.745,56.500,37.499,91.289,103.091,86.895,118.093,197.750,48.323,99.812,86.000,45.997,83.422,343.250,49.267,96.161,119.333,50.667,88.459,105.000,86.154,73.322,99.800,80.414,75.335,133.750,55.190,92.485
207,522.889,34.265,113.013,118.750,72.387,106.539,429.625,46.902,94.543,259.167,31.312,121.763,91.048,28.527,114.302,139.333,66.193,81.088,139.167,54.864,80.636,131.091,41.708,83.608,151.000,23.633,104.330,276.875,82.912,54.678,181.250,75.247,54.555,157.875,43.882,88.281,316.000,45.829,102.987,258.167,50.501,92.091,154.727,69.349,103.119,154.875,72.877,102.476,96.000,25.521,101.473,127.111,59.027,82.652,59.167,37.650,91.069,71.091,86.912,118.400,293.500,48.386,99.741,116.750,46.008,83.406,314.000,49.169,96.059,131.778,50.806,88.624,92.000,86.065,73.649,52.800,80.425,75.351,182.250,55.245,92.517
208,489.556,34.299,113.035,131.250,72.221,106.579,330.000,46.919,94.512,295.500,31.333,121.713,144.190,28.238,114.411,110.222,66.109,81.106,153.833,54.850,80.413,172.182,41.718,83.729,137.000,23.595,104.332,153.500,82.876,54.660,173.250,75.217,54.529,168.000,43.943,88.260,241.000,45.826,103.044,225.833,50.582,91.963,171.091,69.239,102.907,164.875,72.844,102.445,154.333,25.350,101.796,137.333,58.995,82.711,100.500,37.490,91.129,63.636,86.953,118.221,357.250,48.359,99.809,168.250,46.073,83.269,351.750,49.261,96.097,101.111,50.593,88.499,102.000,86.016,73.484,79.400,80.489,75.355,256.000,55.215,92.520
209,415.778,34.258,113.051,114.250,72.271,106.497,310.500,46.976,94.478,254.667,31.351,121.904,92.857,28.389,114.613,75.111,66.146,81.032,88.167,54.808,80.572,221.818,41.601,83.675,131.625,23.560,104.080,84.125,82.990,54.505,177.625,75.288,54.541,106.625,43.932,88.449,279.750,45.917,103.001,212.000,50.477,91.976,393.818,69.414,103.121,178.500,72.800,102.670,156.333,25.441,101.545,323.556,59.074,82.602,135.667,37.480,91.149,58.000,87.108,118.141,214.500,48.415,99.851,100.750,46.067,83.582,218.750,49.233,96.043,88.444,50.688,88.576,101.250,86.072,73.216,233.200,80.482,75.395,198.750,55.249,92.532
210,535.778,34.230,113.013,73.250,72.153,106.303,360.750,46.904,94.542,142.667,31.341,121.813,185.524,28.502,114.532,101.333,66.157,80.905,162.667,54.886,80.183,199.636,41.677,83.545,97.875,23.378,104.366,127.250,82.884,54.608,177.625,75.172,54.605,156.750,43.841,88.283,297.125,45.854,102.957,217.500,50.602,92.029,223.091,69.280,103.095,122.750,72.905,102.539,169.000,25.507,101.735,358.444,59.050,82.624,112.667,37.509,91.090,62.364,86.984,118.144,330.750,48.325,99.927,86.750,46.017,83.425,324.250,49.314,96.081,26.889,50.616,88.587,30.500,86.099,73.549,122.400,80.460,75.431,191.750,55.204,92.547
211,600.667,34.239,112.999,172.250,72.144,106.431,287.750,46.848,94.520,232.333,31.290,121.849,147.619,28.367,114.513,61.556,66.220,81.087,61.667,54.883,80.248,98.000,41.786,83.292,140.125,23.577,104.327,134.000,82.966,54.601,155.625,75.218,54.573,173.375,43.944,88.401,295.500,45.900,103.042,189.500,50.484,92.072,282.364,69.303,103.022,127.375,72.741,102.579,145.833,25.360,101.705,158.889,59.021,82.695,149.167,37.599,91.119,31.455,86.994,118.539,206.500,48.328,99.718,110.000,46.053,83.489,310.750,49.335,96.083,80.000,50.698,88.449,86.750,86.059,73.622,71.000,80.207,75.391,121.750,55.296,92.684
