 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
243,153.875,96.568,84.735,122.000,76.009,110.894,122.000,88.224,100.961,151.000,80.538,87.333,264.125,94.462,98.322,145.250,86.405,57.887,50.625,91.886,79.504,132.625,79.114,64.266,351.250,70.196,109.739,55.750,88.975,42.453,50.200,80.939,58.244,73.048,91.094,83.438,144.167,93.614,104.030,156.500,81.578,35.669,126.375,92.042,89.947,66.000,63.132,89.804,155.800,88.977,109.934,56.375,87.265,89.274
244,62.500,96.652,84.547,195.556,76.073,110.900,227.778,88.168,100.786,186.000,80.716,87.309,178.250,94.480,98.303,83.250,86.369,58.002,51.125,91.765,79.399,224.500,79.064,64.306,175.750,70.266,109.589,89.250,88.945,42.635,152.600,80.972,57.998,78.857,91.097,83.586,120.167,93.558,104.361,179.833,81.446,35.555,110.125,92.076,89.867,185.000,63.053,90.014,181.600,88.956,109.890,97.625,87.124,89.126
245,94.250,96.323,84.614,91.111,76.082,110.761,233.333,88.115,100.882,191.500,80.603,87.375,214.250,94.357,98.113,192.250,86.331,57.935,57.500,92.012,79.533,154.500,79.078,64.240,238.250,70.210,109.800,55.000,89.052,42.719,90.800,80.889,57.951,72.762,91.049,83.647,78.333,93.617,104.134,154.167,81.493,35.718,124.125,92.072,89.825,38.750,63.105,89.889,123.400,88.982,109.867,78.250,87.302,89.283
246,55.750,96.603,84.649,147.556,76.233,110.998,176.444,88.242,100.812,269.333,80.607,87.551,158.250,94.419,98.208,61.250,86.362,58.090,47.125,91.779,79.215,249.625,79.252,64.254,244.750,70.286,109.707,60.000,89.042,42.538,169.000,80.900,57.951,105.905,90.691,83.537,92.167,93.758,104.220,149.167,81.484,35.724,117.125,92.184,89.924,140.250,63.161,89.889,200.200,89.060,109.818,87.250,87.379,89.432
247,128.625,96.548,84.488,116.000,76.094,110.854,167.333,88.266,100.897,99.333,80.539,87.537,256.625,94.389,98.240,83.500,86.337,57.988,43.125,91.867,79.286,248.750,79.027,64.380,129.750,70.199,109.651,76.000,89.053,42.685,48.600,80.903,57.826,59.905,90.958,83.576,100.500,93.525,104.224,51.500,81.613,35.786,140.250,92.305,89.935,7.250,63.395,89.959,159.000,88.984,109.990,89.875,87.353,89.192
248,74.875,96.548,84.840,133.333,75.891,110.812,301.778,88.213,100.797,189.500,80.708,87.461,239.875,94.395,98.239,96.250,86.372,57.839,40.375,91.781,79.632,175.125,79.062,64.331,136.000,70.293,109.858,46.000,89.095,42.632,130.800,80.881,57.959,115.333,91.010,83.596,111.333,93.640,104.199,109.500,81.451,35.491,77.125,92.384,89.933,103.250,63.244,90.093,145.600,88.934,109.821,107.500,87.144,89.250
249,106.875,96.699,84.684,166.667,76.019,110.713,198.000,88.205,100.986,184.000,80.715,87.452,168.500,94.412,98.249,157.000,86.310,58.098,64.625,91.727,79.573,286.000,79.012,64.400,101.250,70.141,109.713,130.000,88.854,42.487,106.400,80.968,57.764,88.000,90.890,83.606,52.833,93.604,104.288,87.833,81.483,35.747,99.500,92.158,90.009,85.500,63.102,90.076,101.800,89.028,109.950,49.375,87.088,89.453
250,104.125,96.437,84.687,129.556,76.107,110.805,184.889,88.246,100.832,157.833,80.545,87.443,244.250,94.502,98.315,111.000,86.388,57.986,34.625,91.893,79.364,523.875,78.963,64.309,244.000,70.279,109.643,75.000,88.972,42.478,152.000,80.809,57.806,77.810,90.955,83.441,85.667,93.457,104.189,147.667,81.461,35.633,120.875,92.185,89.743,50.750,62.980,90.069,143.400,88.941,109.836,77.875,87.305,89.345
251,97.500,96.496,84.566,156.889,76.041,110.817,229.333,88.190,101.028,206.000,80.596,87.350,249.625,94.397,98.179,51.250,86.278,58.045,72.250,91.697,79.525,486.875,79.037,64.344,270.250,70.219,109.904,152.500,88.962,42.554,132.200,80.909,58.142,113.048,90.873,83.446,59.333,93.577,104.090,136.500,81.503,35.673,110.000,92.207,89.793,49.250,63.186,89.989,223.600,88.985,109.744,46.750,87.058,89.291
252,70.375,96.537,84.588,137.333,76.166,110.852,259.111,88.229,100.950,157.000,80.700,87.361,231.250,94.398,98.173,140.500,86.297,57.995,76.500,91.646,79.486,477.625,79.020,64.374,128.250,70.190,109.621,50.750,89.197,42.756,162.400,80.948,57.967,70.762,91.009,83.636,137.000,93.569,104.161,72.833,81.627,35.566,93.250,92.200,89.847,52.250,63.046,89.821,90.800,88.894,109.657,75.125,87.298,89.415
253,120.375,96.572,84.625,123.778,76.043,110.939,243.778,88.265,100.836,197.833,80.710,87.546,178.750,94.395,98.168,70.000,86.307,58.075,65.000,91.851,79.668,211.875,79.021,64.297,187.250,70.123,109.760,82.500,89.018,42.625,89.000,80.974,57.736,130.095,90.890,83.674,83.500,93.569,104.210,157.667,81.560,35.710,184.000,92.138,89.900,40.750,63.199,90.055,209.200,88.980,109.671,111.125,87.166,89.180
254,59.375,96.634,84.662,158.000,76.105,110.853,238.444,88.202,100.758,123.000,80.650,87.350,202.250,94.343,98.331,119.750,86.253,57.987,22.750,91.760,79.285,210.750,79.060,64.359,170.750,70.254,109.764,44.750,89.167,42.760,52.000,80.854,57.803,36.095,90.911,83.499,54.333,93.379,104.110,55.500,81.700,35.745,131.250,92.446,89.888,46.750,63.102,89.851,129.000,89.014,110.044,58.500,87.312,89.391
255,75.250,96.378,84.688,229.778,76.151,110.742,180.444,88.127,100.868,154.000,80.571,87.469,274.125,94.341,98.253,186.500,86.275,58.053,51.625,91.668,79.315,268.500,79.050,64.171,161.000,70.261,109.799,69.250,88.805,42.635,145.800,80.872,58.062,126.381,91.048,83.614,118.667,93.629,104.300,142.667,81.449,35.515,214.250,92.166,89.913,125.000,62.994,90.022,169.400,88.903,109.734,57.625,87.338,89.344
256,66.500,96.510,84.526,104.444,76.066,110.824,191.111,88.227,100.770,116.333,80.622,87.384,234.500,94.446,98.308,78.500,86.404,58.013,40.000,91.947,79.148,202.500,79.126,64.294,248.000,70.214,109.703,101.250,88.946,42.718,63.600,80.922,58.215,158.952,90.868,83.580,130.333,93.547,104.227,103.667,81.665,35.704,154.875,92.067,89.868,38.000,63.275,89.839,134.800,88.997,109.789,75.250,87.536,89.268
257,123.375,96.406,84.769,105.333,76.101,110.854,150.222,88.144,100.854,139.500,80.559,87.355,146.375,94.281,98.196,108.750,86.256,57.966,60.250,91.670,79.606,160.500,79.022,64.353,236.750,70.300,109.643,96.500,88.848,42.593,122.200,80.853,57.865,83.429,90.919,83.643,73.167,93.354,104.184,62.500,81.499,35.701,119.500,92.311,89.965,49.000,62.781,89.775,136.200,88.896,109.837,98.500,87.234,89.252
258,143.875,96.653,84.671,152.444,76.124,110.709,176.667,88.214,100.861,149.500,80.621,87.449,254.250,94.437,98.264,60.750,86.506,57.968,42.750,91.816,79.326,132.625,79.074,64.345,159.250,70.265,109.818,61.750,88.912,42.561,122.400,80.799,57.863,111.810,91.018,83.668,132.500,93.717,104.369,125.167,81.387,35.728,160.125,92.183,89.983,55.500,63.213,89.890,155.000,88.995,109.785,100.125,87.314,89.480
259,92.000,96.634,84.745,115.556,76.199,110.852,223.111,88.118,101.013,194.500,80.555,87.553,235.250,94.381,98.290,59.500,86.530,57.781,91.125,91.574,79.545,169.750,78.978,64.168,184.000,70.140,109.667,76.750,88.995,42.641,188.400,80.906,57.627,69.048,91.145,83.530,115.167,93.446,104.078,58.333,81.461,35.506,151.375,92.201,89.848,46.250,63.316,90.008,154.600,88.993,109.725,71.750,87.217,89.297
