 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
267,150.909,145.267,169.524,124.333,147.270,174.975,1.032,167.245,179.878,38.875,198.575,170.204,92.864,140.851,160.726,83.154,93.493,74.156,82.611,87.141,60.864,45.750,90.715,56.875,36.735,201.147,159.261,40.118,164.231,167.285,102.562,199.270,131.854,32.340,146.161,80.272,40.762,114.016,73.046,201.255,84.212,66.342,124.111,87.654,74.760,46.486,94.642,68.061,40.902,163.895,161.456,116.900,152.980,170.980,13.500,128.637,69.798,24.812,116.639,66.399,45.500,115.087,47.533,4.581,140.585,133.145,75.297,157.237,182.712,132.294,142.747,157.029,148.941,195.065,108.825,135.794,133.828,174.915,158.200,95.167,179.085,108.077,127.347,171.337,77.409,139.925,106.575,43.846,193.029,127.116,62.778,196.246,91.850,22.432,173.965,78.758,97.038,110.926,69.695,175.000,171.097,161.219,265.828,111.863,137.303,66.318,167.408,118.709,58.133,157.706,123.764,29.538,209.375,159.166,93.765,141.717,179.948,69.333,149.775,181.845,177.750,154.755,166.295,17.000,184.608,143.029,11.278,179.938,174.010,9.188,190.879,158.506,23.759,200.363,146.885,248.162,93.476,59.814,217.067,107.216,54.213,79.125,158.785,116.534,29.833,171.785,97.130,50.412,132.261,162.397,275.875,89.874,67.182,19.688,141.571,174.144
268,209.682,145.187,169.381,120.444,147.315,175.257,12.710,167.709,179.914,58.688,198.702,170.467,78.318,140.813,160.701,49.154,93.429,74.055,99.278,87.444,60.869,48.167,90.766,56.847,44.163,201.915,159.352,33.882,164.298,167.197,105.188,199.212,131.801,23.277,146.695,80.229,54.571,113.725,72.958,193.098,84.257,66.299,186.333,87.652,74.545,44.216,94.574,68.111,18.863,163.924,161.427,953.667,153.034,171.027,11.100,128.391,69.097,26.250,116.311,66.161,17.136,115.050,47.914,0.581,139.345,134.075,32.703,157.231,182.603,201.059,142.722,157.173,158.275,195.177,108.635,128.866,134.129,174.821,112.267,95.274,179.008,112.154,127.245,171.190,94.318,139.868,106.598,63.538,193.170,127.048,52.722,196.500,91.546,9.243,174.036,77.898,1128.423,110.660,69.681,111.069,171.216,161.378,314.379,111.560,137.324,58.500,167.466,118.800,94.833,157.922,123.935,27.346,208.999,158.998,97.059,141.693,180.015,37.917,149.855,181.736,194.500,154.644,166.089,32.000,184.955,142.762,17.111,180.413,173.487,24.750,190.854,157.777,25.000,200.774,146.817,262.000,93.491,59.652,223.700,107.126,54.293,73.375,158.478,116.511,43.556,172.359,96.647,32.000,132.057,162.846,243.750,89.989,67.333,21.875,141.112,173.973
269,106.273,145.307,169.411,233.167,147.420,175.142,20.065,167.197,180.554,67.125,198.905,170.143,75.773,141.005,161.100,42.077,93.428,74.396,66.222,87.277,60.895,31.694,90.801,56.742,26.490,201.915,159.140,59.412,164.231,167.053,136.062,199.391,131.961,21.362,146.611,80.585,43.429,114.013,73.149,265.725,84.107,66.403,221.278,87.645,74.689,26.486,94.930,68.006,19.412,164.156,161.462,592.033,153.064,170.987,12.167,128.237,69.855,7.375,116.242,65.707,35.545,114.916,48.005,2.065,139.345,133.145,88.649,157.269,182.444,158.059,142.659,157.241,164.235,195.136,108.806,121.814,134.128,174.662,169.767,95.148,179.138,30.077,127.494,171.600,93.682,139.854,106.701,25.231,192.781,127.141,39.667,196.254,91.562,43.676,173.846,78.124,1025.654,110.702,69.653,139.552,171.066,161.257,272.759,111.839,137.284,53.318,167.429,119.058,50.333,158.160,124.109,36.769,209.306,159.277,147.176,141.689,179.897,49.833,149.815,182.203,206.333,154.692,166.102,14.615,184.194,143.187,30.611,180.105,173.552,29.375,190.892,158.149,25.448,200.269,146.658,227.081,93.491,59.706,205.500,107.159,54.446,152.750,158.552,116.722,30.667,172.202,96.843,41.059,132.174,162.698,333.438,89.915,67.153,28.250,141.411,173.475
270,149.864,145.129,169.498,159.056,147.279,175.175,16.000,167.169,180.513,52.125,198.864,170.216,174.818,140.741,160.894,101.846,93.513,74.256,92.556,87.357,60.971,42.417,90.741,56.596,18.122,201.344,158.899,45.882,164.023,167.183,81.625,199.504,131.600,17.660,147.182,80.067,65.714,113.818,73.056,240.510,84.179,66.362,193.389,87.576,74.596,36.703,94.503,68.389,21.333,163.495,161.816,146.367,153.165,170.929,9.533,128.459,69.798,17.500,116.415,66.544,30.182,115.061,47.909,0.065,139.035,133.455,45.189,157.425,182.443,177.706,142.762,157.149,122.824,195.134,108.719,119.464,133.863,174.635,180.333,95.283,179.010,67.923,127.407,171.202,98.591,139.762,106.640,62.308,193.169,126.947,35.944,196.082,91.619,63.459,173.830,78.440,97.038,110.687,69.525,128.828,171.188,161.279,259.845,111.452,137.366,54.773,167.375,118.993,313.767,158.028,123.991,41.885,209.004,159.208,90.824,141.733,179.917,51.250,149.719,181.771,212.000,154.673,166.150,21.615,184.825,142.491,18.389,179.914,173.477,1.688,190.656,158.129,373.931,200.457,146.766,273.243,93.370,59.714,195.067,107.017,54.224,128.812,158.595,116.584,26.333,172.072,97.073,44.882,132.128,162.580,305.062,89.856,67.271,11.750,141.367,173.369
271,257.455,145.331,169.474,181.111,147.166,175.165,21.613,167.389,179.937,67.188,198.885,170.402,638.136,140.823,160.998,71.692,93.527,74.159,95.778,87.455,61.083,50.444,90.893,56.817,38.571,201.541,159.213,366.765,164.267,167.113,95.875,199.295,131.707,20.596,146.430,80.417,32.952,113.619,73.089,256.980,84.106,66.516,213.889,87.806,74.785,23.514,94.892,68.034,74.824,163.978,162.176,98.800,153.156,171.061,331.800,128.481,69.401,21.188,116.552,66.257,19.636,115.024,47.845,2.258,140.275,133.145,63.784,157.231,182.329,205.176,142.684,157.179,176.392,195.217,108.650,126.784,134.156,174.595,156.833,95.165,179.118,95.231,127.184,171.283,66.182,139.858,106.590,80.538,192.845,127.426,45.389,196.315,91.648,36.216,174.218,78.311,57.154,110.795,69.414,158.586,170.977,161.157,273.931,111.867,137.322,57.727,167.165,118.874,100.000,157.857,124.050,73.231,208.875,159.243,118.471,141.728,179.879,32.000,149.808,182.044,190.667,154.658,166.222,40.154,184.641,143.085,8.389,180.423,173.876,31.375,190.141,158.372,350.138,200.589,146.701,166.649,93.259,59.745,180.700,107.083,54.376,66.062,158.545,116.555,27.833,172.138,96.852,49.353,132.018,162.703,275.188,89.912,67.162,26.562,141.702,173.840
272,713.227,145.311,169.408,133.389,147.216,175.351,8.194,167.147,180.568,69.188,198.818,170.279,615.455,140.921,160.860,66.769,93.544,74.396,110.333,87.150,61.020,62.444,90.964,56.891,43.878,200.812,159.169,171.706,164.157,166.998,108.375,199.390,131.646,29.532,146.214,80.483,37.238,113.942,73.141,229.569,84.169,66.430,178.722,87.803,74.679,28.054,94.550,68.374,65.922,163.879,161.904,107.167,153.077,171.112,141.267,128.348,69.621,29.875,116.395,66.511,44.636,115.067,48.202,1.613,139.742,132.909,90.432,157.495,182.556,1283.059,142.784,157.175,126.235,195.116,108.569,118.804,134.224,174.626,150.567,95.143,179.012,55.846,127.361,171.381,67.727,139.923,106.568,69.538,192.896,127.003,35.889,196.284,91.368,25.730,173.467,78.083,74.154,110.845,69.472,168.276,171.070,161.236,357.569,111.424,137.356,70.273,167.436,118.876,62.100,157.994,123.851,50.808,209.045,159.295,126.588,141.700,179.883,75.750,149.844,182.021,149.000,154.704,166.145,31.923,184.914,142.960,26.944,180.477,173.584,20.312,190.618,158.123,138.276,200.474,146.816,199.027,93.446,59.753,205.800,107.117,54.453,66.625,158.763,116.675,25.806,171.821,97.254,27.412,132.029,162.199,251.625,89.819,67.318,54.312,140.963,173.832
273,180.318,145.253,169.547,164.611,147.411,175.117,19.548,167.422,180.075,66.250,198.824,170.625,224.818,141.221,160.761,40.077,93.341,74.096,113.778,87.531,60.982,48.472,90.526,56.873,70.408,201.170,159.223,90.588,164.441,167.504,58.688,199.309,131.610,26.638,146.922,80.423,38.857,113.679,72.849,198.941,84.085,66.575,221.944,87.623,74.616,45.838,94.975,68.151,20.980,163.700,162.120,82.033,153.258,170.805,22.700,128.172,69.422,36.750,116.523,66.328,423.409,115.156,47.686,10.774,139.367,133.477,32.703,157.528,182.559,1179.588,142.723,157.190,154.510,195.094,108.746,124.041,134.174,174.648,134.033,95.330,178.988,67.538,127.202,171.273,102.955,139.691,106.783,60.923,192.940,127.159,19.889,196.238,91.233,451.459,173.914,78.082,83.269,110.499,69.541,113.414,171.244,161.033,292.017,111.642,137.359,59.409,167.677,118.744,56.333,158.053,123.793,88.885,208.912,159.249,121.882,141.703,180.015,51.750,149.838,181.685,203.458,154.783,166.005,24.308,184.610,143.209,15.111,179.944,173.781,18.562,190.467,158.027,18.000,200.850,146.200,208.865,93.438,59.751,220.167,107.259,54.195,54.688,158.690,116.510,33.056,172.321,97.013,19.059,131.633,162.895,244.562,89.868,67.331,19.625,141.343,174.002
274,117.591,145.410,169.438,159.000,147.262,175.190,18.129,167.300,180.034,86.312,198.980,170.510,86.318,140.819,161.006,54.385,93.356,73.998,107.444,87.418,61.001,56.861,90.997,56.880,21.184,201.762,159.328,37.882,164.308,167.530,60.938,199.240,131.804,15.617,146.451,80.286,54.571,113.930,73.359,195.647,84.089,66.531,130.944,87.507,74.690,57.459,94.651,68.491,20.863,164.119,161.178,92.600,153.225,171.070,12.733,128.436,69.421,19.875,116.208,65.883,260.636,114.976,47.749,0.258,140.585,133.455,33.568,157.305,182.438,185.471,142.871,157.237,149.255,195.172,108.775,123.010,134.062,174.665,168.700,95.226,178.890,63.308,127.312,171.312,53.227,140.065,106.779,95.308,193.202,126.798,31.000,196.166,91.658,192.432,173.809,78.179,117.423,110.757,69.389,131.448,171.254,161.065,307.207,111.781,137.326,50.182,167.397,118.792,55.033,157.845,123.780,63.115,208.963,159.301,80.588,141.666,179.903,61.917,149.734,181.864,158.667,154.612,166.300,3.462,184.316,143.141,9.333,180.250,173.427,21.062,190.515,158.423,27.103,200.444,146.778,201.135,93.478,59.825,220.967,106.995,54.260,50.562,158.729,116.723,32.917,172.474,97.048,33.824,131.968,162.334,237.875,89.871,67.133,24.438,141.307,173.910
275,57.318,145.350,169.656,173.944,147.285,175.238,22.194,167.514,180.077,69.000,198.831,170.604,117.091,140.846,160.794,53.462,93.544,73.985,88.667,87.228,60.995,55.639,90.760,56.490,31.878,201.170,159.230,49.588,164.324,167.090,90.750,199.201,131.700,22.468,146.321,80.305,58.190,113.891,73.323,239.294,84.309,66.516,211.000,87.795,74.697,105.568,95.093,68.563,42.863,163.817,161.773,119.500,153.050,171.183,9.333,128.222,70.028,30.562,116.875,66.267,81.909,115.014,47.459,0.968,140.337,133.703,49.135,157.075,182.487,142.529,142.718,157.323,174.706,195.068,108.765,113.959,133.902,174.915,154.233,95.260,179.082,82.538,126.983,171.509,49.182,139.752,106.229,34.077,193.132,127.278,30.389,196.215,91.722,8.649,173.747,78.027,98.808,110.824,69.645,129.690,171.069,161.267,262.759,111.695,137.263,32.636,167.465,119.024,39.533,157.773,123.998,61.692,208.948,159.188,132.941,141.856,179.960,107.917,149.753,182.193,125.125,154.543,166.433,14.000,184.568,143.091,18.278,180.108,173.937,35.750,190.372,157.801,25.310,200.152,146.479,198.865,93.478,59.777,190.400,107.103,54.269,42.000,158.590,117.029,24.528,172.094,96.793,35.941,132.114,162.813,198.938,89.888,67.207,8.875,141.074,173.792
276,74.773,145.442,169.519,144.667,147.269,175.337,15.548,167.203,180.481,63.375,198.754,170.650,84.909,140.977,160.937,50.385,93.435,74.014,57.167,87.387,61.038,38.167,90.634,56.481,38.816,201.150,159.205,20.000,164.480,166.683,111.438,199.220,131.789,28.723,146.657,80.394,8.476,113.726,73.092,253.725,84.237,66.476,146.778,87.610,74.747,150.973,94.858,68.520,15.961,164.235,161.440,118.733,153.254,171.253,21.033,128.359,69.974,14.375,116.436,66.491,22.500,115.082,47.962,0.581,139.345,133.765,28.919,158.028,182.506,172.353,142.814,157.261,186.196,195.127,108.850,142.639,134.160,174.731,179.933,95.152,179.041,62.846,127.320,171.090,116.591,140.027,106.526,72.154,192.780,127.110,30.611,196.166,91.491,18.757,174.469,78.510,78.692,110.932,69.551,479.586,171.261,161.256,272.776,111.808,137.310,26.682,167.208,119.095,36.067,157.964,123.928,54.231,209.268,158.986,109.882,141.715,179.987,61.250,149.694,181.784,155.667,154.736,166.351,11.615,184.646,143.242,20.500,179.956,173.935,36.938,190.547,158.147,14.724,200.525,146.772,241.081,93.420,59.756,273.500,106.950,54.370,58.938,158.633,116.568,46.222,172.123,96.948,21.882,132.183,163.058,227.750,89.835,67.346,9.562,140.960,173.901
