 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45
504,115.400,44.523,153.648,46.353,31.703,130.595,60.286,30.303,125.657,56.385,64.572,148.764,49.375,116.162,194.382,113.290,57.249,170.296,146.774,60.490,175.951,36.162,65.418,176.681,96.000,66.218,171.964,56.647,40.093,138.657,113.613,60.141,167.312,54.619,112.811,197.433,53.889,61.837,160.194,175.000,68.406,155.221,37.238,47.447,124.044,42.250,69.043,144.353,35.750,115.554,182.869,87.500,90.412,169.597,173.571,113.645,190.176,93.241,85.447,152.814,93.000,78.142,217.264,166.766,95.829,180.962,52.077,93.856,198.672,134.818,87.139,187.583,152.314,84.827,174.215,111.286,88.384,199.277,383.243,47.481,165.340,80.647,88.652,190.978,76.062,72.645,218.673,295.000,62.894,185.980,160.167,65.721,183.196,181.042,74.383,212.288,112.385,77.362,154.685,32.241,41.419,95.230,72.667,51.762,128.031,98.057,54.964,154.472,64.400,82.017,221.784,119.838,52.391,143.471,342.314,24.300,127.080,67.923,38.621,131.877,80.533,60.109,155.519,16.649,53.615,114.929,32.286,60.634,144.731,100.292,75.666,146.283,148.625,79.188,210.862
505,138.667,44.444,153.741,31.059,31.585,130.531,40.286,30.669,125.563,52.308,64.499,148.466,59.250,116.316,195.065,80.645,56.988,170.503,163.161,60.470,175.944,33.297,65.370,176.522,111.900,65.894,172.072,63.353,40.342,138.338,114.581,60.191,167.062,60.381,113.017,197.504,49.778,61.681,159.730,97.400,68.097,154.990,33.429,47.363,123.633,57.042,68.876,144.500,18.125,115.717,183.167,86.750,90.449,169.853,117.333,113.612,190.290,91.103,85.729,152.781,102.654,78.068,217.244,159.957,95.990,180.840,54.154,93.584,198.843,53.364,87.163,187.452,175.529,84.950,174.480,85.429,88.421,199.512,377.514,47.562,165.356,49.176,88.687,191.551,62.125,72.597,218.644,291.667,62.755,185.977,187.167,65.687,183.177,176.250,74.446,212.414,115.808,77.618,154.647,35.552,41.165,95.403,21.889,51.506,127.698,72.371,55.058,154.500,59.100,81.366,221.820,119.351,52.594,143.307,328.078,24.420,127.258,121.308,38.567,131.757,74.833,59.999,155.430,25.892,53.566,114.673,50.171,61.119,144.522,138.792,75.582,146.367,163.625,79.206,210.931
506,114.400,44.476,153.779,27.647,31.844,130.622,66.143,30.624,125.520,12.231,64.345,148.752,86.375,116.088,194.508,122.387,57.257,170.617,122.323,60.493,175.901,19.405,65.162,176.639,85.700,66.071,172.104,60.765,40.271,138.629,105.484,60.310,167.203,59.333,112.997,197.484,35.722,61.689,159.679,72.600,68.296,154.874,16.381,47.338,123.538,32.958,69.129,144.611,39.312,115.965,182.967,125.875,90.444,169.892,146.857,113.599,190.344,139.759,85.759,152.694,88.231,78.116,217.432,82.851,96.004,180.612,74.308,94.143,198.362,105.909,87.461,187.256,165.882,84.984,174.227,42.619,88.417,198.912,390.541,47.519,165.352,90.059,88.479,191.089,108.562,72.411,218.860,236.667,62.984,185.937,320.333,65.738,183.194,130.708,74.466,212.367,112.192,77.544,154.827,36.138,41.757,95.006,58.667,51.798,127.954,77.771,54.810,154.397,63.600,81.748,221.805,129.784,52.576,143.281,281.529,24.424,127.243,114.077,38.506,131.738,63.733,60.154,155.293,38.919,53.602,114.880,39.771,61.035,144.611,124.333,75.282,146.366,171.938,79.205,210.899
507,122.500,44.516,153.645,31.235,32.091,130.665,57.952,30.159,125.340,66.692,64.703,148.488,79.812,116.153,195.007,145.097,57.267,170.276,71.613,60.069,175.868,45.405,65.654,176.559,40.300,65.825,172.042,66.706,40.149,138.521,119.871,60.232,167.449,71.095,112.956,197.218,85.500,61.816,159.796,90.700,68.195,155.007,20.524,47.439,124.588,57.917,68.955,144.537,57.250,115.964,183.112,100.625,90.366,169.818,154.048,113.700,190.284,89.345,85.695,152.811,112.269,78.012,217.184,60.128,95.947,181.280,38.385,93.951,198.695,90.818,87.261,187.657,176.941,84.952,174.399,83.857,88.123,199.280,359.784,47.544,165.322,98.588,88.594,191.278,62.438,72.429,218.717,219.167,62.660,186.006,247.500,65.623,183.282,183.542,74.240,212.195,105.346,77.430,154.769,29.897,41.303,94.915,69.500,52.081,128.168,78.886,54.963,154.281,77.500,81.403,221.825,124.162,52.593,143.377,318.078,24.397,127.314,99.923,38.572,131.736,76.367,59.821,155.433,20.973,53.602,114.002,53.457,60.877,144.687,130.875,75.653,146.333,195.312,79.317,210.791
508,143.433,44.456,153.753,29.353,31.310,130.586,26.381,30.780,125.479,40.231,64.656,148.503,56.750,116.035,194.745,84.129,57.327,170.312,106.968,60.512,176.037,48.919,65.394,176.707,122.600,66.162,172.171,47.529,40.150,138.333,106.645,60.243,167.078,57.857,112.776,197.703,54.889,61.557,159.852,48.700,68.156,155.045,10.238,47.428,124.239,53.542,68.797,144.739,69.188,116.112,183.099,118.062,90.312,169.822,176.667,113.768,190.288,88.241,85.716,153.041,131.115,78.067,217.387,7.574,95.853,180.882,57.231,94.001,198.675,93.773,87.367,187.445,177.529,84.932,174.260,64.905,88.184,199.098,359.838,47.557,165.245,74.471,88.839,191.406,148.312,72.542,218.696,323.667,62.666,186.021,310.500,65.665,183.219,228.458,74.610,212.156,111.000,77.403,154.719,30.897,41.199,94.941,88.111,52.140,128.104,117.514,55.051,154.448,57.400,81.844,221.764,104.108,52.516,143.675,314.471,24.343,127.127,90.231,38.587,131.565,115.133,59.821,155.385,18.541,53.809,114.658,32.286,61.243,144.673,79.625,75.486,146.592,171.625,79.307,210.931
509,116.867,44.424,153.815,50.412,31.830,130.466,26.095,30.692,125.362,45.000,65.025,148.396,57.312,116.148,194.729,127.419,57.252,170.376,120.710,60.232,175.980,13.459,65.901,176.514,82.100,65.881,172.066,109.824,39.891,138.603,146.710,60.261,167.305,42.952,113.124,197.538,80.833,61.475,159.959,74.700,68.026,155.121,23.476,47.450,123.875,59.292,68.683,144.535,35.688,115.647,182.897,160.750,90.376,169.923,164.190,113.704,190.063,87.069,85.553,152.490,169.154,78.117,217.279,10.383,95.948,180.370,71.846,94.137,198.691,105.636,87.214,187.269,148.275,84.876,174.312,72.810,88.335,199.384,354.324,47.568,165.370,77.471,88.597,191.349,124.188,72.557,218.673,244.500,62.792,186.029,199.667,65.671,183.257,221.625,74.474,212.203,94.462,77.685,154.509,19.862,41.381,94.913,68.000,51.892,128.001,84.114,54.815,154.401,41.700,81.736,221.706,140.811,52.568,143.327,333.137,24.385,127.228,79.769,38.535,131.633,82.100,60.123,155.319,19.135,53.406,115.030,43.971,60.743,144.527,125.625,75.511,146.415,171.250,79.357,210.949
510,118.967,44.596,153.766,78.000,31.644,130.575,49.381,30.296,125.279,51.538,64.665,148.692,55.875,116.042,194.897,158.194,57.332,170.368,128.903,60.440,176.041,26.216,65.983,176.494,112.300,66.033,171.842,56.529,40.257,138.333,108.323,60.266,167.288,46.048,113.213,197.623,71.500,61.804,159.979,97.400,67.943,155.078,34.143,47.423,123.623,47.042,68.735,144.521,476.812,115.965,183.004,485.562,90.286,169.882,192.714,113.831,190.229,78.828,85.579,153.209,124.692,78.154,217.107,17.745,95.908,180.985,38.769,93.778,198.533,94.045,87.303,187.387,142.824,84.780,174.253,60.333,88.251,199.305,401.784,47.529,165.342,100.588,88.476,191.284,96.000,72.559,218.734,265.667,62.711,185.918,331.000,65.653,183.117,153.708,74.415,212.237,103.846,77.493,154.609,21.103,41.396,94.615,33.611,51.784,128.064,72.657,55.042,154.371,23.600,81.745,221.982,118.486,52.411,143.301,367.686,24.272,127.285,133.154,38.519,131.736,77.933,60.075,155.404,2.865,53.498,114.750,57.886,61.046,144.998,56.667,75.580,146.359,176.750,79.326,210.663
511,148.433,44.562,153.692,39.824,31.462,130.401,27.143,30.573,125.561,11.692,64.800,148.610,42.812,116.305,195.079,136.516,57.277,170.387,64.129,60.583,176.140,47.622,65.338,176.765,42.900,65.847,172.209,88.235,40.229,138.683,38.387,60.136,167.376,95.429,112.977,197.454,60.722,61.693,159.848,72.300,68.119,155.049,38.286,47.646,124.216,37.333,68.891,144.593,241.438,115.795,182.965,108.188,90.326,169.936,187.000,113.585,190.071,92.069,85.755,152.886,123.808,77.976,217.147,10.511,95.754,181.850,61.000,94.068,198.738,77.045,87.383,187.420,190.549,84.818,174.275,60.571,88.338,198.842,363.135,47.470,165.351,93.941,88.724,191.337,90.875,72.518,218.755,231.333,62.714,185.895,241.000,65.682,183.229,221.875,74.400,212.293,107.731,77.618,154.822,14.897,41.396,94.668,57.333,51.788,128.141,69.886,54.980,154.401,40.400,81.377,221.981,131.730,52.462,143.451,324.039,24.347,127.179,76.615,38.516,131.906,55.867,60.013,155.593,14.324,53.371,115.838,40.057,61.089,144.580,93.583,75.652,146.316,200.812,79.365,210.710
512,138.067,44.389,153.723,39.706,31.426,130.257,58.190,30.482,125.521,109.769,64.555,148.471,35.938,116.224,194.741,115.742,57.449,170.448,114.774,60.622,175.954,35.514,65.288,176.260,50.600,65.980,172.008,75.176,40.159,138.568,108.258,60.304,167.435,51.381,112.899,197.354,64.333,61.752,159.619,98.200,68.040,155.036,30.952,47.389,124.110,58.625,68.803,144.796,54.500,115.580,183.068,94.625,90.456,169.736,133.476,113.586,190.155,77.103,85.687,152.777,115.654,78.112,217.082,15.660,95.757,180.957,50.692,94.099,198.677,116.727,87.362,187.622,243.059,84.792,174.320,69.238,88.296,198.873,354.865,47.623,165.365,65.588,88.599,191.167,72.500,72.613,218.773,243.250,62.804,185.869,138.500,65.583,183.131,172.042,74.273,212.420,138.269,77.502,154.585,30.828,41.446,94.756,67.556,51.694,127.996,61.571,55.087,154.305,50.100,82.012,221.693,209.514,52.637,143.446,302.353,24.386,127.232,126.538,38.370,131.769,75.867,60.146,155.539,22.757,53.501,114.879,42.857,60.875,144.783,117.375,75.560,146.326,172.250,79.395,210.888
513,153.233,44.513,153.864,19.412,31.618,130.572,31.143,30.724,125.530,115.231,64.663,148.654,63.312,116.019,194.504,104.000,57.259,170.509,122.065,60.406,175.998,48.216,65.429,176.726,53.400,66.031,172.073,65.176,40.512,138.407,111.677,60.329,167.145,65.714,112.838,197.516,75.222,61.604,159.918,56.300,68.410,155.135,82.667,47.700,124.344,56.000,68.958,144.669,23.000,116.129,183.124,88.875,90.290,169.782,136.190,113.731,190.261,54.414,85.892,153.181,137.500,78.208,217.092,5.745,96.152,181.700,31.462,93.978,198.719,86.773,87.278,187.617,1527.765,84.959,174.290,80.095,88.343,199.168,368.162,47.601,165.409,108.706,88.893,191.457,120.375,72.658,218.700,241.417,62.819,186.008,318.167,65.704,183.291,2558.875,74.379,212.281,104.846,77.351,154.503,23.517,41.155,95.464,229.556,51.705,128.108,70.000,54.862,154.556,30.100,81.665,221.731,107.892,52.461,143.352,314.667,24.409,127.298,112.385,38.521,131.711,81.600,60.024,155.496,6.054,53.165,114.523,40.600,61.081,144.970,101.042,75.235,146.346,216.688,79.246,210.927
