,frame,mean_intensity,x,y,normalized_intensity,cell_id,x_microns,y_microns,x_pixels,y_pixels
0,0,93.613,99.416,102.874,0.0829149073971687,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
1,1,96.129,99.43,102.902,0.08575380983867,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
2,2,76.774,99.542,102.741,0.0639147968198876,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
3,3,147.419,99.585,102.961,0.1436263480837408,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
4,4,86.774,99.274,102.664,0.0751981928512916,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
5,5,126.774,99.335,102.824,0.1203317769769074,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
6,6,109.29,99.195,102.713,0.1006038873556007,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
7,7,58.0,99.428,102.744,0.0427313491105298,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
8,8,41.742,99.356,102.658,0.0243868038426733,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
9,9,63.032,99.535,102.824,0.0484091539935323,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
10,10,87.097,99.486,102.709,0.0755626465431059,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
11,11,82.387,99.47,102.706,0.0702481670123147,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
12,12,153.806,99.386,102.822,0.1508330531289985,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
13,13,91.677,99.54,103.032,0.0807304419254889,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
14,14,81.355,99.218,102.965,0.0690837205418738,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
15,15,130.968,99.302,102.981,0.1250640332724782,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
16,16,83.29,99.308,102.874,0.0712670576739504,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
17,17,129.613,99.348,102.797,0.1235351331102229,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
18,18,128.581,99.26,102.783,0.122370686639782,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
19,19,102.452,99.534,103.039,0.0928883011493267,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
20,20,114.968,99.214,102.813,0.1070105996222319,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
21,21,142.387,99.463,103.0,0.1379485432007384,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
22,22,143.161,99.371,102.896,0.138821878053569,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
23,23,124.258,99.414,103.053,0.1174928745354061,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
24,24,102.839,99.49,102.975,0.093324968575742,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
25,25,81.226,99.445,102.851,0.0689381647330687,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
26,26,128.258,99.664,102.747,0.1220062329479677,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
27,27,693.226,99.416,102.804,0.7594820018549904,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
28,28,512.258,99.398,102.821,0.5552886405538794,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
29,29,612.839,99.388,102.775,0.6687781661773435,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
30,30,540.581,99.341,102.778,0.5872466031336248,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
31,31,454.323,99.413,102.87,0.4899182856459406,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
32,32,436.258,99.342,102.843,0.4695348307152093,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
33,33,455.226,99.387,102.764,0.4909371763075764,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
34,34,388.452,99.299,102.788,0.4155934276474796,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
35,35,454.194,99.242,102.788,0.4897727298371355,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
36,36,311.161,99.335,102.877,0.3283829313811554,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
37,37,219.484,99.348,102.78,0.2249401415840534,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
38,38,118.903,99.216,102.877,0.1114506159605893,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
39,39,109.935,99.449,102.744,0.1013316663996263,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
40,40,94.903,99.549,102.903,0.0843704654852198,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
41,41,115.226,99.136,102.771,0.1073017112398421,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
42,42,119.032,99.568,102.866,0.1115961717693944,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
43,43,169.806,99.267,102.854,0.1688864867792449,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
44,44,110.194,99.178,102.766,0.1016239063568396,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
45,45,149.677,99.443,102.765,0.1461741389076318,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
46,46,78.0,99.339,102.708,0.0652981411733377,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
47,47,102.129,99.498,102.916,0.0925238474575123,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
48,48,118.903,99.244,102.801,0.1114506159605893,3,99.38726,95.55266333333334,320.60403122863136,308.23443229583387
