,mean_intensity,x,y,normalized_intensity
0,15.375,59.153,64.602,0.012259194395796848
1,49.875,59.183,64.723,0.09281961471103327
2,53.625,59.129,64.55,0.10157618213660245
3,43.625,59.212,64.311,0.07822533566841798
4,44.125,59.022,64.87,0.0793928779918272
5,31.375,59.307,64.508,0.049620548744892
6,77.875,59.363,64.549,0.1582019848219498
7,11.0,59.323,64.624,0.0020431990659661413
8,43.75,59.261,64.426,0.07851722124927028
9,23.125,59.224,64.25,0.030356100408639813
10,50.625,59.233,64.767,0.09457092819614711
11,62.75,59.277,64.656,0.12288382953882078
12,60.75,59.442,64.693,0.11821366024518389
13,37.625,59.177,64.457,0.0642148277875073
14,29.75,59.48,64.583,0.04582603619381202
15,19.375,59.279,64.555,0.021599532983070636
16,14.0,59.351,64.134,0.009048453006421483
17,59.375,59.125,64.402,0.11500291885580852
18,31.125,59.326,64.675,0.04903677758318739
19,35.0,59.165,64.421,0.05808523058960887
20,36.5,59.157,64.458,0.06158785755983654
21,35.125,59.329,64.71,0.05837711617046118
22,21.875,59.218,64.881,0.027437244600116754
23,74.0,59.029,64.561,0.14915353181552832
24,101.0,59.217,64.684,0.2122008172796264
25,108.75,58.998,64.518,0.23029772329246936
26,438.375,59.119,64.624,1.0
27,300.875,59.252,64.539,0.6789258610624636
28,251.75,59.207,64.494,0.5642148277875073
29,175.875,59.304,64.521,0.38704028021015763
30,140.75,59.19,64.598,0.30502043199065965
31,173.25,59.207,64.713,0.3809106830122592
32,149.75,59.185,64.602,0.3260361938120257
33,204.75,59.101,64.616,0.45446584938704027
34,64.375,59.203,64.671,0.12667834208990075
35,36.0,59.333,64.768,0.06042031523642732
36,30.5,59.258,64.419,0.04757734967892586
37,54.25,59.143,64.596,0.10303561004086398
38,38.5,59.171,64.763,0.06625802685347344
39,59.5,59.26,64.371,0.11529480443666083
40,26.0,59.194,64.915,0.037069468768242846
41,54.375,59.209,64.502,0.10332749562171628
42,57.75,59.178,64.799,0.11120840630472854
43,56.625,59.274,64.806,0.1085814360770578
44,67.0,59.077,64.617,0.1328079392877992
45,41.0,59.255,64.68,0.07209573847051956
46,29.0,59.229,64.65,0.04407472270869819
47,95.5,59.222,64.54,0.19935785172212492
48,27.0,59.143,64.948,0.03940455341506129
49,61.625,59.24,64.456,0.12025685931115003
50,61.0,59.413,64.403,0.1187974314068885
51,87.0,58.913,64.631,0.17950963222416813
52,26.875,59.038,64.524,0.03911266783420899
53,56.0,59.244,64.602,0.10712200817279627
54,49.0,59.072,64.592,0.09077641564506714
55,49.125,59.318,64.501,0.09106830122591944
56,62.625,59.273,64.506,0.12259194395796848
57,50.875,59.191,64.482,0.09515469935785172
58,52.875,59.171,64.821,0.09982486865148861
59,51.0,59.305,64.659,0.09544658493870403
60,56.375,59.022,64.793,0.10799766491535318
61,45.25,59.039,64.533,0.08201984821949795
62,33.5,58.956,64.78,0.0545826036193812
63,10.125,58.829,64.356,0.0
64,39.125,59.134,64.377,0.06771745475773497
65,34.75,59.393,64.741,0.05750145942790426
66,39.875,59.107,64.569,0.0694687682428488
67,64.375,59.162,64.483,0.12667834208990075
68,55.375,59.14,64.563,0.10566258026853473
69,99.75,59.252,64.656,0.20928196147110334
70,49.375,59.082,64.817,0.09165207238762405
71,52.25,59.201,64.597,0.09836544074722708
72,50.5,59.152,64.675,0.09427904261529481
73,69.625,59.317,64.74,0.1389375364856976
74,71.75,59.325,64.563,0.14389959136018682
75,75.875,59.082,64.775,0.1535318155283129
76,70.625,59.098,64.514,0.14127262113251604
77,34.5,59.09,64.736,0.05691768826619965
78,89.5,59.204,64.7,0.18534734384121423
79,33.5,59.063,64.756,0.0545826036193812
80,37.125,59.104,64.967,0.06304728546409807
81,32.5,59.086,64.423,0.05224751897256275
82,81.875,59.257,64.624,0.1675423234092236
83,24.125,59.318,64.804,0.03269118505545826
84,109.5,59.024,64.574,0.23204903677758318
85,59.625,59.203,64.59,0.11558669001751314
86,70.125,59.211,64.654,0.14010507880910683
87,28.25,59.211,64.695,0.04232340922358435
88,26.875,59.253,64.357,0.03911266783420899
89,52.125,59.302,64.422,0.09807355516637478
90,35.0,59.415,64.812,0.05808523058960887
91,39.125,59.295,64.682,0.06771745475773497
92,26.375,58.98,64.479,0.03794512551079977
93,49.875,59.025,64.574,0.09281961471103327
94,76.0,59.223,64.563,0.1538237011091652
95,30.75,59.318,64.645,0.04816112084063047
96,41.375,59.134,64.714,0.07297139521307647
97,29.0,59.008,64.484,0.04407472270869819
98,31.875,59.01,64.522,0.050788091068301226
99,33.875,59.121,64.573,0.05545826036193812
100,84.375,59.012,64.749,0.1733800350262697
101,59.25,59.067,64.434,0.11471103327495621
102,59.5,59.157,64.608,0.11529480443666083
103,24.0,58.968,64.578,0.03239929947460595
104,15.125,59.27,64.348,0.011675423234092236
105,42.5,59.197,64.897,0.07559836544074723
106,51.0,59.129,64.934,0.09544658493870403
107,71.875,59.181,64.683,0.14419147694103912
108,48.375,59.132,64.662,0.0893169877408056
109,27.625,59.487,64.92,0.040863981319322826
110,52.875,59.355,64.64,0.09982486865148861
111,67.75,59.165,64.672,0.13455925277291303
112,87.5,59.109,64.604,0.18067717454757734
113,53.875,59.277,64.598,0.10215995329830706
114,54.0,59.13,64.529,0.10245183887915937
115,75.125,59.199,64.713,0.15178050204319907
116,35.75,59.299,64.388,0.059836544074722706
117,55.375,59.217,64.478,0.10566258026853473
118,63.875,59.342,64.923,0.12551079976649154
119,56.375,59.386,64.584,0.10799766491535318
120,69.375,59.154,64.929,0.138353765323993
121,42.25,59.16,64.381,0.07501459427904261
122,50.875,59.242,64.631,0.09515469935785172
123,59.125,59.168,64.71,0.11441914769410391
124,40.375,59.21,64.804,0.07063631056625802
125,35.75,59.13,64.773,0.059836544074722706
126,61.875,59.165,64.69,0.12084063047285463
127,42.875,59.238,64.636,0.07647402218330414
128,52.875,59.149,64.557,0.09982486865148861
129,50.0,59.173,64.445,0.09311150029188558
130,77.0,59.229,64.534,0.15615878575598366
131,37.125,59.314,64.707,0.06304728546409807
132,27.125,59.036,64.674,0.0396964389959136
133,61.5,59.529,64.523,0.11996497373029773
134,44.875,59.171,64.503,0.08114419147694103
135,82.5,59.118,64.472,0.1690017513134851
136,50.0,59.353,64.389,0.09311150029188558
137,51.5,59.131,64.337,0.09661412726211326
138,95.625,59.119,64.727,0.19964973730297722
139,72.875,59.131,64.716,0.14652656158785757
140,134.75,59.191,64.717,0.29100992410974896
141,25.375,59.194,64.571,0.03561004086398132
142,67.625,59.097,64.705,0.1342673671920607
143,64.625,59.378,64.86,0.12726211325160536
144,57.25,58.988,64.738,0.11004086398131932
145,42.375,59.174,64.567,0.07530647985989491
146,50.25,59.043,64.679,0.09369527145359019
147,59.5,58.992,64.494,0.11529480443666083
148,58.375,59.22,64.773,0.11266783420899007
149,25.75,59.49,64.373,0.036485697606538234
150,33.125,59.256,64.757,0.053706946876824285
151,66.875,59.099,64.469,0.13251605370694688
152,33.125,58.913,64.541,0.053706946876824285
153,56.625,59.273,64.636,0.1085814360770578
154,38.75,59.116,64.543,0.06684179801517805
155,65.875,59.407,64.652,0.13018096906012844
156,17.375,59.249,64.575,0.016929363689433742
157,44.25,59.391,64.521,0.0796847635726795
158,34.375,59.407,64.539,0.056625802685347344
159,65.875,59.227,64.7,0.13018096906012844
160,19.125,59.231,64.447,0.021015761821366025
161,19.875,59.379,64.343,0.02276707530647986
162,48.25,59.186,64.627,0.0890251021599533
163,41.75,59.165,64.583,0.07384705195563339
164,67.875,59.21,64.702,0.13485113835376533
165,49.875,59.161,64.571,0.09281961471103327
166,45.5,59.377,64.686,0.08260361938120257
167,52.75,59.137,64.553,0.09953298307063631
168,69.25,59.192,64.288,0.1380618797431407
169,27.0,59.385,64.248,0.03940455341506129
170,69.75,59.279,64.772,0.13922942206654992
171,68.875,59.279,64.4,0.13718622300058378
172,50.125,59.353,64.426,0.09340338587273789
173,24.75,59.086,64.427,0.03415061295971979
174,64.125,59.287,64.564,0.12609457092819615
175,47.5,59.425,64.457,0.08727378867483947
176,14.25,59.264,64.385,0.009632224168126095
177,86.125,59.279,64.283,0.17746643315820199
178,47.0,59.231,64.4,0.08610624635143024
179,51.125,59.051,64.549,0.09573847051955633
180,35.0,59.232,64.797,0.05808523058960887
181,75.5,59.196,64.804,0.15265615878575597
182,41.0,59.231,64.47,0.07209573847051956
183,45.625,59.443,64.437,0.08289550496205488
184,33.375,59.386,64.854,0.0542907180385289
185,87.75,59.362,64.824,0.18126094570928197
186,72.875,59.174,64.766,0.14652656158785757
187,44.5,59.213,64.762,0.08026853473438413
188,44.875,59.153,64.524,0.08114419147694103
189,43.625,59.207,64.314,0.07822533566841798
190,42.75,59.137,64.422,0.07618213660245184
191,16.375,58.996,64.763,0.014594279042615295
192,66.5,59.18,64.673,0.13164039696438995
193,39.375,58.896,64.536,0.06830122591943957
194,79.25,59.089,64.321,0.16141272621132516
195,46.625,59.417,64.546,0.08523058960887332
196,62.5,59.165,64.696,0.12230005837711617
197,67.75,59.098,64.611,0.13455925277291303
198,68.875,59.472,64.473,0.13718622300058378
199,51.875,59.156,64.534,0.09748978400467016
200,38.0,59.097,64.317,0.06509048453006422
201,70.375,59.362,64.328,0.14068884997081144
