,mean_intensity,x,y,normalized_intensity
0,60.25,90.157,178.449,0.027663211387660917
1,38.542,90.31,178.44,0.015572426906952538
2,36.333,90.274,178.454,0.01434207206459558
3,33.625,89.785,178.542,0.012833787359705296
4,52.167,89.543,178.547,0.023161193193558936
5,42.583,90.467,178.393,0.017823157517167322
6,47.625,90.0,178.279,0.020631418773465998
7,28.042,90.14,178.32,0.00972420334663201
8,48.083,90.178,178.376,0.020886512715430454
9,37.167,90.058,178.552,0.014806588107386755
10,39.0,90.167,178.594,0.015827520848916993
11,48.542,90.264,178.589,0.021142163631067325
12,40.708,89.782,178.585,0.016778831881395798
13,24.792,90.074,178.648,0.007914038911294703
14,32.833,89.752,178.33,0.012392664211155403
15,29.292,90.151,178.426,0.010420420437146359
16,38.5,90.045,178.293,0.015549034012711255
17,55.333,90.062,178.677,0.024924571840413676
18,40.0,89.777,178.691,0.016384494521328473
19,55.042,90.318,178.592,0.024762492501741937
20,44.542,90.203,178.705,0.01891426894142141
21,43.917,89.836,178.727,0.018566160396164235
22,46.958,89.809,178.635,0.02025991733396754
23,50.0,89.94,178.705,0.02195423124544326
24,42.0,89.576,178.658,0.017498441866151432
25,74.292,90.446,178.604,0.035484235695662905
26,36.167,90.315,178.253,0.014249614434975275
27,21.042,90.079,178.549,0.0058253876397516575
28,36.458,90.506,178.48,0.014411693773647014
29,37.25,89.733,178.62,0.014852816922196907
30,54.25,89.441,178.508,0.024321369353192047
31,47.375,90.121,178.445,0.02049217535536313
32,40.375,89.818,178.48,0.016593359648482776
33,40.833,90.387,178.555,0.016848453590447236
34,68.417,89.766,178.486,0.03221201537024547
35,45.375,89.705,178.562,0.01937822801054017
36,45.125,89.71,178.585,0.0192389845924373
37,46.417,89.481,178.573,0.019958594577192932
38,35.917,89.998,178.598,0.014110371016872406
39,33.0,89.906,178.663,0.012485678814448122
40,53.875,89.676,178.524,0.02411250422603774
41,59.25,90.114,178.29,0.02710623771524944
42,70.833,89.746,178.413,0.033557663762791595
43,53.417,90.382,178.602,0.023857410284073285
44,45.542,89.35,178.562,0.01947124261383289
45,27.0,89.742,178.496,0.009143836779979249
46,25.583,89.852,178.507,0.008354605086172182
47,26.542,90.078,178.614,0.008888742838014791
48,33.708,90.427,178.362,0.012880016174515447
49,81.083,90.313,178.608,0.03926664390500926
50,63.875,89.567,178.576,0.029682240950152528
51,39.583,90.194,178.543,0.016152236499932887
52,39.625,89.602,178.566,0.01617562939417417
53,32.792,90.492,178.442,0.012369828290586535
54,76.542,90.14,178.338,0.03673742645858873
55,66.917,89.805,178.652,0.03137655486162825
56,108.458,89.857,178.548,0.05451379818727349
57,83.458,89.509,178.351,0.04058945637698652
58,39.917,89.978,178.49,0.01633826570651832
59,41.125,89.861,178.587,0.017011089902791387
60,43.333,90.44,178.683,0.018240887771475933
61,35.25,89.851,178.533,0.013738869577373948
62,49.958,89.611,178.547,0.02193083835120198
63,39.833,90.217,178.666,0.016291479918035756
64,59.417,89.92,178.664,0.027199252318542158
65,64.958,90.169,178.593,0.03028544343737416
66,59.417,90.099,178.486,0.027199252318542158
67,64.833,89.841,178.347,0.030215821728322725
68,80.208,89.691,178.612,0.03877929194164921
69,25.958,89.687,178.326,0.008563470213326485
70,66.5,89.877,178.481,0.031144296840232663
71,45.958,89.691,178.833,0.019702943661556064
72,58.667,90.17,178.563,0.026781522064233548
73,67.667,90.01,178.265,0.031794285115936856
74,61.333,89.935,178.484,0.02826641387488255
75,38.208,90.151,178.533,0.015386397700367102
76,53.75,90.486,178.713,0.024042882516986306
77,68.625,90.028,178.374,0.032327865894107057
78,55.083,90.116,178.651,0.024785328422310807
79,57.167,89.56,178.689,0.02594606155561633
80,89.292,89.484,178.699,0.04383884078183509
81,46.5,90.364,178.622,0.020004823392003084
82,33.917,89.637,178.605,0.012996423672049449
83,48.75,89.73,178.494,0.021258014154928912
84,40.583,89.748,178.588,0.016709210172344363
85,57.917,90.1,178.482,0.02636379180992494
86,52.125,89.807,178.624,0.023137800299317654
87,53.125,89.508,178.724,0.023694773971729133
88,73.125,89.854,178.756,0.034834247419958705
89,53.625,89.717,178.658,0.02397326080793487
90,48.833,89.938,178.562,0.021304242969739064
91,62.708,90.032,178.563,0.029032252674448332
92,61.708,89.952,178.779,0.028475279002036852
93,21.875,89.802,178.56,0.0062893467088704184
94,60.5,89.978,178.507,0.02780245480576379
95,55.542,89.995,178.454,0.025040979337947678
96,70.167,89.964,178.722,0.03318671929696555
97,81.375,90.156,178.599,0.03942928021735341
98,75.667,89.889,178.531,0.03625007449522869
99,66.542,89.773,178.438,0.031167689734473945
100,55.458,89.589,178.562,0.02499419354946511
101,72.583,89.986,178.524,0.034532367689511685
102,36.0,89.938,178.681,0.014156599831682559
103,58.042,89.846,178.659,0.026433413518976375
104,22.708,89.826,178.404,0.006753305777989179
105,84.792,90.01,178.463,0.04133245925598343
106,70.458,89.841,178.593,0.03334879863563729
107,35.125,90.152,178.566,0.013669247868322514
108,52.042,89.785,178.586,0.023091571484507502
109,66.333,89.9,178.471,0.031051282236939943
110,66.5,89.587,178.538,0.031144296840232663
111,62.25,90.196,178.449,0.028777158732483876
112,67.667,89.728,178.775,0.031794285115936856
113,49.625,89.928,178.652,0.021745366118288957
114,58.542,89.819,178.563,0.026711900355182113
115,79.208,89.988,178.557,0.038222318269237734
116,55.5,90.002,178.682,0.025017586443706396
117,39.333,90.234,178.655,0.016012993081830015
118,75.75,90.02,178.678,0.036296303310038844
119,70.667,90.111,178.167,0.0334652061331713
120,49.125,90.285,178.497,0.021466879282083216
121,28.125,89.729,178.515,0.009770432161442162
122,58.083,90.511,178.644,0.026456249439545245
123,74.875,90.333,178.551,0.035808951346678795
124,61.0,89.782,178.505,0.028080941641969528
125,58.5,89.777,178.562,0.02668850746094083
126,52.167,89.502,178.476,0.023161193193558936
127,50.167,89.911,178.694,0.022047245848735977
128,77.583,90.031,178.58,0.03731723605156908
129,63.833,90.031,178.551,0.029658848055911246
130,21.167,90.284,178.51,0.005895009348803093
131,78.917,89.551,178.597,0.038060238930565995
132,56.625,90.009,178.624,0.02564418182516931
133,48.625,90.023,178.542,0.021188392445877478
134,53.25,90.032,178.602,0.023764395680780568
135,56.083,89.762,178.493,0.025342302094722286
136,47.25,90.307,178.527,0.020422553646311695
137,63.25,90.045,178.4,0.029334132404895356
138,61.75,90.029,178.564,0.028498671896278138
139,66.625,90.05,178.441,0.031213918549284098
140,69.75,89.527,178.465,0.03295446127556997
141,69.667,90.047,178.744,0.032908232460759815
142,48.583,89.939,178.384,0.021164999551636195
143,43.625,89.798,178.755,0.018403524083820084
144,49.042,90.179,178.425,0.021420650467273067
145,51.125,89.835,178.673,0.022580826626906175
146,61.25,89.915,178.46,0.028220185060072397
147,67.292,89.981,178.594,0.03158541998878255
148,38.25,90.004,178.552,0.015409790594608385
149,44.708,89.847,178.428,0.019006726571041715
150,63.167,89.966,178.608,0.029287903590085203
151,71.708,89.971,178.426,0.034045015726151644
152,56.542,90.221,178.623,0.025597953010359158
153,44.958,90.177,178.61,0.019145969989144584
154,35.875,89.722,178.364,0.014086978122631122
155,68.0,89.948,178.649,0.03197975734884988
156,40.0,90.611,178.621,0.016384494521328473
157,46.542,89.579,178.434,0.02002821628624437
158,40.875,89.89,178.632,0.016871846484688518
159,45.792,90.234,178.509,0.01961048603193576
160,56.25,89.877,178.483,0.025435316698015003
161,30.0,90.03,178.508,0.010814757797213685
162,55.5,89.509,178.545,0.025017586443706396
163,92.625,89.861,178.354,0.04569523403198254
164,76.083,89.87,178.373,0.036481775542951865
165,58.417,89.942,178.367,0.02664227864613068
166,43.167,90.452,178.479,0.018148430141855628
167,34.958,89.735,178.468,0.013576233265029797
168,85.708,89.803,178.36,0.04184264713991234
169,50.958,89.972,178.479,0.022487812023613458
170,56.833,90.285,178.315,0.025760032349030893
171,57.167,90.068,178.323,0.02594606155561633
172,60.333,89.613,178.487,0.02770944020247107
173,63.042,89.465,178.585,0.02921828188103377
174,37.0,90.34,178.476,0.014713573504094036
175,66.542,90.045,178.652,0.031167689734473945
176,61.208,89.732,178.306,0.028196792165831115
177,74.708,89.86,178.511,0.03571593674338608
178,79.792,90.096,178.491,0.03854759089392604
179,73.375,90.098,178.293,0.03497349083806158
180,59.292,89.983,178.584,0.027129630609490724
181,62.875,89.863,178.335,0.029125267277741052
182,66.125,89.736,178.591,0.030935431713078356
183,47.417,89.916,178.392,0.02051556824960441
184,50.292,90.051,178.405,0.022116867557787415
185,43.417,89.632,178.376,0.018287673559958497
186,75.958,89.923,178.434,0.036412153833900424
187,63.0,90.325,178.411,0.029194888986792487
188,86.792,89.825,178.315,0.04244640660080639
189,59.25,90.124,178.511,0.02710623771524944
190,28.625,89.973,178.529,0.010048918997647902
191,60.5,89.989,178.339,0.02780245480576379
192,85.375,89.94,178.461,0.04165717490699932
193,38.458,89.866,178.453,0.015525641118469971
194,57.542,89.959,178.543,0.026154926682770634
195,55.458,90.36,178.514,0.02499419354946511
196,67.458,90.295,178.472,0.03167787761840286
197,113.0,89.854,178.496,0.05704357260736643
198,101.667,89.86,178.294,0.05073138997792714
199,59.375,89.957,178.393,0.027175859424300876
200,62.125,90.383,178.365,0.028707537023432442
201,32.208,90.007,178.383,0.012044555665898229
202,48.542,89.924,178.435,0.021142163631067325
203,73.333,89.852,178.391,0.03495009794382029
204,71.458,90.314,178.575,0.033905772308048775
205,47.583,90.078,178.435,0.020608025879224716
206,77.792,90.386,178.633,0.03743364354910308
207,61.792,90.137,178.442,0.02852206479051942
208,44.625,89.989,178.389,0.018960497756231563
209,44.875,90.099,178.6,0.019099741174334432
210,54.5,90.2,178.281,0.024460612771294916
211,57.625,89.601,178.507,0.026201155497580786
212,44.875,89.795,178.341,0.019099741174334432
213,40.125,89.696,178.373,0.016454116230379907
214,41.083,90.085,178.305,0.016987697008550105
215,53.75,90.036,178.321,0.024042882516986306
216,82.292,89.682,178.459,0.039940025074954734
217,62.875,90.115,178.471,0.029125267277741052
218,18.958,89.872,178.234,0.004664654506446134
219,85.167,90.053,178.306,0.041541324383137734
220,43.833,90.425,178.527,0.01851937460768167
221,33.0,89.761,178.277,0.012485678814448122
222,49.167,90.431,178.489,0.0214902721763245
223,52.292,89.718,178.597,0.02323081490261037
224,60.708,90.297,178.382,0.027918305329625377
225,31.167,90.017,178.151,0.011464746072917881
