 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35
345,363.316,109.416,166.527,217.767,106.327,160.412,518.048,100.055,153.689,86.381,108.160,214.391,193.710,100.618,145.529,168.433,106.164,151.888,50.164,93.276,193.087,373.091,112.559,162.450,125.575,94.626,115.460,192.562,134.829,171.386,216.476,102.452,210.278,193.621,92.236,159.815,272.208,87.115,158.401,134.000,123.708,168.518,553.294,107.230,156.940,159.227,123.548,160.504,61.706,117.826,160.962,167.621,97.550,160.520,211.742,126.690,171.346,158.118,113.572,218.287,282.541,117.668,173.734,298.139,118.020,167.971,168.591,89.941,153.238,120.500,65.720,101.486,164.595,129.962,174.143,51.773,57.486,103.957,478.083,69.426,97.605,25.615,134.837,177.770,113.750,124.937,151.886,61.375,95.283,150.180,253.290,99.097,149.929,21.167,127.371,177.908,240.562,129.148,168.841,54.583,130.347,161.286,118.200,112.135,151.512
346,344.734,109.250,166.457,211.567,106.232,160.199,554.762,100.168,153.703,84.857,108.164,214.396,235.362,100.633,145.477,178.667,106.141,151.816,37.967,93.167,193.364,421.045,112.739,162.387,124.450,94.409,115.377,164.750,135.056,171.402,176.476,102.253,210.378,219.448,92.255,159.808,293.417,87.030,158.431,157.611,123.728,168.749,720.647,107.286,156.919,85.773,123.594,160.496,42.294,117.610,160.780,212.828,97.555,160.363,208.258,126.630,171.238,126.353,113.515,218.359,386.973,117.681,173.887,351.389,118.180,167.960,181.636,90.094,153.261,196.733,65.513,101.391,129.676,130.032,174.166,47.409,57.361,104.023,466.083,69.407,97.617,13.769,134.808,178.169,91.125,124.593,151.754,85.375,95.182,150.491,180.968,99.070,149.877,63.556,127.391,178.285,208.188,129.161,168.818,86.458,130.343,160.796,22.200,112.220,151.512
347,340.911,109.424,166.578,178.200,106.122,160.342,193.333,100.017,153.790,127.381,108.106,214.436,209.333,100.827,145.544,166.033,106.180,151.813,42.230,93.254,193.296,382.955,112.668,162.471,55.725,94.501,115.517,129.938,134.799,171.430,205.952,102.225,210.308,181.862,92.163,159.857,257.167,87.088,158.644,104.444,123.801,168.520,371.118,107.200,156.901,88.364,123.369,160.487,22.706,118.288,160.691,238.103,97.678,160.281,167.161,126.704,171.426,87.824,113.478,218.339,308.649,117.721,173.782,391.500,118.039,167.994,200.818,90.000,153.552,196.133,65.769,101.450,116.865,130.023,174.209,56.682,57.150,104.165,442.583,69.325,97.738,19.846,135.132,177.934,81.625,124.639,151.920,61.000,95.317,150.147,242.839,99.107,149.960,52.000,127.665,177.878,130.625,129.025,168.521,93.792,130.095,161.251,75.600,112.168,151.382
348,309.747,109.422,166.467,163.600,106.357,160.337,90.333,99.900,153.729,100.714,108.164,214.020,232.435,100.682,145.559,168.967,106.095,152.030,45.148,93.165,193.636,414.091,112.627,162.386,12.950,94.546,116.466,124.438,134.828,171.373,165.667,102.199,210.313,132.345,92.246,159.839,287.125,87.089,158.530,107.778,123.520,168.495,330.412,107.235,157.027,101.045,123.406,160.498,108.471,117.916,160.835,191.897,97.675,160.401,223.677,126.923,171.365,99.471,113.418,218.226,243.351,117.737,173.666,348.306,118.110,168.033,151.318,90.171,153.436,168.233,65.676,101.464,146.162,130.040,174.387,51.864,56.892,103.758,440.917,69.351,97.694,12.769,135.134,178.216,107.188,124.769,152.045,135.000,95.569,150.442,214.065,98.918,149.944,50.222,127.496,178.070,154.688,129.144,168.732,57.625,130.452,160.910,73.100,112.203,151.548
349,353.772,109.363,166.464,198.167,106.264,160.482,128.190,99.841,153.828,126.286,108.286,214.160,216.261,100.539,145.503,159.133,106.177,151.869,51.803,93.404,193.328,326.909,112.571,162.468,32.200,94.595,115.821,138.812,134.759,171.492,167.667,102.293,210.321,158.172,92.290,159.480,308.083,87.189,158.476,126.889,123.710,168.540,354.000,107.286,157.113,104.864,123.396,160.236,90.529,117.926,160.946,184.276,97.597,160.464,103.097,126.502,171.499,125.059,113.616,218.414,365.946,117.581,173.650,342.361,118.146,168.153,226.591,90.082,153.461,209.133,65.616,101.582,116.000,129.959,174.357,101.591,57.015,104.120,401.542,69.494,97.654,22.923,135.239,178.281,1295.000,124.751,151.875,72.625,95.248,150.283,187.097,99.024,150.003,55.222,127.685,178.118,125.125,129.094,168.737,89.875,130.259,161.237,43.300,112.249,151.903
350,375.089,109.443,166.501,177.300,106.342,160.353,102.238,99.873,153.711,115.762,108.102,214.369,223.362,100.617,145.470,210.967,106.281,151.646,47.443,93.500,193.251,397.818,112.728,162.469,15.125,94.781,115.661,204.438,134.909,171.449,182.762,102.267,210.435,185.241,92.213,159.852,292.667,86.912,158.437,147.444,123.623,168.557,343.706,107.347,156.998,118.364,123.288,160.357,95.647,117.832,160.706,167.345,97.429,160.291,188.516,126.559,171.408,101.059,113.474,218.188,287.351,117.644,173.723,375.000,118.050,168.064,192.409,90.135,153.264,193.533,65.475,101.582,114.324,130.061,174.329,63.909,56.969,104.039,539.083,69.517,97.583,47.846,134.551,177.873,435.875,124.739,151.927,82.500,95.286,150.309,221.484,99.208,149.734,11.944,127.445,178.099,127.500,129.105,168.620,67.917,129.981,160.900,113.200,112.140,151.648
351,287.139,109.452,166.508,177.433,106.456,160.456,101.143,99.932,153.803,126.667,108.264,214.362,258.928,100.793,145.466,240.833,106.037,151.770,58.787,93.060,193.138,404.227,112.572,162.330,31.700,94.606,115.492,179.438,135.038,171.458,167.333,102.231,210.318,162.034,92.131,159.760,353.250,87.117,158.320,143.889,123.608,168.535,293.000,107.243,156.951,122.636,123.610,160.422,70.706,118.048,160.833,238.931,97.562,160.530,242.129,126.546,171.156,87.118,113.608,218.375,267.297,117.561,173.716,352.444,117.948,168.013,179.318,89.863,153.543,169.867,65.775,101.567,97.514,130.040,174.373,39.091,56.588,103.975,429.500,69.482,97.650,25.692,134.917,178.072,1121.062,124.786,151.849,86.125,95.082,150.319,158.839,99.109,149.984,21.778,127.557,178.221,194.500,129.068,168.769,100.833,129.979,160.713,88.000,112.187,151.356
352,298.785,109.332,166.553,203.767,106.318,160.374,99.571,100.034,153.821,127.333,108.123,214.198,212.638,100.649,145.484,189.833,105.949,151.754,54.787,93.258,193.286,413.364,112.668,162.445,21.925,94.563,115.202,210.750,134.943,171.439,156.000,102.292,210.459,192.138,92.157,160.004,213.875,87.126,158.560,143.389,123.728,168.236,303.471,107.252,157.054,92.136,123.307,160.661,74.647,117.497,160.764,179.586,97.600,160.366,197.097,126.703,171.184,78.059,113.387,218.272,286.216,117.704,173.783,254.917,118.038,168.170,204.818,90.019,153.349,140.567,65.989,101.729,125.838,130.012,174.273,116.182,56.817,104.173,421.333,69.463,97.703,20.385,135.055,177.962,1243.125,124.811,151.918,42.375,95.489,150.275,269.355,99.016,149.839,52.167,127.569,178.074,171.562,129.090,168.713,71.458,130.170,161.260,120.500,112.261,151.633
353,287.949,109.541,166.382,183.100,106.321,160.344,92.286,99.849,153.734,162.238,108.130,214.534,225.971,100.868,145.514,182.233,105.979,151.757,38.033,93.206,193.457,346.182,112.614,162.315,23.925,94.479,116.243,137.812,134.881,171.389,194.095,102.336,210.315,176.724,92.263,160.013,366.875,87.165,158.405,117.111,123.649,168.600,292.824,107.277,157.042,84.364,123.489,160.331,62.471,118.004,160.929,166.138,97.502,160.450,191.677,126.675,171.336,100.588,113.381,218.394,332.054,117.642,173.729,316.611,118.048,168.036,214.045,90.118,153.212,164.667,65.715,101.497,111.459,130.009,174.315,49.000,57.170,104.028,448.750,69.482,97.594,27.462,135.133,178.161,636.688,124.813,151.779,99.000,95.345,150.376,215.419,99.102,149.832,86.611,127.418,178.116,201.938,129.003,168.676,90.167,130.010,161.066,85.900,112.164,151.490
354,296.076,109.425,166.481,210.300,106.309,160.432,123.905,99.804,153.625,259.190,108.164,214.355,259.014,100.724,145.482,226.900,106.009,151.761,24.885,93.458,193.430,377.682,112.645,162.315,16.800,94.598,115.772,201.938,134.851,171.467,203.190,102.279,210.379,165.483,92.246,159.736,309.167,87.114,158.235,125.278,123.658,168.490,291.706,107.357,156.959,118.818,123.278,160.498,47.412,117.574,161.013,166.276,97.548,160.204,212.323,126.777,171.462,117.647,113.372,218.323,209.892,117.778,173.712,384.667,118.069,168.042,141.045,89.883,153.500,132.767,65.739,101.548,99.459,130.136,174.234,83.091,56.947,104.151,417.750,69.309,97.621,17.077,134.772,178.074,796.750,124.762,151.875,46.875,95.516,150.255,212.258,99.021,149.922,72.833,127.323,178.412,225.188,129.164,168.705,108.583,130.022,161.043,104.000,112.249,151.631
