,index,min_intensity,max_intensity,mean_intensity,normalized_mean,median_intensity,normalized_median,0.9_quantile,normalized_0.9_quantile
0,mean_intensity,17.0,3144.125,243.52041666666668,0.07243727598566309,149.4375,0.04235120118319543,319.1,0.09660630771075669
1,mean_intensity,92.125,3984.438,402.3739616666666,0.0797081225653401,292.75,0.051543902044876654,401.6125,0.079512490388106
2,mean_intensity,258.571,4095.0,697.7954983333333,0.11448784750958071,519.5715,0.06803214656129436,683.6287,0.11079514308749099
3,mean_intensity,220.471,4095.0,701.771665,0.1242217221757793,521.0,0.07756529890471849,741.1649,0.13438895411545507
4,mean_intensity,148.667,4031.19,447.58183,0.07698984139952295,378.5715,0.05921523195097621,509.19059999999996,0.09285807192900081
5,mean_intensity,0.4,1187.6,98.46333333333334,0.08260051662174304,45.3,0.037820080862533696,156.50000000000003,0.13148584905660382
6,mean_intensity,30.065,1755.226,120.74515,0.05256329699083158,85.61250000000001,0.032198444087247514,140.69670000000002,0.06412833352945031
7,mean_intensity,3.938,854.5,74.98469166666668,0.08352911565137718,38.0935,0.040156390715785556,87.837,0.09863948777396592
8,mean_intensity,0.194,121.806,24.021280833333332,0.1959286980999682,14.8065,0.12015672795447817,58.8519,0.4823364470611453
9,mean_intensity,0.938,551.5,42.1988525,0.07494315354129054,23.375,0.04075290339689263,58.999600000000044,0.10545878574983387
10,mean_intensity,133.154,3620.231,492.94808999999987,0.10317927880571603,268.692,0.03886865704428093,1273.4539000000009,0.3270073760917814
11,mean_intensity,0.5,1201.167,76.73597666666666,0.06349468809142474,39.5,0.03248194545198627,110.03330000000001,0.09122704296861663
12,mean_intensity,0.682,663.364,34.50855666666667,0.051044930549896735,21.568,0.031517379376533546,60.3685,0.09006808695573441
13,mean_intensity,0.162,532.432,34.799385,0.06507483983692487,19.4865,0.0363058222330772,50.064900000000016,0.09375486125462644
14,mean_intensity,3.167,1812.167,142.75973000000002,0.07716568822553899,76.833,0.04072194582642344,168.93300000000002,0.09163405196241019
15,mean_intensity,0.857,935.143,45.374606666666665,0.04764879990352704,35.524,0.037105340334758305,71.45750000000001,0.07556626129472133
16,mean_intensity,1.308,736.769,80.45538499999999,0.10761601906831224,42.653999999999996,0.056217800807928625,202.9461,0.274165591377381
17,mean_intensity,17.333,4034.542,324.465885,0.0764542957560834,223.625,0.05135207055445709,410.0586,0.09776080856136686
18,mean_intensity,338.312,4095.0,709.6303733333333,0.09884195156300797,543.625,0.054652662132176,713.9875000000001,0.10000178348587907
