 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
306,146.000,53.338,132.608,374.625,31.956,90.042,96.762,99.385,121.571,479.000,48.816,185.102,191.400,60.733,133.641,117.000,59.511,64.921,478.000,62.625,105.727,79.750,75.330,175.466,165.294,73.936,77.055,93.500,56.493,57.580,355.500,77.165,126.111,392.000,39.835,138.879,396.353,57.036,103.609,369.750,29.104,131.622,276.762,34.863,113.601,214.571,56.563,120.381,346.000,58.557,82.426,206.200,65.755,82.165,306.143,52.110,81.033,251.083,93.920,102.871,59.167,100.013,101.550,93.900,47.237,114.690,212.545,45.074,137.517,67.385,100.652,107.875,365.375,54.284,187.259,324.625,13.963,160.169,475.875,20.451,157.495,68.800,76.145,85.744,46.200,77.858,149.985,178.857,28.253,169.721,240.200,18.954,170.791,157.667,52.604,116.452,124.000,87.492,121.676,468.286,29.387,127.262,102.909,91.298,98.606,118.429,85.986,105.993,741.000,35.226,132.693,75.250,49.581,135.726,414.250,68.638,78.674,393.125,64.135,62.226,492.833,73.968,122.126,311.111,41.278,108.347,338.500,61.110,75.883,147.556,36.214,176.942,188.357,36.520,88.901,115.583,71.599,147.723,672.000,67.863,117.503,293.250,36.522,83.450,78.545,47.187,86.899,204.600,73.789,169.603,93.375,69.770,141.823,522.222,39.791,134.436
307,336.500,53.252,132.567,370.500,31.860,90.084,387.524,99.318,121.573,467.500,48.832,185.064,128.700,60.726,133.495,143.875,59.479,64.950,534.000,62.662,105.706,136.250,75.400,175.503,271.882,73.881,77.020,204.100,56.412,57.649,333.750,77.182,126.106,136.000,39.835,138.326,355.529,57.040,103.665,386.625,29.183,131.633,111.619,34.938,113.474,262.000,56.579,120.430,291.900,58.591,82.487,192.000,65.747,82.255,334.143,52.160,81.062,172.500,93.882,103.027,75.333,99.641,101.621,120.900,47.279,114.636,194.364,45.078,137.517,92.308,100.574,107.962,277.812,54.186,187.285,240.625,13.990,160.143,282.875,20.316,157.562,99.600,75.996,85.628,100.900,78.022,149.970,94.143,28.295,169.852,206.700,18.991,170.848,162.000,52.749,116.605,245.625,87.407,121.604,383.048,29.373,127.385,97.636,91.164,98.688,92.714,86.045,105.832,603.250,35.174,132.656,87.250,49.497,135.784,377.750,68.696,78.710,598.750,64.142,62.238,402.500,74.098,122.097,229.778,41.365,108.389,205.750,61.082,75.918,95.778,36.216,176.964,298.714,36.530,88.627,122.833,71.741,147.455,467.250,67.893,117.542,357.000,36.556,83.394,76.364,47.268,86.995,145.000,73.855,169.426,118.500,69.816,141.925,391.111,39.781,134.419
308,209.000,53.305,132.510,387.125,32.032,90.038,307.619,99.418,121.643,427.000,48.814,185.154,201.100,60.778,133.564,99.250,59.429,65.036,608.667,62.677,105.751,72.250,75.459,175.157,224.000,73.981,76.887,126.600,56.430,57.675,295.750,77.157,126.202,305.600,39.835,138.681,356.176,56.931,103.570,292.000,29.175,131.657,134.571,34.877,113.598,210.762,56.558,120.416,286.000,58.518,82.440,112.500,65.609,82.256,215.857,52.069,81.105,180.500,93.923,103.030,62.167,99.844,101.907,165.600,47.232,114.732,211.091,45.124,137.593,55.308,100.519,107.817,311.250,54.303,187.191,379.375,13.991,160.092,169.562,20.602,157.497,126.600,75.894,85.720,89.500,77.908,150.036,105.000,28.252,169.967,282.000,18.912,170.820,153.833,52.796,116.585,235.625,87.319,121.671,339.524,29.389,127.212,132.909,91.360,98.749,116.143,86.107,106.112,492.875,35.235,132.678,166.250,49.462,135.867,558.000,68.628,78.780,502.000,64.129,62.171,346.167,74.091,122.162,393.556,41.396,108.313,234.250,61.023,75.843,114.000,36.127,176.916,269.071,36.556,88.787,111.500,71.538,147.708,427.750,67.867,117.477,335.250,36.698,83.363,76.545,47.332,86.853,156.600,73.763,169.630,84.375,69.805,141.692,305.556,39.790,134.397
309,224.000,53.326,132.615,336.250,31.963,90.034,377.810,99.433,121.715,598.000,48.820,185.112,167.100,60.816,133.637,130.125,59.580,65.079,472.667,62.608,105.757,59.250,75.371,175.529,175.294,73.890,76.788,173.300,56.337,57.611,267.750,77.166,126.030,256.000,39.835,138.586,412.118,57.018,103.733,354.625,29.197,131.572,121.238,34.806,113.609,225.619,56.566,120.510,293.300,58.570,82.422,178.700,65.729,82.249,274.000,52.005,81.131,154.333,93.858,102.769,113.500,99.858,101.598,136.900,47.148,114.848,119.273,45.038,137.431,70.308,100.532,107.767,332.312,54.235,187.305,234.000,14.045,160.068,216.000,20.406,157.627,116.300,75.858,85.654,94.000,77.826,149.954,79.143,28.218,170.007,355.500,18.924,170.800,167.000,52.756,116.481,253.625,87.409,121.699,391.714,29.368,127.298,156.182,91.457,98.784,83.571,85.949,106.258,343.875,35.179,132.733,117.500,49.551,135.689,478.000,68.658,78.829,577.375,64.196,62.213,431.500,74.111,122.153,436.667,41.324,108.296,246.500,61.062,75.961,78.889,36.015,176.842,213.857,36.525,88.985,116.750,71.448,147.700,417.250,67.906,117.568,346.500,36.679,83.426,67.091,47.201,86.979,58.000,73.697,169.625,76.625,69.814,141.852,386.222,39.727,134.407
310,302.750,53.310,132.538,415.375,31.954,90.085,435.333,99.407,121.653,622.750,48.841,185.097,205.000,60.810,133.614,104.625,59.488,64.861,511.000,62.612,105.698,118.750,75.405,175.387,239.412,73.932,76.764,246.500,56.352,57.683,358.250,77.168,126.178,216.000,39.835,138.858,383.412,57.056,103.645,250.125,29.091,131.561,174.381,34.812,113.631,243.524,56.582,120.398,325.100,58.531,82.455,183.200,65.680,82.222,283.714,52.076,81.092,165.417,93.976,103.053,69.833,99.921,101.725,152.600,47.253,114.642,222.909,45.046,137.348,69.077,100.538,107.751,376.312,54.280,187.334,287.750,14.012,160.312,245.938,20.332,157.530,118.000,75.949,85.776,133.000,77.909,150.167,130.000,28.338,169.796,280.100,18.869,170.865,77.333,52.906,116.643,212.500,87.443,121.779,252.286,29.344,127.347,136.182,91.318,98.664,142.286,86.090,106.153,317.000,35.249,132.638,136.250,49.444,135.925,457.500,68.708,78.699,466.125,64.160,62.231,267.500,74.102,122.126,334.889,41.357,108.303,532.500,61.111,75.968,159.111,36.054,176.893,197.857,36.502,88.875,89.083,71.588,147.574,497.250,67.890,117.524,287.250,36.718,83.431,94.182,47.271,87.053,229.400,73.781,169.713,130.750,69.775,141.959,265.333,39.813,134.417
311,290.000,53.354,132.512,359.625,31.912,90.042,230.571,99.358,121.775,584.000,48.824,185.099,204.800,60.701,133.529,43.625,59.552,65.050,602.833,62.635,105.777,69.000,75.467,175.461,181.294,73.988,76.942,118.900,56.370,57.686,357.750,77.187,126.093,293.600,39.835,138.745,362.059,56.980,103.755,290.125,29.275,131.565,100.952,34.815,113.820,200.667,56.652,120.351,309.700,58.550,82.498,182.700,65.738,82.262,227.000,52.102,81.068,204.167,94.000,102.933,66.500,99.730,101.628,80.300,47.218,114.623,148.000,45.074,137.476,85.462,100.574,107.894,390.500,54.316,187.263,328.250,13.963,160.172,217.562,20.428,157.535,137.200,75.920,85.650,87.200,77.692,150.112,92.143,28.380,169.815,248.200,18.900,170.822,155.167,52.609,116.542,170.875,87.415,121.752,220.286,29.262,127.256,118.545,91.280,98.611,101.857,86.021,105.940,269.125,35.200,132.680,84.000,49.410,135.774,270.500,68.675,78.675,620.250,64.186,62.215,334.167,74.168,122.147,242.889,41.358,108.331,837.250,61.064,75.940,149.778,36.082,177.023,198.143,36.461,88.844,148.167,71.633,147.661,371.750,67.892,117.508,256.500,36.530,83.396,156.909,47.256,86.990,84.800,73.798,169.849,90.625,69.673,141.777,282.667,39.812,134.414
312,259.500,53.348,132.504,374.250,31.912,90.014,240.952,99.411,121.744,333.250,48.890,185.103,258.900,60.771,133.498,145.875,59.491,64.909,475.667,62.678,105.668,63.250,75.497,175.604,174.588,73.912,77.039,149.300,56.501,57.580,275.250,77.179,126.145,200.000,39.835,138.824,391.176,57.021,103.646,226.125,29.170,131.543,121.429,34.882,113.697,256.667,56.568,120.476,305.500,58.564,82.421,131.700,65.734,82.076,126.714,52.092,81.082,179.333,93.925,103.001,78.833,99.765,101.694,99.300,47.036,114.933,186.182,45.150,137.563,89.538,100.500,108.015,398.688,54.313,187.197,279.625,13.996,160.206,192.312,20.421,157.489,113.900,75.992,85.597,73.600,77.813,150.008,122.714,28.536,169.832,218.700,18.926,170.720,152.833,52.538,116.479,156.875,87.469,121.881,281.619,29.337,127.230,133.091,91.220,98.720,140.000,86.000,106.115,190.625,35.177,132.560,129.000,49.429,135.930,424.500,68.702,78.693,341.625,64.154,62.223,362.333,74.059,122.166,384.667,41.498,108.367,1205.000,61.083,75.989,118.667,35.886,176.871,206.357,36.552,88.877,154.250,71.468,147.722,574.250,67.891,117.549,345.500,36.624,83.374,52.545,47.130,86.972,108.400,73.849,169.519,86.250,69.900,141.576,209.556,39.797,134.399
313,242.500,53.255,132.643,403.875,31.937,90.045,229.143,99.406,121.575,550.000,48.806,185.104,215.600,60.860,133.504,47.000,59.662,65.075,596.333,62.631,105.712,118.250,75.465,175.513,202.000,73.922,76.940,200.600,56.434,57.620,350.750,77.215,126.078,425.200,39.835,138.842,374.824,57.039,103.664,180.000,29.128,131.556,134.667,34.711,113.463,222.476,56.570,120.544,291.000,58.543,82.492,265.100,65.649,82.085,293.571,52.057,81.084,166.417,93.990,102.921,99.667,99.865,101.643,66.300,47.169,114.540,214.364,45.083,137.534,75.769,100.651,107.917,341.000,54.317,187.279,316.750,13.965,160.192,209.562,20.544,157.593,73.200,75.876,85.658,94.900,77.784,150.177,85.000,28.414,170.120,245.000,18.945,170.762,197.000,52.751,116.604,147.375,87.402,121.621,245.524,29.143,127.275,250.727,91.346,98.786,117.571,86.000,106.220,189.000,35.181,132.731,84.250,49.428,135.869,323.750,68.612,78.796,537.625,64.251,62.194,390.167,74.062,122.215,222.222,41.383,108.261,882.250,61.036,75.910,130.667,36.032,176.911,214.429,36.538,88.897,98.250,71.612,147.877,413.500,67.866,117.457,309.500,36.595,83.383,126.727,47.172,86.955,110.200,73.804,169.892,130.375,69.770,141.706,257.111,39.899,134.407
314,265.250,53.330,132.625,299.125,31.945,90.133,289.524,99.413,121.584,409.500,48.876,185.110,275.100,60.712,133.608,148.750,59.444,64.939,486.333,62.690,105.764,99.750,75.464,175.435,176.000,73.878,77.043,204.800,56.369,57.560,303.750,77.147,126.209,417.600,39.835,138.805,371.412,56.915,103.608,244.750,29.155,131.524,164.381,34.829,113.582,304.286,56.504,120.346,272.200,58.569,82.484,368.300,65.720,82.084,197.000,51.982,81.129,135.833,94.002,102.947,75.333,99.953,101.619,155.900,47.219,114.654,190.909,45.080,137.373,45.231,100.617,108.077,416.688,54.177,187.225,266.500,13.916,160.169,179.188,20.337,157.459,106.700,75.975,85.635,103.200,77.839,150.173,142.143,28.444,169.725,234.100,18.915,170.906,121.167,52.724,116.628,304.000,87.389,121.636,227.333,29.313,127.258,122.909,91.367,98.706,121.286,86.093,106.106,216.625,35.259,132.671,106.750,49.558,135.780,541.000,68.698,78.836,527.125,64.181,62.239,338.333,74.075,122.129,252.000,41.348,108.336,472.250,61.014,75.956,124.222,36.184,176.790,199.357,36.573,88.887,127.667,71.662,147.812,448.000,67.893,117.580,684.250,36.584,83.375,79.636,47.409,87.077,107.200,73.772,169.847,136.000,69.700,141.753,270.667,39.831,134.421
315,271.750,53.279,132.578,377.625,31.892,90.088,240.476,99.429,121.756,476.750,48.846,185.068,220.000,60.836,133.578,64.500,59.370,64.796,489.833,62.574,105.718,85.500,75.490,175.632,162.353,73.843,76.988,121.400,56.375,57.531,427.500,77.177,126.126,439.600,39.835,138.680,374.353,57.071,103.558,291.375,29.121,131.528,221.905,34.833,113.612,242.190,56.646,120.494,290.000,58.501,82.439,533.800,65.680,82.169,242.857,51.969,80.958,179.250,93.997,103.033,137.833,99.892,101.676,124.900,47.210,114.752,194.000,45.097,137.436,86.385,100.609,108.067,715.188,54.241,187.243,213.250,13.957,160.294,212.875,20.470,157.432,81.500,75.954,85.679,52.400,77.870,149.544,103.857,28.322,169.912,219.900,18.933,170.849,160.000,52.716,116.622,275.500,87.547,121.685,173.714,29.316,127.158,103.818,91.311,98.645,98.714,85.981,105.998,134.500,35.254,132.705,120.250,49.462,135.743,201.000,68.670,78.677,465.875,64.132,62.324,320.333,74.076,122.082,203.333,41.465,108.389,382.750,61.071,75.931,126.889,36.054,176.746,229.214,36.461,88.745,64.833,71.643,147.488,401.500,67.879,117.463,502.750,36.618,83.370,54.182,47.239,87.127,185.400,73.782,169.852,85.250,69.608,141.896,203.111,39.838,134.376
