 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32
527,289.000,36.796,87.264,59.000,39.920,45.045,705.000,46.616,33.471,396.500,50.822,48.142,129.455,58.430,57.925,194.900,51.464,76.881,134.500,55.018,49.840,920.750,60.249,44.027,425.000,39.695,67.141,741.000,48.717,65.536,283.500,56.353,45.624,281.818,51.607,88.636,302.222,48.542,86.283,501.571,45.412,96.094,696.889,44.186,68.641,215.500,39.731,72.318,82.000,34.712,69.043,197.556,60.592,81.292,82.250,54.490,80.331,109.455,60.958,48.832,138.250,65.207,43.227,101.810,61.798,40.356,286.500,55.575,104.318,133.000,57.965,77.488,232.333,47.038,39.025,177.500,44.935,100.780,503.500,51.308,98.615,93.250,63.688,52.308,340.375,62.047,76.726,156.000,55.933,65.692,119.500,32.723,74.262,508.000,53.750,26.804
528,288.000,36.887,87.260,69.500,39.744,44.989,832.667,46.563,33.493,460.000,50.848,48.006,153.091,58.582,57.956,129.300,51.404,76.857,287.750,54.962,49.968,974.375,60.322,44.062,473.667,39.719,67.110,622.500,48.691,65.550,372.250,56.327,45.521,184.182,51.646,88.954,288.889,48.525,86.399,497.857,45.375,96.120,813.111,44.143,68.740,125.500,39.805,72.405,162.333,34.658,68.913,299.333,60.688,81.312,238.500,54.590,80.369,235.818,61.372,48.843,60.000,65.367,43.399,115.143,61.828,40.172,118.500,55.375,104.290,318.800,57.946,77.687,125.000,47.007,39.020,321.833,44.922,100.683,634.250,51.300,98.585,117.875,63.635,52.252,417.750,62.007,76.633,237.500,55.931,65.883,163.500,32.601,74.297,667.111,53.804,26.796
529,209.750,36.869,87.312,121.750,39.885,44.954,478.667,46.571,33.454,279.750,50.845,48.070,166.545,58.471,58.028,151.100,51.516,77.031,153.250,55.127,49.801,802.250,60.306,43.984,451.000,39.646,67.121,678.000,48.695,65.570,323.750,56.292,45.534,269.818,51.588,88.797,154.444,48.527,86.355,471.143,45.409,96.232,683.556,44.098,68.669,173.750,39.504,72.350,117.000,34.712,68.794,161.111,60.610,81.367,355.250,54.575,80.516,154.545,61.305,48.876,55.750,65.255,43.152,86.381,61.842,40.295,230.500,55.514,104.334,221.600,58.002,77.597,182.333,47.227,39.098,325.167,44.843,100.806,592.500,51.241,98.665,120.125,63.700,52.298,485.125,62.046,76.773,162.750,55.969,65.851,178.750,32.452,74.314,684.000,53.794,26.860
530,237.750,36.845,87.337,46.500,40.040,44.795,691.000,46.668,33.440,217.250,50.887,47.963,115.818,58.423,58.330,159.700,51.502,76.907,154.750,54.998,49.879,852.000,60.378,44.073,795.333,39.684,67.236,496.000,48.752,65.468,276.250,56.312,45.501,227.636,51.660,88.816,258.222,48.632,86.407,412.143,45.421,96.170,686.889,44.133,68.643,95.000,39.725,72.193,124.000,34.704,69.142,222.000,60.565,81.381,180.000,54.626,80.548,125.455,61.192,48.850,51.750,65.243,43.294,136.095,61.833,40.145,213.500,55.475,104.253,161.000,57.920,77.787,233.833,47.184,38.983,210.333,44.938,100.594,660.250,51.366,98.649,170.125,63.644,52.365,413.375,61.964,76.660,242.000,55.960,65.753,96.000,32.456,74.276,641.556,53.818,26.821
531,292.500,36.807,87.313,0.000,NaN,NaN,753.667,46.646,33.507,333.000,50.844,48.172,160.727,58.537,58.021,115.800,51.472,76.796,380.500,55.056,49.917,952.000,60.305,44.009,511.333,39.666,67.147,608.500,48.763,65.540,376.000,56.223,45.575,227.091,51.669,88.849,226.667,48.462,86.305,364.429,45.386,96.112,866.000,44.216,68.688,89.500,39.781,72.310,115.000,34.736,69.087,168.222,60.539,81.350,156.500,54.589,80.321,209.455,61.277,48.808,71.750,64.957,43.021,90.476,61.915,40.187,220.250,55.493,104.353,180.800,57.980,77.694,214.667,47.111,39.133,353.667,44.857,100.624,629.750,51.264,98.608,79.750,63.501,52.265,376.250,61.900,76.703,205.750,55.913,65.625,98.500,32.571,74.144,803.778,53.803,26.791
532,272.000,36.897,87.348,93.000,39.738,44.815,691.333,46.697,33.445,263.250,50.842,48.100,98.182,58.477,58.161,123.800,51.346,77.065,360.250,54.958,49.917,866.625,60.340,44.048,491.333,39.661,67.173,627.750,48.733,65.530,342.750,56.300,45.596,212.182,51.562,88.738,221.333,48.464,86.313,468.857,45.413,96.128,843.333,44.182,68.728,97.250,39.694,72.316,111.000,34.659,68.773,236.667,60.575,81.493,186.750,54.560,80.446,111.636,61.199,48.866,138.000,65.065,43.055,119.619,61.632,40.149,291.250,55.529,104.243,91.600,57.931,77.532,222.000,47.118,39.032,431.333,44.887,100.733,561.750,51.338,98.605,77.000,63.685,52.329,428.375,61.989,76.710,53.500,55.952,65.784,214.750,32.638,74.222,757.778,53.804,26.840
533,409.000,36.845,87.227,28.250,39.734,45.006,569.667,46.660,33.467,322.000,50.815,48.054,145.636,58.396,58.044,97.300,51.379,76.966,265.000,54.896,49.904,833.875,60.289,44.038,380.333,39.666,67.103,715.750,48.731,65.559,405.750,56.267,45.573,243.091,51.596,88.858,262.444,48.496,86.290,472.143,45.466,96.126,834.000,44.176,68.723,85.750,39.580,72.287,274.333,34.764,68.840,221.333,60.636,81.408,255.750,54.484,80.442,155.273,61.074,48.847,63.000,65.243,43.245,55.238,61.941,40.231,206.250,55.543,104.233,250.000,58.026,77.501,149.167,47.217,39.009,328.333,44.902,100.665,549.500,51.320,98.596,173.250,63.669,52.271,490.875,62.008,76.704,211.250,55.945,65.824,205.250,32.616,74.305,659.111,53.734,26.874
534,284.750,36.857,87.253,26.000,40.068,45.168,668.000,46.634,33.497,383.500,50.858,48.112,83.818,58.346,58.078,62.300,51.327,76.788,129.250,54.997,49.797,1010.000,60.298,44.039,358.333,39.719,67.081,600.500,48.674,65.548,191.750,56.276,45.558,262.182,51.537,88.832,174.222,48.603,86.441,505.714,45.423,96.121,802.222,44.179,68.695,67.250,39.516,72.473,97.333,34.753,69.014,161.333,60.716,81.405,195.000,54.682,80.431,128.545,61.286,48.718,116.750,65.128,43.236,76.667,61.850,40.200,263.750,55.455,104.313,141.400,57.948,77.750,283.333,47.116,39.059,353.167,44.869,100.826,597.750,51.325,98.626,142.750,63.530,52.608,433.375,62.003,76.721,127.500,55.796,65.667,62.750,32.315,74.180,611.333,53.809,26.786
535,215.250,36.867,87.331,31.750,39.625,44.800,579.000,46.719,33.463,442.750,50.910,48.213,104.727,58.475,58.166,160.600,51.626,76.976,230.000,55.184,49.922,1147.125,60.288,44.068,442.667,39.718,67.064,402.750,48.637,65.575,405.500,56.180,45.615,286.182,51.665,88.799,236.444,48.460,86.462,417.571,45.402,96.135,922.000,44.189,68.667,171.250,39.823,72.312,128.667,34.695,69.121,176.222,60.516,81.397,215.000,54.572,80.464,156.909,61.066,48.769,11.000,65.368,43.245,78.095,62.040,40.347,298.750,55.383,104.302,181.200,57.947,77.632,250.667,47.082,39.077,386.667,44.939,100.682,705.750,51.299,98.562,131.750,63.854,52.408,340.875,61.939,76.649,202.750,55.949,65.640,95.500,32.563,74.217,624.000,53.784,26.843
536,316.000,36.905,87.280,33.750,39.934,45.105,619.000,46.655,33.461,371.750,50.870,48.219,129.818,58.492,58.308,96.900,51.353,76.891,167.000,54.941,49.950,697.750,60.331,44.038,400.667,39.657,67.040,883.250,48.683,65.548,197.000,56.311,45.524,267.636,51.619,88.768,134.222,48.557,86.216,460.857,45.440,96.184,1154.667,44.098,68.566,131.000,39.793,72.300,187.333,34.783,68.997,175.111,60.480,81.430,233.750,54.574,80.503,149.091,61.063,48.758,68.750,65.080,43.245,56.095,61.723,40.281,335.750,55.401,104.323,314.200,58.005,77.492,179.333,47.051,39.060,358.833,44.985,100.750,627.750,51.253,98.567,78.000,63.717,52.318,448.750,61.936,76.735,140.500,55.899,65.713,152.250,32.463,74.311,594.889,53.762,26.836
537,348.500,36.842,87.262,62.000,39.835,45.185,589.000,46.630,33.497,402.500,50.872,48.128,155.818,58.570,58.270,132.100,51.474,76.748,155.250,54.977,49.822,679.000,60.273,44.080,307.667,39.694,67.112,614.000,48.761,65.538,183.750,56.252,45.500,198.909,51.635,88.781,176.444,48.519,86.332,483.143,45.367,96.009,1083.556,44.189,68.706,72.250,39.707,72.340,62.000,34.742,69.025,197.556,60.588,81.446,290.500,54.539,80.535,148.727,61.164,48.776,125.250,65.212,43.241,38.286,61.941,40.096,239.500,55.443,104.376,185.200,58.013,77.795,237.167,47.188,38.979,317.000,44.963,100.720,510.750,51.324,98.627,97.750,63.743,52.468,434.750,61.909,76.763,158.500,55.849,65.715,112.750,32.580,74.488,784.000,53.752,26.849
538,311.000,36.963,87.254,85.500,39.900,45.048,667.667,46.619,33.501,303.750,50.822,48.102,71.636,58.448,57.913,127.400,51.499,76.807,224.750,54.928,49.932,876.000,60.280,44.024,545.333,39.676,67.075,593.500,48.633,65.508,281.750,56.206,45.592,285.091,51.577,88.820,296.000,48.498,86.289,422.857,45.386,96.096,967.556,44.139,68.671,136.000,39.823,72.397,164.333,34.683,68.915,204.889,60.592,81.164,133.000,54.605,80.472,115.455,61.458,48.945,38.500,65.255,43.332,61.048,62.187,40.088,264.250,55.597,104.414,220.800,57.960,77.591,219.000,47.164,39.012,324.500,44.919,100.862,580.500,51.303,98.626,90.750,63.731,52.472,459.250,61.992,76.782,142.250,55.908,65.654,151.250,32.422,74.330,744.667,53.745,26.811
539,303.250,36.954,87.323,40.500,39.757,45.105,627.333,46.679,33.377,326.250,50.854,47.886,121.273,58.577,57.887,113.800,51.363,76.910,131.500,55.113,50.003,951.375,60.304,44.005,568.667,39.668,67.100,743.250,48.757,65.528,209.000,56.259,45.558,260.545,51.595,88.752,338.444,48.615,86.337,425.000,45.439,96.071,696.889,44.153,68.707,131.500,39.683,72.535,145.000,34.635,68.933,67.556,60.617,81.273,275.750,54.510,80.487,129.091,61.148,48.714,97.000,65.170,43.261,90.476,61.781,40.151,281.250,55.481,104.357,195.000,57.979,77.711,183.500,47.257,39.078,488.333,44.978,100.853,529.750,51.327,98.649,147.250,63.822,52.322,278.250,62.001,76.751,174.000,55.939,65.682,62.500,32.555,74.336,656.222,53.717,26.834
540,302.750,36.969,87.177,56.250,40.040,44.896,856.667,46.726,33.464,423.750,50.910,48.114,94.727,58.382,58.072,99.400,51.430,76.991,163.000,54.912,49.842,870.750,60.309,44.026,579.333,39.716,67.145,765.250,48.658,65.556,390.750,56.329,45.616,212.545,51.690,88.844,125.333,48.589,86.264,395.857,45.407,96.139,952.444,44.186,68.690,85.000,39.835,72.353,130.667,34.711,68.908,150.000,60.484,81.261,362.250,54.562,80.424,164.909,61.096,48.772,150.000,65.115,43.187,68.667,61.765,40.195,215.000,55.514,104.382,130.400,58.026,77.558,248.833,47.121,39.114,421.333,44.914,100.723,481.250,51.294,98.595,113.000,63.600,52.406,413.625,61.956,76.758,505.250,55.951,65.781,102.000,32.413,74.060,596.667,53.751,26.874
