 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45
484,207.400,83.529,114.667,194.000,82.939,119.720,15.400,106.378,39.972,189.000,67.069,70.478,214.100,72.006,71.766,88.375,39.750,73.982,16.500,88.298,101.732,76.581,105.102,74.538,263.286,78.628,90.361,42.615,72.842,86.321,2.923,76.415,80.755,2362.250,67.880,85.740,171.000,60.458,87.644,446.065,101.212,91.353,348.286,101.566,73.852,78.000,100.471,70.282,20.231,99.963,45.886,107.462,87.824,88.564,0.000,NaN,NaN,104.900,91.999,111.063,57.077,107.259,58.043,169.800,77.334,62.596,232.250,77.649,78.085,13.200,57.524,95.917,0.000,NaN,NaN,322.438,55.732,67.832,12.571,83.478,110.744,149.333,103.636,91.469,91.000,105.093,81.892,27.405,95.129,47.527,171.000,76.456,138.412,3939.050,88.661,83.099,28.952,64.745,126.445,9.154,71.791,78.489,83.806,89.239,112.218,17.000,86.335,108.035,171.750,101.478,85.273,110.000,48.528,66.251,12.500,91.219,92.225,0.000,NaN,NaN,0.000,NaN,NaN,145.455,94.733,86.619,324.500,79.988,85.933,1.500,44.795,84.475,0.000,NaN,NaN
485,319.000,83.337,114.685,82.000,82.604,119.830,0.100,105.555,40.455,199.000,67.040,70.584,229.000,72.013,71.549,116.250,39.840,73.909,5.875,87.885,101.215,63.871,105.373,74.381,294.857,78.583,90.295,84.231,72.762,86.592,43.615,76.083,81.187,2506.000,67.872,85.713,263.417,60.447,87.510,319.871,101.281,91.299,351.810,101.579,73.941,285.500,100.545,70.086,5.769,99.355,46.345,153.385,87.423,88.469,1.286,69.767,90.847,185.700,91.968,110.734,69.231,107.290,58.237,199.700,77.596,62.672,161.750,77.748,77.928,19.400,57.983,95.253,33.000,103.251,59.964,264.000,55.829,67.770,59.000,83.510,111.201,191.619,103.832,91.464,75.750,105.493,81.727,14.162,95.164,47.786,111.917,76.422,138.319,3584.550,88.671,83.064,93.714,64.350,126.332,27.615,71.804,78.962,68.774,89.269,112.485,27.750,85.835,108.359,200.250,101.308,85.569,175.765,48.392,66.552,40.750,91.187,92.285,5.300,82.480,92.172,0.000,NaN,NaN,63.273,94.699,86.660,609.812,80.035,85.857,2.250,45.105,85.095,0.000,NaN,NaN
486,227.400,83.537,114.757,144.500,82.667,120.097,61.200,106.152,39.241,226.923,67.080,70.602,203.200,71.847,71.708,124.500,39.834,73.776,4.500,88.436,101.146,38.065,105.384,74.653,3989.357,78.579,90.210,37.308,72.505,86.646,64.538,76.345,81.575,1313.250,67.893,85.670,184.500,60.326,87.617,314.839,101.150,91.243,414.667,101.490,73.898,154.000,100.510,70.172,8.692,99.731,45.453,205.692,87.430,88.452,0.000,NaN,NaN,124.300,92.081,111.010,93.154,107.395,58.083,220.600,77.568,62.644,274.750,77.529,78.138,1.200,58.022,94.860,32.500,103.433,59.985,328.875,55.870,67.869,57.857,83.732,110.490,75.619,103.745,91.634,97.500,105.177,82.096,1.514,95.037,47.231,148.917,76.401,138.159,2859.400,88.661,83.092,11.905,64.389,126.444,15.308,71.957,78.661,53.419,89.314,112.400,12.250,86.632,108.358,334.125,101.374,85.338,138.941,48.510,66.539,31.417,90.813,92.783,0.000,NaN,NaN,0.667,53.785,93.465,156.545,94.779,86.608,2949.938,79.969,85.887,11.875,44.227,84.906,10.375,61.998,93.308
487,133.800,83.431,114.650,176.500,82.525,120.003,5.200,105.948,39.948,193.462,66.775,70.433,322.600,71.924,71.653,104.375,39.521,74.021,0.875,88.505,101.215,54.581,105.763,74.334,3534.643,78.569,90.246,127.231,72.705,86.350,96.462,76.191,81.445,844.875,67.878,85.658,147.917,60.476,87.670,299.742,101.142,91.528,271.143,101.561,73.974,219.750,100.506,70.135,1.538,99.665,45.725,123.462,87.407,88.669,9.000,69.885,90.926,206.600,92.081,111.146,76.615,107.097,58.381,201.000,77.498,62.634,177.250,77.691,78.043,4.100,57.724,94.924,40.000,103.246,60.326,347.938,55.840,67.865,57.429,83.688,110.856,139.810,103.842,91.257,22.250,105.259,82.033,6.757,95.747,47.974,125.667,76.415,138.214,1590.700,88.632,83.085,1.238,64.587,126.945,2.308,72.075,78.275,52.516,89.636,112.571,8.000,86.335,108.345,171.125,101.347,85.332,225.176,48.589,66.768,82.833,90.995,92.218,16.900,82.503,92.430,6.286,52.554,93.766,276.727,94.706,86.663,2529.938,79.964,85.874,13.125,44.426,85.281,0.000,NaN,NaN
488,109.400,83.843,114.612,114.833,82.967,119.931,1.400,105.843,40.411,243.231,66.867,70.486,305.100,71.930,71.630,51.250,39.374,73.624,7.125,87.885,101.215,57.871,105.824,74.536,2469.286,78.580,90.231,87.154,72.656,86.515,54.231,76.339,81.224,372.625,67.935,85.624,196.917,60.412,87.839,322.645,101.236,91.257,239.524,101.483,73.901,287.750,100.585,70.005,9.154,99.464,45.597,166.615,87.515,88.344,0.000,NaN,NaN,117.500,92.119,110.820,55.308,107.359,58.043,231.400,77.637,62.485,128.250,77.550,78.001,12.700,57.505,95.635,3.500,103.075,59.985,311.250,55.736,67.798,39.143,83.708,110.689,72.000,103.832,91.561,195.000,105.104,82.040,26.000,94.925,47.509,138.250,76.303,138.214,615.800,88.666,83.187,59.905,64.438,126.563,38.385,72.132,78.553,27.742,89.982,112.438,0.000,NaN,NaN,410.625,101.256,85.316,162.000,48.600,66.725,58.417,91.276,92.085,3.600,82.925,92.845,0.190,53.165,93.155,242.545,94.813,86.687,1803.812,79.986,85.885,2.125,44.175,84.785,25.500,62.289,92.802
489,169.800,83.480,114.743,76.333,82.900,119.951,12.100,106.485,39.850,209.385,66.981,70.650,314.500,71.843,71.650,25.875,39.561,73.345,60.000,88.194,101.215,92.839,105.450,74.405,1464.571,78.555,90.188,105.769,72.711,86.635,58.231,76.163,81.058,199.125,67.857,85.789,160.667,60.367,87.723,324.645,101.171,91.220,361.333,101.542,73.871,94.250,100.792,70.032,405.846,99.550,45.325,117.308,87.560,88.379,6.857,69.595,91.605,143.200,91.999,111.019,55.923,107.601,58.320,104.000,77.784,62.511,297.000,77.544,78.058,15.000,57.544,94.868,8.250,103.695,59.985,349.438,55.629,67.854,30.286,83.552,110.984,258.000,103.725,91.492,29.000,105.245,81.444,6.270,95.715,48.162,256.000,76.441,138.138,508.800,88.671,83.044,175.619,64.440,126.625,34.154,71.998,78.643,48.968,89.291,112.416,12.000,86.335,108.655,379.875,101.401,85.240,156.118,48.420,66.745,13.917,91.197,91.930,1.400,83.191,92.446,3.714,53.753,94.085,164.364,94.646,86.510,1027.750,79.953,85.885,0.000,NaN,NaN,14.000,62.465,92.535
490,117.200,83.416,114.723,96.000,82.759,119.826,4.000,106.175,39.215,250.538,67.015,70.621,277.200,71.803,71.539,76.000,39.674,73.710,33.875,88.797,101.609,54.516,105.613,74.665,937.857,78.640,90.270,72.692,72.855,86.546,21.154,76.329,81.243,251.000,67.826,85.656,122.583,60.376,87.654,349.548,101.222,91.505,347.619,101.598,74.011,187.750,100.580,70.049,245.538,99.569,45.563,132.308,87.574,88.570,0.571,69.285,91.295,163.400,92.166,110.909,51.769,107.324,58.191,131.000,77.460,62.685,196.500,77.534,78.140,5.700,57.423,95.325,4.000,103.075,60.295,366.000,55.808,67.914,27.286,83.582,110.586,112.476,103.682,91.452,134.250,105.218,81.911,18.324,95.641,47.659,233.667,76.583,138.268,361.300,88.610,82.885,1403.238,64.599,126.656,44.077,71.702,78.396,45.097,89.457,112.572,53.500,85.999,108.209,157.125,101.387,85.215,138.235,48.507,66.438,51.000,90.973,92.312,0.000,NaN,NaN,0.000,NaN,NaN,206.364,94.716,86.518,559.812,79.971,85.908,0.000,NaN,NaN,0.000,NaN,NaN
491,181.600,83.547,114.611,196.167,82.798,119.908,9.000,105.865,40.765,184.615,66.975,70.783,252.200,71.864,71.404,157.625,39.340,73.885,60.750,88.815,101.574,40.839,105.175,74.762,415.857,78.602,90.157,52.692,72.767,86.415,33.846,76.254,81.419,90.375,67.902,85.726,105.250,60.396,87.837,293.419,101.202,91.155,304.381,101.467,74.003,176.000,100.463,70.093,161.000,99.559,45.769,123.000,87.518,88.451,2.143,69.595,90.365,110.500,92.090,110.928,29.308,107.360,58.279,282.300,77.435,62.661,195.875,77.622,78.079,0.200,57.815,95.945,145.750,103.451,59.974,302.688,55.728,67.847,0.857,83.545,111.238,101.238,103.903,91.462,108.250,105.116,81.849,13.622,94.892,47.563,73.167,76.164,138.284,297.400,88.684,82.926,1333.810,64.649,126.638,706.308,71.945,78.633,32.323,89.892,112.243,5.500,86.645,108.345,206.625,101.420,85.336,110.941,48.460,66.612,64.833,91.141,92.314,0.000,NaN,NaN,17.333,52.751,93.981,162.727,94.768,86.483,458.250,79.969,85.926,14.500,43.926,84.774,5.000,62.775,93.078
492,156.200,83.485,114.643,87.833,82.849,119.843,9.200,106.060,39.818,163.769,66.854,70.429,188.600,71.902,71.559,119.125,39.628,73.851,9.750,88.577,101.636,61.484,105.549,74.503,259.143,78.548,90.005,100.846,72.778,86.314,43.769,76.223,81.024,162.750,67.975,85.713,113.583,60.385,87.415,325.032,101.238,91.283,288.381,101.477,73.924,109.500,100.509,70.201,101.154,99.554,45.394,101.538,87.358,88.480,2.571,69.905,90.675,142.000,92.112,110.833,51.462,107.350,58.069,153.300,77.590,62.729,131.750,77.707,78.146,1.700,58.125,95.015,28.750,103.382,60.292,383.062,55.707,67.784,18.857,83.258,110.698,155.333,103.794,91.489,196.500,105.221,81.905,12.865,95.662,47.839,67.583,76.303,138.371,375.800,88.676,83.124,1030.095,64.580,126.633,707.231,71.989,78.600,24.774,89.490,112.570,1.500,86.025,108.035,271.250,101.242,85.302,128.824,48.533,66.697,53.083,90.731,92.499,0.600,82.925,91.295,1.429,52.545,93.465,106.727,94.847,86.395,347.250,80.044,85.807,17.750,44.428,84.798,0.000,NaN,NaN
493,186.000,83.559,114.565,155.667,82.793,119.901,3.200,105.865,40.765,271.462,66.796,70.509,209.800,71.913,71.792,55.875,39.555,73.891,0.500,87.885,101.525,107.484,105.517,74.470,266.714,78.568,90.183,91.231,72.753,86.297,94.154,76.257,81.596,169.500,67.780,85.843,107.250,60.426,87.620,334.129,101.201,91.373,424.571,101.552,73.900,64.500,100.714,70.215,35.000,99.546,45.265,111.462,87.344,88.464,20.571,69.595,90.365,205.600,92.086,110.963,36.615,107.296,57.763,138.600,77.570,62.726,144.000,77.841,78.140,4.900,58.125,94.705,13.250,103.461,60.295,293.188,55.920,67.698,72.571,83.460,110.534,212.381,103.813,91.443,90.000,105.167,81.820,8.649,95.404,47.118,75.250,76.060,138.267,203.400,88.651,83.129,954.952,64.584,126.547,353.769,72.160,78.630,40.258,89.528,112.423,18.250,86.335,108.345,344.375,101.396,85.471,119.412,48.427,66.629,55.000,90.989,92.070,0.000,NaN,NaN,10.762,53.777,94.060,288.000,94.764,86.468,377.688,79.877,85.793,1.875,44.485,85.405,27.625,61.985,93.029
