 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44
350,42.667,126.375,162.306,49.500,127.716,144.362,3.451,156.895,146.228,6.667,156.585,110.497,63.167,63.669,169.962,61.091,83.613,174.480,34.344,58.065,168.750,78.406,154.403,158.622,138.625,137.059,185.805,694.812,132.794,190.064,34.136,121.518,172.332,53.892,153.495,176.078,73.000,88.169,171.456,55.344,157.233,103.419,184.409,92.098,176.673,23.412,85.564,166.416,50.571,161.839,148.276,29.611,60.197,163.182,19.806,164.882,155.004,84.524,141.662,186.672,12.125,126.140,171.317,100.039,127.803,166.642,48.864,125.630,177.391,34.154,146.041,175.212,41.216,122.668,184.982,18.231,137.520,178.984,43.000,142.482,179.013,6.065,148.645,184.476,36.312,157.065,173.520,56.750,136.930,169.531,52.059,149.647,180.313,82.973,94.215,170.733,45.742,96.892,166.108,50.938,143.715,182.779,42.000,117.541,161.770,284.955,132.338,184.744,49.871,127.966,138.212,16.188,98.751,176.079,22.432,130.788,150.519,18.941,150.810,171.905,27.500,126.908,134.612,33.471,132.785,178.792,43.389,140.333,159.884,10.054,161.265,182.785
351,78.905,126.367,162.129,31.533,127.785,144.050,40.824,157.084,146.948,18.667,156.320,109.455,71.933,63.674,170.088,64.727,83.377,174.520,26.344,58.034,169.012,150.250,154.378,158.470,96.375,137.111,185.870,559.125,132.755,189.973,17.455,121.480,173.028,33.027,153.560,176.229,47.438,88.064,171.603,48.625,157.134,103.656,173.636,92.104,176.751,61.765,85.572,166.541,7.143,161.626,148.459,13.000,60.223,163.178,9.419,164.534,155.223,45.143,141.406,186.224,29.375,126.727,171.073,96.235,127.714,166.547,49.136,125.324,177.524,66.231,146.335,175.410,10.275,122.796,184.704,26.615,137.919,179.035,28.278,142.806,178.490,5.484,147.835,184.893,56.250,156.915,173.522,55.000,136.572,169.927,78.353,149.797,180.149,70.811,94.372,170.894,40.452,96.444,165.892,26.062,143.884,182.040,48.765,117.801,161.612,220.045,132.370,184.840,36.774,127.851,138.261,51.562,98.460,175.847,65.622,130.720,150.563,23.765,150.782,171.647,5.900,126.646,134.590,28.882,132.520,179.150,25.444,140.228,159.639,21.622,160.854,182.747
352,34.476,126.305,162.415,40.933,127.934,144.241,20.667,156.822,146.612,11.286,156.271,110.363,67.167,63.412,169.765,64.000,83.492,174.591,34.000,58.151,169.446,111.594,154.334,158.811,79.250,137.089,185.927,67.500,132.756,189.844,27.636,121.547,172.949,38.486,153.729,176.064,86.750,87.831,171.632,61.688,156.985,104.043,171.409,92.301,176.487,3.941,85.530,166.611,23.048,161.298,148.383,8.833,60.400,163.652,19.935,164.771,154.610,48.286,141.513,186.293,13.000,126.325,171.275,89.686,127.789,166.764,35.000,125.710,178.094,71.077,146.147,175.507,26.627,122.736,185.507,45.462,137.688,179.268,22.889,142.630,178.318,29.226,148.106,184.202,19.875,157.187,173.438,53.375,136.888,169.935,54.882,149.852,180.021,71.514,94.252,170.915,21.548,96.392,166.204,55.000,144.038,182.713,40.000,117.370,162.027,59.909,132.287,184.520,34.581,127.581,138.058,58.875,98.556,176.324,22.378,130.588,150.679,33.706,150.552,171.742,30.000,126.631,134.358,60.059,132.782,178.798,12.667,140.290,158.904,11.676,160.660,183.549
353,6.381,126.515,162.854,28.133,127.702,144.184,21.725,156.943,146.745,20.714,156.065,110.138,56.967,63.539,170.199,49.682,83.639,174.638,23.562,58.116,169.032,113.281,153.961,158.502,71.062,137.231,185.700,34.188,132.846,189.830,25.227,121.086,172.309,53.459,153.648,176.471,124.438,88.054,171.764,45.250,157.273,103.825,137.136,92.066,176.748,30.765,85.558,166.553,27.429,161.767,148.330,4.778,60.259,163.680,19.613,164.818,154.690,40.667,141.447,186.757,25.625,126.441,170.956,89.529,127.809,166.900,35.091,125.605,177.705,37.808,146.174,175.428,10.314,122.284,184.765,33.769,137.405,179.188,36.944,142.638,178.947,3.419,148.154,183.891,34.938,156.866,173.382,25.500,136.702,169.866,88.118,149.796,180.327,44.378,94.625,170.946,63.161,96.759,166.155,17.562,143.990,182.528,40.353,117.499,161.872,52.682,132.076,184.774,45.871,127.945,138.373,34.062,98.234,176.163,48.595,130.350,150.796,50.529,150.755,171.997,40.400,126.600,134.549,16.471,132.651,178.672,21.000,140.478,159.503,23.568,160.929,182.827
354,26.190,126.286,162.504,18.400,127.764,143.966,24.431,156.731,146.936,9.333,156.235,110.339,38.400,63.300,170.148,85.955,83.517,174.445,29.469,57.930,169.134,105.000,154.453,158.771,77.625,137.273,185.527,21.938,132.544,190.212,43.727,121.432,172.501,35.784,153.628,175.998,67.438,88.140,171.661,37.094,156.916,103.914,125.273,92.394,176.603,49.118,85.496,166.771,10.857,161.350,148.422,16.944,60.418,162.357,34.387,164.658,154.519,38.905,141.462,187.077,30.750,126.630,170.753,76.784,127.742,166.645,25.364,125.156,177.710,42.192,146.543,175.534,18.627,122.281,185.233,22.538,137.788,178.973,44.556,142.343,178.495,9.742,148.039,184.285,33.938,156.668,173.482,23.375,136.834,170.190,20.588,149.835,180.114,65.946,94.896,170.790,58.129,96.735,166.151,77.625,144.120,182.930,45.118,117.265,162.274,57.909,132.352,184.775,25.290,128.134,137.918,44.938,98.062,176.208,9.946,130.756,150.180,46.471,150.829,171.977,39.300,126.628,134.491,47.529,132.578,179.082,33.222,140.279,159.818,8.649,161.355,182.389
355,26.714,126.465,162.805,6.700,127.847,144.708,15.686,156.858,146.641,22.048,156.532,109.819,35.967,63.380,170.142,56.091,83.635,174.422,46.781,58.108,169.447,105.906,154.346,158.559,29.250,137.140,185.359,46.938,132.926,189.927,40.364,121.255,172.459,27.892,153.681,176.092,83.812,87.936,171.457,35.125,157.163,103.640,264.909,92.148,176.637,22.235,85.575,166.828,341.905,161.625,148.369,11.444,60.567,162.625,27.935,164.929,155.182,28.286,141.484,186.511,71.750,126.767,171.052,92.000,128.038,166.704,28.000,125.337,177.767,35.769,145.926,175.377,19.765,122.524,184.933,18.692,138.105,179.913,156.444,142.858,179.002,25.548,147.483,183.911,27.250,156.889,173.471,54.000,136.602,169.779,45.706,149.764,179.822,78.919,93.908,170.676,19.871,96.773,166.068,715.688,144.040,182.780,75.000,117.238,162.305,80.045,132.129,184.686,54.323,127.785,138.116,59.938,98.770,176.185,19.514,130.455,150.748,43.059,150.466,171.616,25.600,126.543,134.470,35.059,132.544,178.993,63.444,140.543,160.178,43.189,161.095,182.700
356,22.238,126.538,163.089,27.333,127.643,144.376,12.196,156.458,146.926,16.381,156.751,110.159,68.467,63.673,170.274,70.136,83.330,174.368,59.125,58.068,169.325,103.969,154.267,158.606,79.312,137.038,185.655,50.688,132.915,189.757,18.545,121.139,172.260,29.027,153.911,175.906,63.375,87.856,171.247,38.156,156.932,103.318,198.864,92.235,176.684,54.882,85.760,166.358,248.429,161.473,148.290,12.000,60.670,163.122,36.323,164.686,154.582,55.476,141.702,186.277,8.500,126.330,170.974,79.922,127.758,166.499,32.364,125.063,177.685,24.154,146.077,175.846,15.255,122.842,185.682,81.462,137.762,179.168,69.167,142.743,179.043,29.806,147.541,184.000,45.312,157.105,173.546,81.625,136.912,169.876,58.000,150.433,180.211,31.676,94.653,170.775,36.065,96.914,166.306,461.688,144.100,182.841,43.647,117.523,162.110,47.364,132.305,184.692,52.645,128.118,138.146,56.562,98.446,175.609,17.784,130.606,150.465,51.176,150.629,172.192,42.600,127.462,134.350,7.294,133.038,178.843,24.444,140.527,159.482,10.000,161.216,182.671
357,23.095,126.502,163.058,25.867,127.851,144.510,10.118,157.320,146.337,0.714,156.395,109.585,32.300,63.698,170.127,28.455,83.794,174.431,35.312,58.390,169.106,125.750,154.290,158.990,129.000,137.086,185.590,84.188,132.816,189.870,31.409,121.627,172.463,35.946,153.364,176.208,121.562,87.911,171.394,42.969,157.141,103.421,194.500,92.158,176.788,5.941,85.233,166.524,122.238,161.657,148.232,12.278,60.656,163.302,35.935,164.545,154.674,84.333,141.569,186.067,34.375,126.592,171.539,111.569,127.835,166.527,61.864,125.634,177.333,26.462,146.253,175.625,11.686,123.059,185.706,38.000,137.506,179.245,70.944,142.663,178.948,39.484,147.644,183.557,19.125,157.252,173.569,36.250,136.765,169.586,48.118,149.870,180.011,72.324,94.082,170.792,35.935,96.914,165.868,298.375,144.037,183.007,29.941,117.513,162.317,42.227,132.156,184.805,51.032,127.808,137.966,50.750,98.470,175.906,27.189,130.727,150.849,35.765,150.630,171.907,7.700,126.679,134.329,35.118,132.597,178.849,23.778,140.392,159.759,6.811,161.124,183.121
358,27.000,126.654,162.187,19.567,127.408,144.426,22.275,156.333,147.090,5.286,156.149,110.051,37.867,63.452,170.286,60.818,83.753,174.533,50.562,58.034,169.586,122.000,154.401,158.815,90.938,137.131,185.425,29.188,133.047,189.798,11.682,121.641,172.716,30.649,153.611,176.287,69.062,87.962,171.580,36.188,157.302,103.542,219.318,92.207,176.628,37.353,85.619,166.715,192.476,161.469,148.458,5.222,60.605,163.472,9.097,164.468,154.858,36.857,141.542,186.275,55.625,126.628,171.121,115.725,127.784,166.489,28.091,125.136,177.776,33.885,146.346,175.622,22.667,122.552,184.940,24.308,137.637,179.126,88.889,142.843,178.937,29.032,148.215,183.904,30.562,156.985,173.836,42.125,137.092,170.170,71.882,149.704,179.859,66.000,94.440,170.664,32.323,97.027,166.146,200.750,143.960,183.078,28.824,117.529,162.336,85.500,132.333,184.781,51.161,128.190,138.135,50.438,98.320,175.867,26.054,130.761,150.422,58.588,150.773,171.912,63.400,126.936,134.414,42.588,132.696,178.878,12.667,140.342,159.233,13.459,161.213,182.054
359,252.619,126.708,163.023,24.933,127.712,144.667,25.686,156.729,146.938,13.048,156.300,109.465,54.333,63.494,169.785,76.182,83.617,174.139,54.094,58.361,169.435,103.031,154.256,158.802,66.375,137.147,185.398,65.000,132.824,190.175,13.864,121.072,172.531,46.108,153.468,176.091,107.625,88.034,171.433,26.594,157.243,103.518,150.818,92.281,176.587,11.765,85.328,166.541,133.000,161.564,148.242,8.444,60.668,162.795,14.258,164.557,154.615,54.810,141.513,186.412,840.000,126.657,171.109,2259.314,127.845,166.657,41.318,125.473,177.897,47.846,146.332,175.804,14.588,122.205,185.148,16.385,137.393,179.379,113.278,142.570,178.838,26.581,147.755,183.921,18.250,157.101,173.979,61.500,136.750,170.121,35.235,149.879,180.249,75.514,94.218,170.714,82.581,97.010,165.957,398.562,143.956,182.991,14.353,117.452,161.993,51.364,132.299,184.550,41.935,127.910,138.180,57.875,98.118,176.027,34.324,130.683,150.703,40.882,150.610,171.995,22.500,126.672,134.962,34.765,132.599,178.595,19.500,140.572,159.342,38.919,161.050,182.875
