 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30
414,257.594,131.918,184.815,2.875,209.356,151.040,5.667,209.322,131.668,213.154,150.134,132.705,9.056,138.978,136.196,88.800,161.249,129.895,11.192,123.719,102.955,130.375,141.410,115.694,644.375,174.178,192.410,8.706,210.949,143.874,70.378,128.959,118.516,264.000,156.670,201.273,236.471,161.190,198.266,210.941,146.623,138.464,51.941,129.498,102.321,226.889,128.586,124.898,318.627,155.495,128.505,400.767,135.954,121.638,13.016,205.609,160.154,66.367,115.432,133.150,159.000,155.269,137.303,30.381,122.465,128.197,70.273,179.466,175.325,119.294,145.600,189.425,18.800,147.800,208.912,311.318,174.035,178.050,5.529,178.204,189.802,73.023,131.795,127.141,38.095,141.560,204.032,5.259,145.822,104.555
415,192.781,131.668,184.543,6.583,209.988,151.890,9.333,209.650,132.231,226.462,150.069,132.542,8.611,139.449,136.461,56.667,161.089,129.747,3.962,124.194,103.140,114.969,141.481,115.616,738.083,174.166,192.472,3.882,210.607,144.136,137.189,129.176,118.543,297.033,156.840,201.248,281.706,161.073,198.421,195.176,146.618,138.416,7.235,129.826,101.588,250.500,128.692,125.055,338.745,155.529,128.448,393.279,136.087,121.555,6.754,205.229,160.162,63.333,115.721,132.710,212.438,155.245,137.225,35.095,122.610,127.576,64.227,179.377,175.174,109.824,145.591,189.420,44.367,147.582,208.781,301.000,173.951,178.174,16.059,178.548,189.238,63.721,131.569,127.118,65.762,141.896,203.693,12.741,145.367,104.311
416,248.594,131.857,184.746,10.625,209.849,151.781,23.667,209.540,131.872,211.269,150.014,132.720,25.389,139.562,135.862,63.267,161.256,129.427,6.558,124.548,102.483,128.688,141.418,115.741,748.375,174.195,192.377,5.882,210.211,143.660,139.189,129.023,118.790,268.033,156.694,201.168,220.765,161.144,198.252,232.235,146.606,138.304,19.059,129.391,101.893,215.667,128.520,124.876,257.961,155.567,128.450,414.302,135.963,121.622,9.869,205.444,159.761,40.833,115.746,132.729,192.771,155.261,137.416,47.286,122.252,128.173,91.500,179.433,175.339,224.471,145.638,189.499,36.300,147.701,208.948,269.909,173.995,178.218,14.235,178.636,188.804,56.651,131.428,127.068,36.333,141.532,203.675,10.481,146.118,103.733
417,246.938,131.818,184.748,2.667,210.340,151.513,14.476,209.823,131.809,174.885,150.046,132.817,6.111,139.105,136.507,65.233,161.274,129.537,4.058,124.801,102.910,167.156,141.360,115.989,770.500,174.221,192.448,16.529,210.443,144.065,126.486,129.206,118.668,250.900,156.631,201.236,261.471,161.161,198.402,255.882,146.550,138.283,39.765,129.441,102.594,266.500,128.503,125.052,279.725,155.461,128.509,418.744,135.914,121.639,13.836,206.424,160.205,398.433,115.446,132.946,228.188,155.199,137.266,50.381,122.473,128.061,98.045,179.317,175.338,182.059,145.655,189.500,30.367,147.682,208.562,278.273,173.997,178.116,33.294,178.836,189.283,71.419,132.029,127.133,31.143,141.883,203.318,8.519,145.902,103.830
418,256.562,131.680,184.639,26.000,210.127,150.719,6.524,209.930,131.674,142.077,150.067,132.732,49.500,139.440,136.405,57.633,161.196,129.532,11.115,124.325,102.328,128.812,141.431,115.885,706.792,174.220,192.532,11.000,210.481,144.516,59.568,129.069,118.892,244.567,156.606,201.163,223.882,161.194,198.333,244.294,146.585,138.289,10.647,129.541,102.053,227.389,128.650,124.883,282.431,155.448,128.493,404.930,136.072,121.690,9.082,205.689,160.221,196.000,115.649,132.794,231.125,155.285,137.459,10.286,122.717,127.449,58.727,179.334,175.385,108.412,145.705,189.439,593.067,147.600,208.637,279.318,173.980,178.107,20.294,178.971,189.139,68.767,131.734,126.975,27.095,141.811,203.649,10.407,145.915,104.643
419,294.062,131.971,184.760,13.375,209.848,151.517,3.810,209.793,132.014,180.885,149.960,132.647,5.389,139.262,136.724,34.233,161.003,129.623,8.288,124.102,102.931,110.656,141.377,115.550,662.167,174.197,192.395,26.824,211.124,143.454,105.081,129.020,118.570,220.600,156.722,201.236,253.000,161.049,198.401,240.882,146.723,138.497,9.941,129.511,102.303,241.611,128.678,124.917,225.804,155.502,128.428,413.349,135.936,121.582,12.328,205.310,159.905,350.967,115.324,132.908,217.083,155.326,137.125,572.667,122.624,128.140,101.273,179.482,175.235,66.000,145.649,189.461,450.767,147.662,208.679,229.227,174.070,178.061,20.412,178.700,189.233,81.256,131.479,126.942,616.524,141.642,203.661,10.630,145.966,102.938
420,301.531,131.561,184.695,8.542,210.013,151.721,13.571,209.716,131.966,179.654,150.005,132.788,26.556,139.302,136.017,57.133,161.205,129.778,11.058,123.835,102.915,123.812,141.286,115.670,704.792,174.225,192.371,12.235,211.179,144.268,126.811,129.312,118.548,240.633,156.645,201.265,233.059,161.224,198.297,211.529,146.645,138.512,23.353,129.688,102.642,295.389,128.702,125.070,335.216,155.508,128.336,406.953,135.946,121.551,5.180,205.836,160.182,59.900,115.544,133.134,204.854,155.392,137.306,274.905,122.578,128.220,86.409,179.458,175.318,175.353,145.671,189.598,242.367,147.630,208.899,261.682,173.833,178.124,33.471,178.272,189.424,74.279,131.807,126.649,479.905,141.693,203.681,16.704,146.065,103.983
421,198.875,131.543,184.728,3.792,210.165,152.535,22.238,209.655,132.244,154.731,149.892,132.626,16.611,139.490,135.816,38.167,161.269,129.514,8.308,123.183,102.380,123.000,141.404,115.647,619.625,174.252,192.401,13.765,210.754,144.579,132.378,129.234,118.801,229.633,156.853,201.250,230.118,161.140,198.335,173.941,146.621,138.410,23.882,129.430,102.404,207.778,128.672,125.007,342.118,155.437,128.378,397.791,136.052,121.564,15.344,206.019,160.028,27.433,115.434,132.950,190.188,155.350,137.372,324.048,122.578,128.104,139.682,179.371,175.287,111.765,145.595,189.529,215.067,147.554,208.687,235.091,173.856,178.082,15.647,178.385,189.126,27.977,131.646,127.472,275.095,141.686,203.646,4.852,146.035,104.261
422,238.844,131.682,184.752,12.417,209.661,151.369,14.905,209.965,131.846,161.692,149.952,132.706,42.833,139.415,136.347,42.333,161.189,129.690,5.538,124.131,102.042,146.219,141.409,115.585,741.458,174.290,192.499,15.176,210.653,144.088,147.459,128.909,118.674,323.533,156.709,201.193,227.941,161.112,198.405,189.412,146.758,138.310,20.824,129.528,102.098,267.722,128.838,124.903,336.863,155.399,128.574,383.814,136.014,121.549,8.885,206.019,159.399,32.833,115.365,133.093,159.896,155.275,137.180,219.905,122.484,128.119,93.864,179.472,175.319,188.765,145.705,189.635,40.667,147.903,208.825,261.545,173.810,178.187,39.353,178.479,189.328,76.930,131.546,126.979,166.571,141.635,203.580,7.333,145.889,104.307
423,295.781,131.677,184.778,29.583,209.995,151.027,6.857,209.420,132.125,220.269,150.068,132.581,83.222,139.351,135.892,45.033,161.378,129.872,5.981,124.611,102.577,151.250,141.435,115.735,680.333,174.273,192.372,1.941,210.607,143.995,97.568,129.165,118.658,250.067,156.637,201.201,183.588,160.983,198.449,182.647,146.709,138.467,30.529,129.593,101.897,296.944,128.503,124.992,233.412,155.471,128.527,397.698,135.961,121.765,12.525,205.011,160.203,59.200,115.376,132.805,213.312,155.331,137.256,102.952,122.592,128.088,106.455,179.625,175.353,192.059,145.820,189.592,41.867,147.687,208.819,215.955,174.024,178.092,11.647,178.314,189.335,56.209,131.702,127.163,47.762,141.591,203.849,10.519,146.356,103.593
