 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39
190,26.471,97.762,110.941,47.905,93.874,110.615,53.692,95.854,104.155,184.581,99.426,102.913,95.476,115.082,44.936,40.200,86.407,98.081,108.500,125.395,109.069,40.429,128.260,112.278,145.294,81.792,76.924,56.486,135.782,40.691,102.545,155.941,85.848,84.944,98.099,68.958,31.507,101.866,49.185,195.020,142.787,78.296,160.375,135.916,78.452,174.129,139.208,74.532,60.048,90.042,53.358,100.025,100.905,55.338,193.448,97.140,90.213,67.808,140.197,60.693,55.667,138.374,88.688,175.419,88.575,80.837,340.324,97.508,83.922,61.667,138.252,67.366,74.323,141.883,64.703,30.000,150.924,46.850,61.765,106.011,65.182,63.286,82.574,65.610,48.784,128.372,64.490,100.973,88.324,77.442,55.227,135.031,92.319,91.389,129.791,92.140,109.405,110.536,49.626,30.630,140.147,50.978,49.935,107.666,45.519,51.278,107.154,98.381,172.065,137.057,62.394,62.808,140.379,41.306,42.432,93.287,68.979
191,23.000,97.652,111.485,79.095,93.705,110.614,55.538,95.264,104.131,95.097,98.926,102.854,92.857,115.139,45.170,34.833,86.091,98.045,113.375,125.615,109.118,87.429,128.447,112.084,174.118,81.767,76.936,49.676,135.724,40.991,108.045,155.844,85.869,86.444,98.287,68.919,73.652,101.308,49.299,179.333,142.854,78.251,179.812,136.079,78.609,232.839,139.034,74.585,59.143,89.871,53.256,59.975,100.751,55.102,153.621,97.242,90.354,113.500,139.924,60.579,64.778,138.425,88.714,106.000,88.410,80.879,378.432,97.520,83.704,59.389,138.451,67.203,103.290,141.775,64.543,46.696,150.848,46.687,84.275,106.013,65.149,84.238,82.494,65.751,52.510,128.215,64.678,83.622,88.035,77.555,31.727,134.860,92.156,82.833,129.941,91.973,13.189,110.216,49.041,49.370,140.172,51.250,35.935,107.791,45.283,47.444,107.494,98.508,194.000,137.006,62.072,45.423,140.424,40.965,65.351,93.464,69.096
192,21.941,98.043,111.743,19.952,93.737,110.077,36.538,95.245,103.783,87.742,99.427,102.824,76.905,114.967,44.948,66.267,86.488,98.073,60.000,125.528,109.220,120.619,128.351,112.158,95.471,81.713,76.936,69.730,135.479,41.014,83.318,155.810,85.930,70.667,98.146,68.975,39.188,101.818,49.514,187.412,142.547,78.251,192.812,135.936,78.556,180.774,139.028,74.500,44.238,90.176,53.024,51.848,100.830,55.281,145.759,97.118,90.345,71.385,139.946,60.587,87.111,138.223,88.438,71.651,88.675,80.465,421.459,97.420,83.931,106.389,138.395,67.407,179.161,141.996,64.657,32.406,150.679,46.886,32.471,105.767,65.302,62.429,82.318,65.791,52.667,128.312,64.526,102.486,88.294,77.307,42.045,134.758,92.132,65.667,129.879,92.219,58.270,110.623,49.438,41.037,140.402,51.230,54.581,107.936,45.692,57.167,107.432,98.332,129.226,136.904,62.199,61.346,140.352,41.201,30.324,93.455,69.286
193,42.529,97.810,111.621,17.524,93.852,111.386,19.692,94.977,104.315,79.419,99.179,102.839,87.048,115.191,44.998,40.700,86.113,98.066,85.062,125.503,108.893,73.381,128.566,112.480,109.235,81.855,77.134,49.243,135.604,40.825,106.364,155.896,85.798,93.778,98.289,69.124,80.261,101.744,49.235,152.941,142.648,78.268,169.000,135.890,78.692,158.000,139.075,74.500,40.429,90.193,52.756,79.570,100.711,55.052,171.448,97.282,90.314,109.846,139.981,60.663,82.000,138.482,88.560,171.023,88.596,80.682,343.676,97.499,83.949,138.222,138.289,67.216,58.774,141.695,64.783,38.232,151.051,46.641,44.667,106.043,65.541,69.048,82.346,65.945,47.529,128.418,64.535,102.919,88.208,77.536,27.818,135.126,92.239,29.056,129.821,92.515,76.703,110.449,49.397,44.741,140.435,51.342,93.161,107.813,45.594,53.889,107.342,98.595,226.516,136.901,62.177,21.692,139.936,41.090,53.568,93.450,69.160
194,22.176,97.888,112.067,6.429,93.187,110.262,21.077,95.453,104.094,91.161,99.307,103.055,44.381,115.441,44.745,41.600,86.311,97.725,53.062,125.368,109.350,69.524,128.138,112.028,107.412,81.918,76.767,95.135,135.677,40.878,86.455,155.855,85.892,45.222,98.254,69.002,47.826,101.566,49.455,167.451,143.010,78.428,126.625,135.669,78.674,222.129,139.058,74.633,39.381,90.108,52.838,95.013,100.738,55.375,219.414,97.110,90.319,90.731,139.745,60.519,89.056,138.242,88.322,128.442,88.516,80.809,359.568,97.464,83.968,112.611,138.294,67.094,84.387,141.740,64.491,35.072,150.873,47.125,78.980,105.707,64.748,45.000,82.492,65.416,38.392,128.183,64.364,70.919,88.363,77.707,35.045,134.914,92.014,66.167,129.762,92.208,55.459,110.208,49.684,33.000,140.717,51.331,49.935,107.634,45.674,54.444,106.729,98.545,116.000,136.934,62.392,22.462,140.295,40.630,102.324,93.311,69.027
195,47.176,98.164,111.220,20.429,93.520,110.420,53.692,95.537,104.059,109.548,99.576,102.987,58.810,115.327,44.902,51.100,86.012,97.649,53.312,125.738,109.085,94.143,128.496,112.258,121.765,81.925,77.281,38.973,135.354,40.820,58.773,156.006,86.043,119.278,98.206,69.055,62.725,101.792,49.335,204.431,142.714,78.187,160.188,135.958,78.611,175.548,138.948,74.734,86.762,90.066,53.304,88.684,100.707,55.284,189.345,97.075,90.313,115.154,139.933,60.592,99.000,138.093,88.332,131.023,88.699,80.865,233.189,97.453,83.716,111.778,138.426,67.040,90.000,141.907,64.578,34.203,150.799,46.766,77.529,105.735,65.298,69.905,82.396,66.010,27.294,128.027,64.080,102.865,88.301,77.473,47.455,135.300,91.949,40.944,129.831,92.222,80.649,110.750,49.643,62.296,140.533,50.664,32.387,107.807,45.992,76.000,107.301,98.599,152.968,136.884,62.136,23.231,140.237,40.889,62.649,93.524,69.473
196,17.588,97.833,111.551,30.571,93.566,110.826,66.231,95.818,104.026,103.613,99.560,102.746,69.143,115.165,44.791,36.467,86.251,97.974,40.875,125.442,109.101,46.000,128.499,112.057,125.824,81.934,77.166,66.595,135.638,41.249,76.409,156.056,85.835,65.889,98.235,68.956,85.391,101.901,49.462,185.176,142.546,78.402,202.812,135.880,78.730,163.355,139.064,74.475,114.667,90.191,53.112,77.696,100.792,54.968,164.241,97.087,90.319,94.769,139.890,60.519,99.500,138.167,88.433,147.628,88.584,80.936,379.730,97.522,83.748,169.222,138.405,67.114,177.742,141.618,64.594,40.928,151.247,46.835,49.412,105.866,64.836,54.857,82.406,66.022,31.333,128.806,64.292,102.486,88.206,77.675,50.000,134.933,92.316,66.278,130.012,92.261,98.757,110.537,49.609,54.259,140.400,51.099,34.065,107.662,45.164,69.722,107.295,98.736,213.355,137.009,62.099,32.654,140.551,41.260,64.486,93.520,69.145
197,18.118,97.870,111.462,14.048,93.736,111.404,48.231,95.804,103.742,90.065,99.582,102.922,45.905,115.616,44.927,47.467,86.029,97.975,44.938,125.698,109.099,38.381,128.672,112.117,121.471,81.973,77.358,59.405,135.576,40.919,100.091,155.951,85.911,56.000,98.204,69.075,77.826,101.657,49.321,233.765,142.752,78.143,152.562,135.934,78.553,99.290,138.758,74.652,78.762,90.274,53.123,102.886,100.680,55.195,207.897,97.245,90.190,83.962,140.057,60.680,95.000,138.286,88.141,147.907,88.574,80.828,322.919,97.439,83.712,112.667,138.231,67.339,116.258,141.844,64.616,117.913,150.995,46.789,80.353,105.712,65.220,68.429,82.492,65.738,49.294,128.239,64.370,102.054,88.397,77.625,31.182,134.914,92.226,70.167,129.974,92.266,81.405,110.502,50.024,42.593,140.554,51.328,61.484,107.676,45.312,78.889,107.384,98.706,107.871,136.858,62.563,23.423,140.449,40.496,60.811,93.507,69.192
198,35.588,97.852,111.297,14.000,93.445,110.588,40.692,95.241,104.153,126.065,99.348,102.853,57.857,115.126,45.052,54.600,86.199,97.913,109.812,125.556,109.116,27.429,128.891,111.989,94.706,81.871,76.993,58.270,135.604,41.104,131.500,155.921,85.937,1854.917,98.266,68.913,38.754,101.826,49.483,205.804,142.784,78.290,128.812,135.731,78.524,158.903,139.070,74.631,127.476,90.215,53.086,102.051,101.025,54.997,186.414,97.246,90.316,114.808,140.167,60.692,49.278,137.995,88.446,144.884,88.591,80.784,305.946,97.445,83.839,82.278,138.286,67.413,102.194,141.787,64.536,393.478,150.838,46.931,44.235,105.828,64.899,42.429,82.342,65.724,74.314,128.468,64.323,68.757,88.377,77.416,55.636,134.937,92.474,57.444,129.980,92.135,43.297,110.547,49.229,46.037,140.423,51.367,45.290,107.873,46.070,48.778,107.560,98.473,189.613,136.912,62.151,62.269,140.271,41.098,76.811,93.385,69.335
199,31.118,97.878,110.973,24.857,93.995,110.624,35.692,95.815,103.885,150.387,99.265,102.800,69.048,115.192,45.052,44.933,86.292,97.926,38.688,125.627,108.935,58.286,128.604,112.050,80.412,81.849,77.199,66.595,135.754,41.124,85.909,155.933,85.684,868.556,98.216,69.001,72.928,101.583,49.521,187.255,142.657,78.170,198.812,135.987,78.511,175.484,139.085,74.572,95.095,90.254,53.320,64.456,100.748,55.317,222.103,96.979,90.463,103.731,140.015,60.638,32.167,138.315,88.356,133.535,88.595,80.951,297.946,97.441,83.995,169.111,138.309,67.377,84.452,141.859,64.433,291.304,151.092,47.065,73.451,105.796,64.859,64.857,82.498,65.852,45.059,128.931,64.589,83.892,88.386,77.825,45.818,134.917,91.980,70.167,129.809,91.979,73.622,110.386,49.779,37.815,140.166,51.170,21.935,107.663,45.884,48.278,107.216,98.188,183.161,136.923,62.412,60.038,140.614,41.324,45.189,93.489,69.332
