 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43
443,224.865,244.745,61.663,380.792,227.525,73.684,42.588,244.322,22.297,281.462,242.829,29.804,41.900,250.651,31.553,147.326,252.125,20.356,196.190,214.741,22.179,98.900,212.244,29.604,28.000,237.566,35.014,99.062,235.697,26.700,900.100,245.119,80.826,877.176,235.436,59.846,362.688,224.669,66.995,1059.200,231.380,61.006,514.059,211.757,78.329,158.000,244.213,75.334,212.714,239.970,71.133,107.000,223.225,57.544,78.529,172.947,70.856,105.800,171.009,76.151,212.857,239.184,65.212,134.769,238.528,51.597,218.875,233.629,55.688,216.750,219.675,31.477,154.000,253.977,79.601,478.375,237.692,56.629,381.500,227.796,56.032,227.389,228.820,19.785,18.417,206.148,75.467,310.000,183.163,75.542,41.800,250.110,77.045,82.583,227.850,14.779,110.688,223.498,20.105,231.143,248.993,20.953,40.000,244.629,67.133,104.476,247.499,72.431,187.355,210.974,34.619,263.235,243.251,33.170,999.875,232.516,70.373,150.353,255.421,19.052,209.000,174.828,75.127,396.774,231.134,82.584,331.941,240.675,84.702
444,284.000,244.575,61.665,308.417,227.605,73.666,21.471,244.639,22.376,268.231,242.889,29.839,61.100,250.643,32.114,181.913,252.172,20.322,236.762,214.677,22.123,172.100,212.475,29.602,67.677,237.318,35.094,137.625,235.824,26.971,989.000,245.184,80.917,586.118,235.423,59.925,402.125,224.640,66.979,744.067,231.308,61.088,623.353,211.756,78.252,141.000,244.212,75.258,165.357,239.934,71.475,106.722,222.958,57.664,16.412,172.992,70.371,204.400,171.121,75.790,153.714,239.073,65.357,83.462,238.533,51.840,217.812,233.749,55.724,230.375,219.639,31.501,72.385,253.947,79.548,472.375,237.725,56.557,353.417,227.869,56.071,261.833,228.727,19.825,37.583,205.815,75.611,501.892,183.029,75.451,59.400,250.148,77.017,75.583,227.921,14.321,140.438,223.585,20.013,207.619,249.056,20.832,99.231,244.619,67.515,79.429,247.382,72.433,154.581,210.850,34.342,261.882,243.263,33.005,732.312,232.488,70.323,147.412,255.316,18.961,245.900,174.924,75.363,392.645,231.117,82.621,366.941,240.642,84.718
445,270.054,244.804,61.697,290.312,227.594,73.766,64.647,244.260,21.962,358.615,242.688,29.661,88.900,250.439,31.801,160.739,252.113,20.539,163.333,214.703,22.187,82.300,212.366,29.904,69.161,237.123,34.983,152.500,235.809,26.532,910.100,245.194,80.927,550.824,235.527,59.843,288.125,224.813,66.916,484.967,231.329,61.290,572.118,211.752,78.318,190.769,244.081,75.272,154.500,239.918,70.910,95.278,223.150,57.969,73.353,172.929,70.374,203.400,171.217,76.220,345.238,239.161,65.308,147.538,238.454,51.673,181.375,233.660,55.778,186.812,219.665,31.629,94.308,254.040,79.630,615.625,237.715,56.645,303.750,227.853,55.797,263.611,228.763,19.858,74.167,206.004,75.173,1061.189,183.089,75.483,62.700,250.307,76.838,64.917,227.837,14.914,124.375,223.519,20.077,228.952,249.096,20.834,106.231,244.869,67.311,71.143,247.641,72.560,189.613,210.934,34.592,184.529,243.265,32.939,809.938,232.501,70.366,87.706,255.406,18.751,180.800,174.867,75.230,424.387,231.077,82.681,386.706,240.552,84.663
446,282.757,244.811,61.727,281.062,227.591,73.731,71.706,244.263,22.229,418.231,242.821,29.805,66.700,250.394,32.053,179.630,252.229,20.088,201.333,214.793,22.316,138.300,212.508,29.733,74.065,237.119,35.251,117.750,235.893,26.390,833.600,245.213,80.869,468.294,235.552,59.925,293.750,224.704,66.883,357.867,231.243,61.449,633.647,211.741,78.267,189.077,244.131,75.292,150.214,240.037,70.922,122.333,223.180,57.623,66.765,173.032,70.700,173.000,171.136,75.973,287.429,239.272,65.276,183.769,238.579,51.589,226.688,233.832,55.529,142.000,219.540,31.590,125.615,253.940,79.489,544.875,237.750,56.618,253.667,227.869,55.754,259.000,228.778,19.927,35.833,205.971,74.694,1478.054,183.112,75.513,63.700,250.235,77.012,124.500,227.960,14.660,102.188,223.439,20.138,210.381,248.879,20.947,69.538,244.665,67.366,152.667,247.565,72.420,210.581,210.963,34.480,236.647,243.265,32.948,571.125,232.529,70.392,153.412,255.425,18.786,136.500,174.816,75.399,316.452,231.078,82.576,523.647,240.509,84.724
447,249.135,244.849,61.644,369.188,227.551,73.796,43.706,244.439,22.231,313.692,242.733,29.689,70.200,250.616,31.886,168.174,252.224,20.477,213.524,214.787,22.161,86.400,212.503,29.505,48.323,237.128,35.006,127.812,235.792,26.891,983.400,245.189,80.900,442.353,235.516,59.885,256.000,224.703,66.855,371.467,231.091,61.369,647.176,211.734,78.260,137.615,244.126,75.482,126.143,239.988,71.095,122.889,223.226,57.711,108.471,173.102,70.461,171.600,171.148,76.135,197.619,239.209,65.374,168.923,238.667,51.872,171.500,233.771,55.612,185.188,219.593,31.558,111.231,254.156,79.471,455.375,237.710,56.593,269.583,227.899,55.954,193.611,228.717,19.910,25.917,205.848,75.112,1538.432,183.104,75.529,82.900,250.088,77.142,43.250,227.820,14.797,98.812,223.300,20.076,221.905,248.995,20.989,57.923,245.045,67.435,108.095,247.599,72.323,228.452,210.947,34.569,249.824,243.257,32.999,741.312,232.431,70.347,126.353,255.174,18.959,226.600,174.826,75.367,376.839,231.149,82.610,487.118,240.623,84.804
448,270.216,244.726,61.631,371.333,227.606,73.830,52.941,244.262,22.276,301.769,242.765,29.803,36.400,250.451,32.029,170.826,252.112,20.449,206.286,214.692,22.002,131.500,212.513,29.515,69.355,237.579,35.111,141.375,235.796,26.675,1074.900,245.198,80.939,375.765,235.515,59.771,323.125,224.604,66.707,410.033,231.175,61.472,596.529,211.636,78.182,133.615,244.221,75.394,108.214,239.935,70.987,164.611,223.207,57.889,90.294,172.940,70.731,195.400,171.126,75.895,160.000,239.119,65.243,169.308,238.400,51.737,185.688,233.777,55.628,122.562,219.687,31.474,117.538,253.893,79.764,456.750,237.847,56.501,348.750,227.885,55.858,269.556,228.820,19.732,41.750,205.933,75.476,788.324,183.160,75.494,99.600,250.319,77.426,50.167,227.811,14.806,107.188,223.478,20.058,237.143,249.068,20.946,52.308,244.833,67.460,218.762,247.639,72.375,148.452,210.984,34.586,210.000,243.390,33.142,752.438,232.537,70.415,121.588,255.230,18.918,105.300,174.845,75.481,401.613,231.062,82.585,491.235,240.612,84.608
449,261.027,244.734,61.666,386.104,227.570,73.804,51.824,244.456,21.954,295.615,242.747,29.733,55.300,250.473,31.846,156.761,252.110,20.446,213.333,214.596,22.011,88.800,212.314,29.547,60.774,237.227,35.332,128.000,235.849,26.754,988.600,245.192,80.897,479.824,235.474,59.825,312.188,224.648,66.773,393.067,231.165,61.486,573.529,211.690,78.266,180.692,244.060,75.418,75.857,239.899,71.113,124.056,223.074,57.715,37.647,173.161,70.826,163.500,171.128,76.001,294.190,239.117,65.245,124.462,238.554,51.687,249.438,233.704,55.517,112.500,219.638,31.490,77.077,254.169,79.522,507.125,237.697,56.599,311.000,227.892,55.935,258.389,228.817,19.898,13.750,205.807,75.673,249.676,183.101,75.640,32.200,250.197,77.507,127.750,228.035,14.844,135.062,223.426,20.236,175.238,248.986,21.015,45.615,244.988,67.411,97.810,247.425,72.508,148.839,210.963,34.563,180.000,243.304,32.951,774.062,232.485,70.359,99.294,255.517,18.861,288.800,174.831,75.234,404.839,231.131,82.555,465.412,240.611,84.618
450,263.081,244.761,61.818,391.854,227.662,73.762,51.412,244.536,22.065,306.692,242.732,29.773,51.500,250.660,31.877,157.935,252.238,20.272,224.857,214.788,22.330,120.200,212.547,29.576,88.645,237.256,35.062,131.625,235.920,26.507,945.300,245.194,80.941,493.529,235.479,59.858,379.562,224.654,66.937,375.667,231.138,61.556,520.765,211.767,78.274,164.538,244.147,75.150,98.214,239.874,71.274,146.667,223.173,57.702,77.412,173.034,70.617,206.300,171.193,76.117,241.810,239.229,65.261,126.923,238.693,51.720,189.375,233.569,55.547,155.438,219.665,31.613,81.231,254.231,79.563,556.875,237.803,56.637,299.667,227.890,55.969,181.444,228.642,19.795,29.667,205.788,75.156,251.730,183.139,75.660,103.400,250.096,77.395,135.417,227.831,14.562,985.875,223.570,20.159,198.095,249.181,21.036,70.385,245.294,67.291,86.286,247.538,72.498,156.323,211.027,34.521,244.588,243.166,32.962,671.688,232.480,70.303,145.765,255.261,18.974,249.400,174.827,75.551,335.419,231.025,82.640,429.235,240.556,84.707
451,199.838,244.789,61.703,400.938,227.605,73.872,29.647,244.219,22.346,317.308,242.835,29.846,58.100,250.274,32.017,162.065,252.137,20.219,120.286,214.756,22.296,173.600,212.459,29.723,73.097,237.021,35.354,115.125,235.784,26.459,824.500,245.235,80.944,461.000,235.589,59.838,346.688,224.629,66.849,400.000,231.099,61.458,634.706,211.733,78.222,153.538,244.055,75.411,185.929,239.972,71.031,117.167,223.104,57.850,79.706,172.730,70.556,162.400,171.212,75.988,179.810,239.097,65.078,153.308,238.534,51.707,192.438,233.707,55.681,203.438,219.488,31.520,132.538,254.163,79.602,507.500,237.753,56.663,265.750,228.002,55.834,204.889,228.719,20.012,39.250,205.618,75.359,191.027,183.127,75.627,75.900,250.103,77.356,111.583,227.831,14.664,902.312,223.531,20.153,205.143,249.116,20.907,43.000,244.995,67.403,90.667,247.387,72.546,183.871,211.039,34.475,221.765,243.221,32.894,693.750,232.501,70.416,143.118,255.202,18.862,126.100,174.824,75.155,468.387,231.130,82.532,596.059,240.640,84.774
452,168.649,244.812,61.689,397.958,227.589,73.887,40.529,244.458,22.527,338.692,242.723,29.716,95.000,250.393,32.097,194.652,252.119,20.349,296.762,214.778,22.199,100.900,212.517,29.574,74.258,237.302,35.498,155.875,235.775,26.537,715.200,245.129,80.953,391.000,235.570,59.893,516.812,224.639,66.830,392.333,231.103,61.552,452.176,211.748,78.280,151.923,244.092,75.287,145.571,240.008,71.356,142.944,223.101,57.651,82.235,172.786,70.738,161.400,171.024,76.113,226.476,239.196,65.166,151.692,238.492,51.824,124.875,233.817,55.549,129.500,219.615,31.370,105.846,254.053,79.351,424.375,237.778,56.591,388.667,227.871,55.921,289.833,228.732,19.851,24.750,205.907,74.691,192.919,183.094,75.455,95.400,250.156,77.163,54.500,227.787,14.923,551.062,223.554,20.212,221.048,249.114,20.848,61.077,244.891,67.492,146.476,247.358,72.683,185.935,211.055,34.610,188.353,243.290,33.036,758.875,232.535,70.410,144.765,255.022,18.924,288.600,174.770,75.342,500.839,231.101,82.622,870.235,240.604,84.657
