,Unnamed: 0,frame,mean_intensity,x,y,normalized_intensity,cell_id,x_microns,y_microns,x_pixels,y_pixels,normalized_intensity.resc,normalized_intensity.bin,collid
0,1200,0,222.941,77.456,76.144,0.5813427716958872,0,77.31701833333334,70.21059333333332,,,0.0,0,
1,1201,1,218.353,77.213,76.125,0.5687546300107006,0,77.31701833333334,70.21059333333332,,,0.0,0,
2,1202,2,325.882,77.316,76.069,0.8637830274096634,0,77.31701833333334,70.21059333333332,,,0.36795524815470126,0,
3,1203,3,330.235,77.323,76.155,0.8757263972343403,0,77.31701833333334,70.21059333333332,,,0.19953711150429823,0,
4,1204,4,367.765,77.302,76.074,0.9786978352127746,0,77.31701833333334,70.21059333333332,,,0.015559487426947604,0,
5,1205,5,283.765,77.288,76.101,0.7482261914560868,0,77.31701833333334,70.21059333333332,,,0.06581416546029703,0,
6,1206,6,346.471,77.293,76.081,0.9202732735204544,0,77.31701833333334,70.21059333333332,,,0.05803442174682323,0,
7,1207,7,375.529,77.286,76.025,1.0,0,77.31701833333334,70.21059333333332,,,0.08830983146569421,0,
8,1208,8,354.941,77.393,76.093,0.9435124975992536,0,77.31701833333334,70.21059333333332,,,0.08830983146569421,0,
9,1209,9,274.118,77.336,76.086,0.7217576206546492,0,77.31701833333334,70.21059333333332,,,0.0,0,
10,1210,10,237.765,77.151,76.064,0.6220155293988532,0,77.31701833333334,70.21059333333332,,,0.0,0,
11,1211,11,120.235,77.335,76.124,0.2995472878426208,0,77.31701833333334,70.21059333333332,,,0.0,0,
12,1212,12,114.235,77.435,76.148,0.283085027574286,0,77.31701833333334,70.21059333333332,,,0.0,0,
13,1213,13,97.529,76.994,76.107,0.2372486075671523,0,77.31701833333334,70.21059333333332,,,0.0,0,
14,1214,14,86.118,77.137,76.03,0.2059401322468241,0,77.31701833333334,70.21059333333332,,,0.0,0,
15,1215,15,104.706,77.43,76.156,0.2569402145581255,0,77.31701833333334,70.21059333333332,,,0.0,0,
16,1216,16,100.941,77.331,76.06,0.2466101462397454,0,77.31701833333334,70.21059333333332,,,0.0,0,
17,1217,17,90.706,77.347,76.066,0.2185282739320109,0,77.31701833333334,70.21059333333332,,,0.0,0,
18,1218,18,113.294,77.25,76.161,0.2805031964222021,0,77.31701833333334,70.21059333333332,,,0.0,0,
19,1219,19,121.529,77.417,76.12,0.3030976486404917,0,77.31701833333334,70.21059333333332,,,0.0,0,
20,1220,20,38.941,77.034,76.101,0.076500123466952,0,77.31701833333334,70.21059333333332,,,0.0,0,
21,1221,21,27.412,77.225,76.114,0.0448678903613466,0,77.31701833333334,70.21059333333332,,,0.0,0,
22,1222,22,74.824,77.358,75.983,0.1749526710017285,0,77.31701833333334,70.21059333333332,,,0.0,0,
23,1223,23,48.471,77.337,75.971,0.1026476801931571,0,77.31701833333334,70.21059333333332,,,0.0,0,
24,1224,24,68.471,77.136,76.075,0.1575218810876067,0,77.31701833333334,70.21059333333332,,,0.0,0,
25,1225,25,67.059,77.209,76.168,0.1536477625044585,0,77.31701833333334,70.21059333333332,,,0.0,0,
26,1226,26,45.529,77.184,75.913,0.0945756852415836,0,77.31701833333334,70.21059333333332,,,0.0,0,
27,1227,27,52.941,77.147,76.235,0.1149120640930666,0,77.31701833333334,70.21059333333332,,,0.0,0,
28,1228,28,46.118,77.309,76.065,0.0961917304579252,0,77.31701833333334,70.21059333333332,,,0.0,0,
29,1229,29,69.765,77.444,76.174,0.1610722418854775,0,77.31701833333334,70.21059333333332,,,0.0,0,
30,1230,30,63.059,77.388,76.231,0.1426729223255686,0,77.31701833333334,70.21059333333332,,,0.0,0,
31,1231,31,73.294,77.063,76.222,0.1707547946333031,0,77.31701833333334,70.21059333333332,,,0.0,0,
32,1232,32,76.471,77.042,76.067,0.1794715614453864,0,77.31701833333334,70.21059333333332,,,0.0,0,
33,1233,33,73.176,77.096,75.97,0.1704310368480259,0,77.31701833333334,70.21059333333332,,,0.0,0,
34,1234,34,46.118,77.43,76.021,0.0961917304579252,0,77.31701833333334,70.21059333333332,,,0.0,0,
35,1235,35,28.824,77.12,76.152,0.0487420089444947,0,77.31701833333334,70.21059333333332,,,0.0,0,
36,1236,36,50.824,77.396,76.15,0.1091036299283891,0,77.31701833333334,70.21059333333332,,,0.0,0,
37,1237,37,53.529,77.554,76.204,0.1165253655993634,0,77.31701833333334,70.21059333333332,,,0.0,0,
38,1238,38,130.353,77.583,75.987,0.3273081460751228,0,77.31701833333334,70.21059333333332,,,0.0,0,
39,1239,39,44.941,77.401,76.113,0.0929623837352868,0,77.31701833333334,70.21059333333332,,,0.0,0,
40,1240,40,55.529,77.327,76.205,0.1220127856888084,0,77.31701833333334,70.21059333333332,,,0.0,0,
41,1241,41,78.824,77.479,76.035,0.1859275111806184,0,77.31701833333334,70.21059333333332,,,0.05508909263131561,0,
42,1242,42,70.941,77.296,75.976,0.1642988448980712,0,77.31701833333334,70.21059333333332,,,0.05508909263131561,0,
43,1243,43,62.118,77.262,76.06,0.1400910911734848,0,77.31701833333334,70.21059333333332,,,0.05508909263131561,0,
44,1244,44,71.765,77.435,76.203,0.1665596619749225,0,77.31701833333334,70.21059333333332,,,0.023551909638446594,0,
45,1245,45,51.059,77.343,76.021,0.1097484017888989,0,77.31701833333334,70.21059333333332,,,0.0,0,
46,1246,46,57.882,77.42,76.133,0.1284687354240404,0,77.31701833333334,70.21059333333332,,,0.0,0,
47,1247,47,52.824,77.366,76.049,0.1145910500178341,0,77.31701833333334,70.21059333333332,,,0.0,0,
48,1248,48,77.176,77.164,76.137,0.1814058770269158,0,77.31701833333334,70.21059333333332,,,0.0008435651350240431,0,
49,1249,49,58.118,77.368,76.19,0.1291162509945949,0,77.31701833333334,70.21059333333332,,,0.0008435651350240431,0,
50,1250,50,45.882,77.532,76.18,0.0955442148873707,0,77.31701833333334,70.21059333333332,,,0.0008435651350240431,0,
51,1251,51,84.353,77.166,76.262,0.201097484017889,0,77.31701833333334,70.21059333333332,,,0.09377513270065947,0,
52,1252,52,86.941,77.288,76.075,0.2081982056136307,0,77.31701833333334,70.21059333333332,,,0.10302575375761792,0,
53,1253,53,90.824,77.284,76.05,0.2188520317172881,0,77.31701833333334,70.21059333333332,,,0.10302575375761792,0,
54,1254,54,63.176,77.152,76.066,0.1429939364008011,0,77.31701833333334,70.21059333333332,,,0.058452629885797004,0,
55,1255,55,74.471,77.527,76.014,0.1739841413559415,0,77.31701833333334,70.21059333333332,,,0.018079459546404934,0,
56,1256,56,58.235,77.476,76.113,0.1294372650698274,0,77.31701833333334,70.21059333333332,,,0.000418208138973737,0,
57,1257,57,39.059,77.34,76.221,0.0768238812522292,0,77.31701833333334,70.21059333333332,,,0.000418208138973737,0,
58,1258,58,105.176,77.225,76.228,0.258229758279145,0,77.31701833333334,70.21059333333332,,,0.05214376351580785,0,
59,1259,59,72.706,77.073,76.062,0.1691414931270063,0,77.31701833333334,70.21059333333332,,,0.16778725001340408,0,
60,1260,60,141.294,77.119,76.144,0.3573270776744314,0,77.31701833333334,70.21059333333332,,,0.05172555537683411,0,
61,1261,61,34.941,77.173,75.903,0.0655252832880621,0,77.31701833333334,70.21059333333332,,,0.1761978803638768,0,
62,1262,62,111.412,77.437,76.135,0.2753395341180344,0,77.31701833333334,70.21059333333332,,,0.03911139706539415,0,
63,1263,63,74.118,77.353,76.202,0.1730156117101544,0,77.31701833333334,70.21059333333332,,,0.14466069737100776,0,
64,1264,64,132.824,77.265,76.127,0.3340878535956321,0,77.31701833333334,70.21059333333332,,,0.011355959465980238,0,
65,1265,65,49.529,77.448,76.194,0.1055505254204735,0,77.31701833333334,70.21059333333332,,,0.0,0,
66,1266,66,70.0,77.353,76.181,0.1617170137459873,0,77.31701833333334,70.21059333333332,,,0.0,0,
67,1267,67,52.353,77.28,76.069,0.1132987625867698,0,77.31701833333334,70.21059333333332,,,0.0,0,
68,1268,68,68.118,77.137,76.054,0.1565533514418196,0,77.31701833333334,70.21059333333332,,,0.0,0,
69,1269,69,39.647,77.405,76.111,0.078437182758526,0,77.31701833333334,70.21059333333332,,,0.0,0,
70,1270,70,95.647,77.271,76.197,0.2320849452629846,0,77.31701833333334,70.21059333333332,,,0.015137704859435636,0,
71,1271,71,74.235,76.979,75.931,0.173336625785387,0,77.31701833333334,70.21059333333332,,,0.00546530123496511,0,
72,1272,72,69.647,77.0,76.051,0.1607484841002003,0,77.31701833333334,70.21059333333332,,,0.00546530123496511,0,
73,1273,73,82.588,77.264,76.114,0.1962548357889538,0,77.31701833333334,70.21059333333332,,,0.0,0,
74,1274,74,67.412,77.535,76.06,0.1546162921502456,0,77.31701833333334,70.21059333333332,,,0.03027540971887127,0,
75,1275,75,95.647,77.316,76.203,0.2320849452629846,0,77.31701833333334,70.21059333333332,,,0.0,0,
76,1276,76,39.412,77.715,76.017,0.0777924108980163,0,77.31701833333334,70.21059333333332,,,0.07695387199971412,0,
77,1277,77,124.824,77.278,75.969,0.3121381732378522,0,77.31701833333334,70.21059333333332,,,0.0929351419941738,0,
78,1278,78,100.118,77.374,76.152,0.2443520728729388,0,77.31701833333334,70.21059333333332,,,0.09756045252265307,0,
79,1279,79,101.412,77.26,76.103,0.2479024336708097,0,77.31701833333334,70.21059333333332,,,0.0929351419941738,0,
80,1280,80,89.294,77.289,76.141,0.2146541553488627,0,77.31701833333334,70.21059333333332,,,0.09756045252265307,0,
81,1281,81,122.471,77.21,76.212,0.3056822235026203,0,77.31701833333334,70.21059333333332,,,0.0538273193573177,0,
82,1282,82,41.529,77.552,76.274,0.0836008450626938,0,77.31701833333334,70.21059333333332,,,0.0,0,
83,1283,83,67.882,76.962,76.194,0.1559058358712651,0,77.31701833333334,70.21059333333332,,,0.0,0,
84,1284,84,43.059,77.264,76.102,0.0877987214311191,0,77.31701833333334,70.21059333333332,,,0.0,0,
85,1285,85,64.471,77.15,76.189,0.1465470409087167,0,77.31701833333334,70.21059333333332,,,0.0,0,
86,1286,86,107.529,77.172,76.105,0.2646857080143771,0,77.31701833333334,70.21059333333332,,,0.009672403624470671,0,
87,1287,87,76.824,77.265,76.133,0.1804400910911735,0,77.31701833333334,70.21059333333332,,,0.009254195485496788,0,
88,1288,88,58.353,77.302,76.009,0.1297610228551046,0,77.31701833333334,70.21059333333332,,,0.0,0,
89,1289,89,47.882,77.366,76.284,0.1010316349768156,0,77.31701833333334,70.21059333333332,,,0.0,0,
90,1290,90,96.706,77.32,76.16,0.2349905342003457,0,77.31701833333334,70.21059333333332,,,0.0,0,
91,1291,91,40.0,77.464,76.028,0.0794057124043131,0,77.31701833333334,70.21059333333332,,,0.036166067949886506,0,
92,1292,92,84.353,77.208,76.004,0.201097484017889,0,77.31701833333334,70.21059333333332,,,0.0,0,
93,1293,93,63.882,77.427,76.158,0.1449309956923752,0,77.31701833333334,70.21059333333332,,,0.0,0,
94,1294,94,57.059,77.387,76.131,0.1262106620572338,0,77.31701833333334,70.21059333333332,,,0.0,0,
95,1295,95,110.706,77.226,76.071,0.2734024748264603,0,77.31701833333334,70.21059333333332,,,0.023970117777420315,0,
96,1296,96,80.941,77.562,76.228,0.1917359453452959,0,77.31701833333334,70.21059333333332,,,0.023970117777420315,0,
97,1297,97,34.824,77.37,76.023,0.0652042692128296,0,77.31701833333334,70.21059333333332,,,0.0,0,
98,1298,98,67.647,77.041,76.23,0.1552610640107553,0,77.31701833333334,70.21059333333332,,,0.0,0,
99,1299,99,109.882,77.209,75.989,0.2711416577496091,0,77.31701833333334,70.21059333333332,,,0.0,0,
100,1300,100,34.941,77.079,76.07,0.0655252832880621,0,77.31701833333334,70.21059333333332,,,0.0,0,
101,1301,101,61.647,77.35,76.174,0.1387988037424205,0,77.31701833333334,70.21059333333332,,,0.0,0,
102,1302,102,87.529,77.426,76.094,0.2098115071199275,0,77.31701833333334,70.21059333333332,,,0.0,0,
103,1303,103,66.353,77.032,76.166,0.1517107032128844,0,77.31701833333334,70.21059333333332,,,0.0,0,
104,1304,104,42.824,77.302,76.043,0.0871539495706093,0,77.31701833333334,70.21059333333332,,,0.0,0,
105,1305,105,47.412,77.041,75.937,0.0997420912557961,0,77.31701833333334,70.21059333333332,,,0.0,0,
106,1306,106,36.118,77.721,76.199,0.0687546300107005,0,77.31701833333334,70.21059333333332,,,0.0,0,
107,1307,107,56.706,77.338,76.01,0.1252421324114467,0,77.31701833333334,70.21059333333332,,,0.0,0,
108,1308,108,89.765,77.11,76.151,0.215946442779927,0,77.31701833333334,70.21059333333332,,,0.007148857076474966,0,
109,1309,109,66.471,77.532,76.246,0.1520344609981617,0,77.31701833333334,70.21059333333332,,,0.007148857076474966,0,
110,1310,110,56.941,77.424,76.06,0.1258869042719565,0,77.31701833333334,70.21059333333332,,,0.0,0,
111,1311,111,52.353,77.222,76.111,0.1132987625867698,0,77.31701833333334,70.21059333333332,,,0.0,0,
112,1312,112,45.176,77.236,76.296,0.0936071555957966,0,77.31701833333334,70.21059333333332,,,0.0,0,
113,1313,113,39.294,77.472,76.12,0.077468653112739,0,77.31701833333334,70.21059333333332,,,0.0,0,
114,1314,114,118.353,77.203,76.129,0.2943836255384531,0,77.31701833333334,70.21059333333332,,,0.11564348649759619,0,
115,1315,115,96.235,77.195,75.892,0.2336982467692814,0,77.31701833333334,70.21059333333332,,,0.11564348649759619,0,
116,1316,116,49.176,77.778,76.09,0.1045819957746865,0,77.31701833333334,70.21059333333332,,,0.05340911121834397,0,
117,1317,117,78.824,77.337,76.125,0.1859275111806184,0,77.31701833333334,70.21059333333332,,,0.0,0,
118,1318,118,64.706,77.237,76.187,0.1471918127692265,0,77.31701833333334,70.21059333333332,,,0.0,0,
119,1319,119,65.647,77.101,76.156,0.1497736439213104,0,77.31701833333334,70.21059333333332,,,0.0,0,
120,1320,120,61.765,77.488,76.191,0.1391225615276977,0,77.31701833333334,70.21059333333332,,,0.0,0,
121,1321,121,60.118,77.321,76.063,0.1346036710840398,0,77.31701833333334,70.21059333333332,,,0.0,0,
122,1322,122,38.824,77.159,76.184,0.0761791093917194,0,77.31701833333334,70.21059333333332,,,0.0,0,
123,1323,123,91.529,77.119,75.971,0.2207863472988174,0,77.31701833333334,70.21059333333332,,,0.0,0,
124,1324,124,48.824,77.08,75.948,0.1036162098389442,0,77.31701833333334,70.21059333333332,,,0.0,0,
